Proto-Germanic	Proto-Germanic	probability
θ_ɑ̃	d̥	1.0
β_ɑ	v̥	1.0
ˈɛː	ˈɒː	1.0
ˈɔː	ˈuə̯	1.0
ˈɑː	ˈɒː	1.0
ˈɑu̯	ˈoː	1.0
ˈɑ_x	ˈɒː	1.0
ˈɑ_s	ˈɑ_s	1.0
ˈɑ_n	ˈɑ_n	1.0
ˈɑ_l	ˈu	1.0
ˈĩː	ˈœ	1.0
ˈiu̯	ˈiə̯	1.0
ˈi_j	ˈiə̯	1.0
ˈeu̯	ˈiə̯	1.0
ˈe_β	ˈeː_v	1.0
ɸ	v	1.0
ɣ_ɑ	ɦ̥	1.0
ɣ_j	ɦ	1.0
ɣ	ɦ	1.0
ɡʷ	-	1.0
ɡ_ɑ	k	1.0
ɡ	-	1.0
ɛː_r	ɾ	1.0
ɔːu̯	ə	1.0
ɔː_#>	#>	1.0
ɑ̃_#>	#>	1.0
ɑː	-	1.0
ɑi̯	-	1.0
ɑ_z_#>	#>	1.0
ɑ_n	n	1.0
ŋ	ŋ	1.0
ð_ɛː	d	1.0
z_#>	#>	1.0
x_ˈu	ˈu	1.0
x_s	s	1.0
tː	t	1.0
t_ɑ	t	1.0
t	t	1.0
sː	-	1.0
s_w	z	1.0
s_#>	#>	1.0
r_ˈi	ˈæ_ɾ	1.0
r_ɑ	ɾ	1.0
pː	p	1.0
p	p	1.0
nː_i	n_ə	1.0
n	n	1.0
mː	m	1.0
lː	l	1.0
l_ɑ	ə_l	1.0
k_ɑ_z_#>	#>	1.0
k_i	k	1.0
k	k	1.0
jː	-	1.0
j_ɔː	ə	1.0
j	-	1.0
iː	-	1.0
i_z	ə	1.0
e_x	iə̯	1.0
e	ə	1.0
d_ɑ	d̥	1.0
d_u	d̥	1.0
b	b	1.0
<#_ˈɑ	<#_ˈɑ	1.0
<#_ˈu	<#_ˈɔ	1.0
<#_ɣ	<#_ɦ	1.0
<#_x	<#	1.0
<#_t	<#_t	1.0
<#_r	<#_ɾ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_k	<#_k	1.0
<#_j	<#_j	1.0
<#	<#_ˈɛː	1.0
r	ɾ	0.958
m	m	0.913
d	d	0.824
ɔ̃ː	ə	0.818
ð	d̥	0.818
i	-	0.812
ˈiː	ˈi	0.8
u	-	0.778
s_k	ʃ_h	0.778
#>	ə_#>	0.778
θ	d	0.765
ˈuː	ˈyː	0.727
x	h	0.727
w	ʋ	0.714
l	l	0.654
ɔːː	ə	0.636
ɔː	ə	0.6
xʷ	ʋ	0.6
ˈɑi̯	ˈɛː	0.562
ˈi	ˈɪ	0.524
s	z	0.521
β	v̥	0.5
β	v	0.5
z	ə	0.5
z	-	0.5
ˈɑ	ˈɑ	0.424
ɔː	-	0.4
xʷ	-	0.4
ɔːː	-	0.364
l	w	0.346
s	s	0.333
ˈe	ˈæ	0.32
ˈe	-	0.32
ˈɑi̯	ˈeː	0.312
ˈu	ˈoː	0.29
w	-	0.286
ˈɑ	ˈɒː	0.273
ˈuː	-	0.273
x	-	0.273
ˈu	ˈɔ	0.258
ˈɑ	-	0.242
θ	d̥	0.235
u	ə	0.222
s_k	s	0.222
#>	ɾ_#>	0.222
ˈiː	-	0.2
ˈe	ˈeː	0.2
ˈu	ˈœ	0.194
ˈi	ˈɛ	0.19
ɔ̃ː	-	0.182
ð	ɾ	0.182
d	d̥	0.176
ˈe	ˈiə̯	0.16
s	z̥	0.146
ˈu	ˈøː	0.129
ˈu	ˈu	0.129
ˈɑi̯	-	0.125
i	n	0.125
ˈi	ˈæ	0.095
ˈi	ˈeː	0.095
ˈi	-	0.095
m	-	0.087
i	ɪ	0.062
ˈɑ	ˈɛ	0.061
