Asturian	Asturian	probability
θ_ˈe	ʃː_e	1.0
β_ɾ	p_r	1.0
ˈe_ʝ	kː_j	1.0
ˈe_ʎ	lː	1.0
ˈe_ɾ	e_r	1.0
ˈe_s	sː	1.0
ˈe_r	rː	1.0
ˈa	ˈa	1.0
ʧ	-	1.0
ʎ_ˈe	l_ˈe	1.0
ɾ_ˈe	r_ˈe	1.0
ɾ_ˈa	r_ˈa	1.0
ɾ_u	r_o	1.0
ɾ_n	r_n	1.0
ɾ_a	r_a	1.0
ɡ	ɡ	1.0
ð_a	t_a	1.0
u_#>	#>	1.0
s_ˈo	s_ˈo	1.0
s_u	s_o	1.0
s_e	s_e	1.0
s_a	z_a	1.0
s	s	1.0
p_ˈe	p_ˈe	1.0
p	p	1.0
o_ɾ	o_r	1.0
m_ˈo	lː	1.0
l_u	l_o	1.0
j_ˈe	ˈɛ	1.0
e_ɾ	ˈɛ	1.0
e_n	n	1.0
e_#>	#>	1.0
d	d	1.0
b_ˈe	v_ˈe	1.0
<#_θ	<#_ʧ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɡ_w	<#_ˈɔ	1.0
<#_ɡ	<#	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_o	<#_o	1.0
<#_n	<#_n	1.0
<#_a	<#_a	1.0
#>	e_#>	0.94
m	m	0.938
n	n	0.933
u	o	0.919
a	a	0.913
k	k	0.896
l	l	0.889
f	f	0.87
w_ˈe	ˈɔ	0.857
ˈu	ˈu	0.85
w	w	0.833
ʃ	ʤ	0.818
t	t	0.818
ˈi	ˈi	0.8
ɾ	r	0.758
ʎ	l	0.696
e	e	0.679
ɲ	ɲː	0.667
i	i	0.625
ð	t	0.615
θ	ʧ	0.588
b	v	0.552
ˈo	ˈo	0.548
ŋ	n_e	0.538
β	v	0.5
ɣ	ɡ	0.5
o	o	0.5
o	-	0.5
<#	<#_ʤ	0.5
<#	<#_a	0.5
ŋ	ŋ	0.462
b	b	0.448
s_#>	#>	0.444
θ	-	0.412
ð	d	0.385
i	-	0.375
ˈe	ˈe	0.37
j	j	0.35
ʝ	ʎː	0.333
ʝ	-	0.333
ɲ	nː	0.333
s_#>	i_#>	0.333
ˈe	ˈɛ	0.304
j	ˈɛ	0.3
ɣ	k	0.25
ɣ	-	0.25
e	-	0.232
s_#>	j_#>	0.222
ˈo	ˈɔ	0.214
β	p	0.208
j	-	0.2
ʃ	sː	0.182
β	b	0.167
ʝ	kː_j	0.167
ʝ	j	0.167
w	ˈɔ	0.167
ˈu	ˈo	0.15
j	ˈi	0.15
w_ˈe	ˈo	0.143
ˈe	ˈɔ	0.13
ʎ	j	0.13
β	-	0.125
t	tː	0.121
ˈo	w_ˈɔ	0.119
l	-	0.111
k	kː	0.104
ˈi	e	0.1
ɾ	e	0.091
e	i	0.089
ʎ	lː	0.087
ʎ	k_j	0.087
f	b	0.087
ˈo	ˈu	0.071
ˈi	ˈi_ʎː	0.067
n	-	0.067
ˈe	r	0.065
ˈe	e	0.065
ˈe	-	0.065
m	mː	0.062
ɾ	e_r	0.061
ɾ	-	0.061
t	-	0.061
#>	o_#>	0.06
