Upper Sorbian	Bulgarian	probability
<#_d	<#_d	1.0
<#_j	<#	1.0
<#_k	<#_k	1.0
<#_m	<#_m	1.0
<#_mʲ	<#_m	1.0
<#_n	<#_n	1.0
<#_p	<#_p	1.0
<#_pʲ	<#_p	1.0
<#_s	<#_s	1.0
<#_t	<#_t	1.0
<#_x	<#_x	1.0
<#_z	<#_z	1.0
<#_ɦ	<#_ɡ	1.0
<#_ʀ	<#_r	1.0
<#_ʒ	<#_ʒ	1.0
<#_ʤ	<#_d	1.0
b	b	1.0
d	d	1.0
d_w	ɫ	1.0
e	ˈɛ	1.0
k	k	1.0
k_#>	k_#>	1.0
kʲ_i	ɐ_k	1.0
l_#>	ɫ_#>	1.0
n	n	1.0
n_ɪ	ɛ_n	1.0
p	p	1.0
p_#>	p_#>	1.0
s_#>	s_#>	1.0
t_#>	t_#>	1.0
w	ɫ	1.0
w_ɪ	ɫ_#>	1.0
w_ˈo	ɫ_ˈa	1.0
x	x	1.0
x_#>	k_#>	1.0
xʲ_i	x_#>	1.0
z	z	1.0
ɔ	o	1.0
ɦ	ɡ	1.0
ɪ	-	1.0
ɲ_#>	n_#>	1.0
ʀ	r	1.0
ʀʲ	r	1.0
ʃ	ʃ	1.0
ʧ_#>	t_#>	1.0
ˈi	ˈi	1.0
ˈo	ˈɔ	1.0
ˈɔ_m	ɛ_m	1.0
ˈɔ_w	ˈɤ_ɫ	1.0
ˈɔ_x	k_ɐ	1.0
ˈɪ	ˈi	1.0
β	v	1.0
β_ɪ	f	1.0
ˈɔ	ɛ	0.091
ˈɔ	ˈa	0.091
ˈɔ	ˈɛ	0.091
l	ɫ	0.222
t	t_ɐ	0.2
t	d	0.2
<#_ʧ	<#	0.333
a_#>	ɐ_#>	0.353
l	lʲ	0.333
ɔ_#>	ˈɔ_#>	0.333
ɥ	vʲ	0.3
ʧ	ʧ	0.333
<#_β	<#_v	0.444
l	l	0.444
s	s_ɐ	0.154
ɔ_#>	o_#>	0.4
ˈa	ɛ	0.364
ˈu	ˈu	0.4
ˈɔ	o	0.364
<#_l	<#_lʲ	0.5
<#_l	<#_l	0.5
mʲ	m	0.5
mʲ	mʲ	0.5
ɛ	ˈɛ	0.25
ɛ	ɛ	0.75
ˈe	ɛ	0.095
ˈɛ	ˈɛ	0.375
ˈɛ	ɛ	0.625
<#_β	<#	0.556
s	s	0.846
t	t	0.6
ˈa	ˈa	0.636
ˈe	ˈa	0.476
ˈu	ˈɤ	0.6
ˈɔ	ˈɤ	0.136
<#_ʧ	<#_t	0.667
a_#>	ˈa_#>	0.647
ɔ_#>	#>	0.267
ɥ	v	0.7
ʧ	ɐ	0.667
ˈɔ	ˈɔ	0.227
ˈe	ˈɛ	0.238
ˈe	ˈɤ	0.19
