Danish	Danish	probability
ˈʌ	-	1.0
ˈɛː	ˈaː	1.0
ˈɔː	-	1.0
ˈɒː	-	1.0
ˈɒˀ	ˈɑːu̯_r̥	1.0
ˈɑ_j	x	1.0
ˈɑ_d̥	ˈɛ_ʰt	1.0
ˈœː	ˈaːi̯	1.0
ˈø_ŋ	ɲ	1.0
ˈæˀ	ˈaː	1.0
ˈy	-	1.0
ˈoː	-	1.0
ˈiˀ	ˈiː	1.0
ˈi	ˈɪ	1.0
ʨ	-	1.0
ə_ð̞ˠ	ʏ_ð	1.0
ə_#>	ɪ_#>	1.0
ɐˀ	r	1.0
ŋˀ	ŋ	1.0
ŋ	ŋ_ɡ̊	1.0
wˀ	p	1.0
s_#>	s_#>	1.0
pʰ	pʰ	1.0
mˀ	-	1.0
m_ˈe	m	1.0
m	m	1.0
kʰ_ˈʌ	kʰ	1.0
jˀ	-	1.0
i	-	1.0
f	f	1.0
b̥_#>	p_ʏ_r̥_#>	1.0
<#_ˈeˀ	<#_ˈɛ	1.0
<#_ʋ	<#_v	1.0
<#_ʁ	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_kʰ	<#	1.0
<#_j	<#_ç	1.0
<#_d̥	<#_d̥	1.0
s	s	0.926
h	h	0.889
ə	a	0.85
b̥	b̥	0.815
#>	ʏ_r̥_#>	0.781
ʁ	r	0.773
ˈu	ˈʏ	0.75
ˈo	ˈɔ	0.75
ˈuˀ	ˈuː	0.727
l	l	0.72
ʋ	v	0.7
d̥	t	0.7
ˈɑˀ	ˈa_r	0.667
<#_ɡ̊	<#_ɡ̊	0.636
ˈœ	-	0.6
ˈøˀ	ˈœːy̯	0.6
ˈø	-	0.6
nˀ	n_d̥	0.583
ˈoˀ	ˈoːu̯	0.571
ˈiː	-	0.571
ʦʰ	θ	0.565
ˈɛ	ˈɛ	0.562
kʰ	cʰ	0.545
ɐ	r̥	0.543
ˈɛˀ	ˈɛː	0.5
ˈɛˀ	-	0.5
ˈɔ	ˈɔ	0.5
ˈɔ	-	0.5
ˈœˀ	ˈœːy̯	0.5
ˈœˀ	-	0.5
ˈyː	j_ˈoːu̯	0.5
ˈyː	j	0.5
ˈuː	ˈuː	0.5
ˈuː	-	0.5
e	ɑu̯	0.5
e	i	0.5
<#	<#_ˈʏ	0.5
<#	<#_ˈɛ	0.5
ˈæ	ˈa	0.471
ð̞ˠ	ð	0.459
kʰ	kʰ	0.455
ˈɔˀ	-	0.444
n	n	0.436
ʦʰ	tʰ	0.435
ˈiː	ˈiː	0.429
ˈœ	ˈɪ	0.4
ˈøˀ	-	0.4
ˈø	ˈɪ	0.4
ˈe	ˈɪ	0.375
<#_ɡ̊	<#_ɟ̊	0.364
j	j	0.357
w	v	0.353
ˈɔˀ	ˈaːu̯	0.333
ˈɑˀ	-	0.333
ˈɑ	ˈɑu̯	0.333
ˈɑ	ˈa	0.333
ˈɑ	-	0.333
ˈøː	ˈɛːi̯	0.333
ˈøː	ˈœːy̯	0.333
ˈøː	ˈaːi̯	0.333
ˈyˀ	ˈiː	0.333
ˈyˀ	j_ˈuː	0.333
ˈyˀ	j_ˈoːu̯	0.333
ˈeˀ	j	0.333
nˀ	nː	0.333
lˀ	t͡l̥	0.333
ð̞ˠ	t	0.324
ɡ̊	k	0.32
ˈɛ	-	0.312
ʋ	kʰ_v	0.3
d̥	ʰt	0.3
w	-	0.294
ˈoˀ	-	0.286
j	-	0.286
n	t͡n̥	0.282
ɡ̊	c	0.28
ˈuˀ	-	0.273
ˈeˀ	ˈɛːi̯	0.267
ˈu	ˈu	0.25
ˈo	-	0.25
ˈæ	ˈaː	0.235
ɐ	ɪ_r̥	0.229
ˈɔˀ	ˈɑːu̯	0.222
j	ɣ	0.214
lˀ	l̥	0.2
lˀ	l_d̥	0.2
ˈe	ˈɛ	0.188
ˈe	-	0.188
b̥	p	0.185
ˈæ	-	0.176
ð̞ˠ	t_ʏ	0.162
ɡ̊	ɡ̊ː	0.16
l	t͡l̥	0.16
n	n̥	0.154
ˈoˀ	ˈiː_r̥	0.143
j	k_ʏ	0.143
ʁ	r_j	0.136
ˈeˀ	ˈɪː	0.133
ˈeˀ	ˈɛi̯	0.133
ˈeˀ	-	0.133
lˀ	l_v	0.133
lˀ	l	0.133
n	nː	0.128
ˈɛ	ˈa	0.125
ˈe	ˈɛː	0.125
ˈe	ˈi	0.125
ɡ̊	ʰk	0.12
l	l̥	0.12
ˈæ	ˈœ	0.118
w	ˈœː	0.118
w	ˈuː	0.118
w	ʏ	0.118
h	ç	0.111
ʁ	r̥	0.091
ɐ	r_a	0.086
ɐ	r	0.086
ə	ʏ	0.083
nˀ	ʰt͡n̥	0.083
ɡ̊	ɟ̊ː	0.08
#>	a_#>	0.062
ɐ	ð_ʏ	0.057
ð̞ˠ	ˈɪː_t	0.054
