Brazilian Portuguese	Piedmontese	probability
f	f	1.0
h	-	1.0
k	k	1.0
o	u	1.0
p	p	1.0
s	s	1.0
ɦ	r	1.0
ʎ	j	1.0
ʧ	t	1.0
ˈa	ˈa	1.0
ˈĩ	ˈi	1.0
ˈõ	ˈɔ	1.0
ˈũ	ˈy	1.0
j̃	-	0.081
l	-	0.051
ɡ	ɡ	0.471
ɾ	-	0.341
ʃ	s	0.651
ˈo	ˈø	0.441
ˈɔ	ˈɔ	0.311
a	a	0.692
j	j	0.912
w̃	ŋ	0.92
ʒ	ʤ	0.662
ˈi	ˈe	0.242
ˈɐ̃	ˈa	0.752
i	e	0.593
j̃	ɲ	0.343
w	-	0.193
z	z	0.633
ɐ	-	0.13
ˈe	ˈɛ	0.293
ˈu	ˈy	0.913
b	v	0.484
e	e	0.884
v	b	0.124
ˈẽ	ˈɛ_ŋ	0.844
ˈo	ˈu	0.384
ˈɔ	ˈø	0.154
ˈɛ	ˈɛ	0.674
j̃	ŋ	0.575
n	ŋ	0.175
n	n	0.825
t	s	0.135
t	t	0.865
u	-	0.545
ˈɔ	ˈu	0.535
b	b	0.516
d	d	0.626
e	-	0.116
v	v	0.876
w	l	0.46
ˈẽ	ˈɛ	0.156
ˈo	ˈɔ	0.176
ˈɛ	ˈe	0.326
d	t	0.157
d	-	0.217
i	-	0.407
m	m	0.957
w	w	0.347
z	-	0.367
ɐ	a	0.87
ˈe	-	0.37
ˈu	ˈu	0.087
a	ˈa	0.308
j	-	0.088
u	ˈy	0.108
u	j	0.218
w̃	-	0.08
ʒ	z	0.338
ˈe	ˈi	0.068
ˈe	ˈe	0.268
ˈi	ˈi	0.758
ˈɐ̃	ˈa_ŋ	0.248
l	l	0.949
u	i	0.129
ɡ	-	0.529
ɾ	r	0.659
ʃ	z	0.329
