East Frisian Low Saxon	Afrikaans	probability
χ_t	χ	1.0
χ	χ	1.0
ˈʏə̯	ˈœ	1.0
ˈʊə̯	ˈɔ	1.0
ˈʊ	ˈɔ	1.0
ˈɛə̯_ɡ	ˈɛː	1.0
ˈɔː	ˈɑː	1.0
ˈɔ_l	ˈœu̯	1.0
ˈɔ	ˈɔ	1.0
ˈɒːɒ̯	ˈɑː	1.0
ˈɑːʊ̯	ˈœu̯	1.0
ˈɑːɑ̯	ˈa	1.0
ˈœːy̯	ˈɔ	1.0
ˈœy̯	ˈu	1.0
ˈøy̯	ˈu	1.0
ˈæː	ˈi	1.0
ˈyːʏ̯	t_ə_ɫ	1.0
ˈuːu̯	ˈœɪ̯	1.0
ˈuː	ˈœɪ̯	1.0
ˈoː_d̥	ˈoː	1.0
ˈiː	ˈəɪ̯	1.0
ˈeːe̯	ˈɪə̯	1.0
ʊ	ˈu	1.0
ɫ	ɫ	1.0
ɣ̊	χ	1.0
ɡ̊	-	1.0
ɡ_r	χ_r	1.0
ə	-	1.0
ɑɪ̯	i	1.0
ŋ	ŋ	1.0
z	s	1.0
w	v	1.0
t	t	1.0
s	s	1.0
r	r	1.0
p	p	1.0
o	-	1.0
l	ɫ	1.0
j	j	1.0
h	ɦ	1.0
f	v̥	1.0
d̥	d̥	1.0
d_n	d̥	1.0
b	b	1.0
m	m	0.937
ˈɒː	ˈɑː	0.913
d	d	0.903
ˈɑ	ˈa	0.895
k	k	0.889
ˈɪ	ˈə	0.869
v	v	0.855
ˈoː	ˈʊə̯	0.85
ɡ	χ	0.819
ˈɑʊ̯	ˈu	0.8
ˈɛːɪ̯	ˈi	0.75
ɐ	r	0.721
ˈeː	ˈɪə̯	0.7
ˈɑː	ˈa	0.667
ˈœ	-	0.622
ˈøːø̯	ˈʊə̯	0.593
ˈæːɪ̯	-	0.593
n	n	0.593
ˈʏ	-	0.545
ˈøː	ˈʊə̯	0.533
ɐ_n	r_ə	0.53
ˈɛ	ˈɛ	0.529
s_t	s	0.5
s_t	r_s	0.5
n_n	n_d̥	0.5
n_n	n	0.5
ˈɛ	ˈæ	0.471
ɐ_n	r	0.47
ˈøː	-	0.467
ˈʏ	ˈœ	0.455
ˈæɪ̯	ˈɪə̯	0.453
ˈøːø̯	ˈɪø̯	0.407
ˈæːɪ̯	ˈi	0.407
ˈœ	ˈɔ	0.378
ˈæɪ̯	ˈi	0.369
n	-	0.339
ˈɑː	ˈæː	0.333
ˈeː	-	0.3
ˈɛːɪ̯	w	0.25
ɐ	ə_r	0.235
ˈɑʊ̯	ˈu_j	0.2
ɡ	-	0.181
ˈæɪ̯	ˈəɪ̯	0.178
ˈoː	-	0.15
v	-	0.145
ˈɪ	-	0.131
k	-	0.111
ˈɑ	-	0.105
d	-	0.097
ˈɒː	-	0.087
m	-	0.063
