Palatine German	Palatine German	probability
ˈɑ̃ɪ̯	ˈeː_x	1.0
ˈɑ_l	ˈɑu̯	1.0
ˈõː	ˈøː_n	1.0
ˈo	ˈɛː_ɫ	1.0
ˈĩː	ˈuː_n	1.0
ˈi	ˈiː	1.0
ˈẽː	ˈiː_n	1.0
ˈau̯̯	ˈyː	1.0
ˈau̯	ˈyː	1.0
ʣ̥	t	1.0
ɑ	-	1.0
ŋ	ŋ	1.0
x_d̥	x_t	1.0
x_#>	k_ə_#>	1.0
s_ə	t_ə	1.0
pʰ	-	1.0
m	m	1.0
l_ˈɑː	ɫ_ˈʊə̯	1.0
kʰ	k	1.0
f_ə	p_ə	1.0
f_r	v	1.0
eː	iː	1.0
b̥_#>	v̥_#>	1.0
<#_ˈɛ	<#_ˈɑ	1.0
<#_ʣ̥	<#_t	1.0
<#_r	<#_ɾ	1.0
<#_h	<#	1.0
<#	<#_ˈoː	1.0
#>	k_#>	1.0
l	ɫ	0.952
ə	ə	0.833
β	ʋ	0.821
n	n	0.812
b̥	b	0.778
r	ɾ	0.765
ˈiː	ˈiː	0.75
ˈeː	-	0.727
x	x	0.714
ˈɔ	ˈɔ	0.667
ɪ	ɪ	0.667
f	v	0.667
ˈɑ	ˈɑ	0.64
ɡ̊	x	0.64
d̥_r	d_ɾ	0.6
ˈuː	ˈuː	0.571
ˈu	ˈɔ	0.562
s	z	0.541
ˈɪ	ˈɪ	0.52
ɐ	ɾ	0.511
j	x	0.5
j	j	0.5
ˈɛ	ˈæ	0.474
ˈoː	ˈɛː	0.471
ˈɛː	ˈɪə̯	0.462
ˈaɪ̯	ˈi	0.444
ʃ	s	0.442
d̥	d̥	0.431
ˈuː	ˈu	0.429
ˈoː	ˈʊə̯	0.412
d̥_r	d	0.4
ˈɑː	ˈʊə̯	0.333
ˈɑː	ˈɛː	0.333
ˈɑː	ˈɑ	0.333
ɪ	i	0.333
d̥	d	0.323
x	k	0.286
ɡ̊	k	0.28
ɐ	ə_ɾ	0.277
ˈeː	ˈɪə̯	0.273
ˈɛː	ˈæi̯	0.231
ˈaɪ̯	ˈiː	0.222
b̥	p	0.222
d̥	t	0.215
ˈɛ	ˈeː	0.211
ˈɛ	-	0.211
f	p	0.208
ˈɪ	ˈi	0.2
ˈɪ	-	0.2
ˈɔ	ˈʊə̯	0.2
s	z̥	0.189
s	t	0.189
ˈu	ˈu	0.188
ˈiː	-	0.167
ˈaɪ̯	ˈɪ	0.167
ˈaɪ̯	ˈyː	0.167
ə	ə_n	0.167
ʃ	k	0.163
ˈɑ	ˈɛː	0.16
ˈɛː	ˈɛː	0.154
ˈɛː	-	0.154
n	n_d	0.146
ʃ	x	0.14
ˈɔ	ˈʏ	0.133
ˈu	ˈʏ	0.125
ˈu	ˈøː	0.125
f	v̥	0.125
ˈɑ	ˈɒː	0.12
ˈoː	ˈøː	0.118
r	d	0.118
r	-	0.118
ʃ	s_x	0.116
β	v_ə	0.107
ɐ	ɾ_ə	0.106
ˈɛ	ˈʏ	0.105
ʃ	z	0.093
ˈiː	ˈiːə̯	0.083
s	t_ə	0.081
ˈɪ	ˈeː	0.08
ˈɑ	-	0.08
ɡ̊	-	0.08
β	v	0.071
ɐ	-	0.064
