Gascon	Gascon	probability
ˈɛ_t	ˈɛ_l	1.0
ˈɛ_j	ˈa	1.0
ˈa_j	ˈa	1.0
ˈa_#>	ˈaː_r_#>	1.0
ʦ_#>	ʃ_#>	1.0
ʤ_e	d_i	1.0
ɲ	ɲ	1.0
ɡ	ɡ	1.0
ɔ_#>	#>	1.0
ŋ_k	ŋ	1.0
z_ˈa	s	1.0
y	i	1.0
w_t	w_t	1.0
t_e_s_#>	#>	1.0
t	t	1.0
s_ˈa	s	1.0
s_#>	s_#>	1.0
r	r	1.0
p	p	1.0
nː	m	1.0
n_#>	n_t_#>	1.0
n	n	1.0
m	m	1.0
lː	-	1.0
l	l	1.0
k_l	k_l	1.0
j_t_#>	ʨ_#>	1.0
i	-	1.0
h	f	1.0
e_s	ʃ	1.0
d	d	1.0
a	ə	1.0
<#_ˈa	<#_ˈa	1.0
<#_w_ˈe	<#_ˈɛ	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_a_w	<#_u	1.0
<#_a_r	<#_r	1.0
ɔ	ə	0.93
ʎ	ʎ	0.867
j	-	0.867
<#_l	<#_l	0.867
ð	d	0.8
t_#>	#>	0.778
β	v	0.769
ɾ	r	0.759
e_#>	r_#>	0.7
ˈu	ˈu	0.677
ʃ	s	0.667
ʒ	ʥ	0.625
s	s	0.622
k	ʨ	0.605
ŋ	n	0.591
#>	r_#>	0.579
<#_a	<#_ə	0.571
w	-	0.562
ˈa	ˈa	0.558
u	u	0.545
ˈi	ˈiː	0.538
b	v	0.529
z	ʃ	0.5
w_ˈe	ˈɔ	0.5
w_ˈe	ˈo	0.5
w_#>	l_#>	0.5
w_#>	f_#>	0.5
k_#>	w_#>	0.5
k_#>	k_#>	0.5
ɣ	-	0.444
ˈɔ	ˈɔː	0.438
w	w	0.438
<#_a	<#	0.429
b	b	0.412
ˈɛ	ˈɛː	0.4
k	k	0.395
ʒ	ʃ	0.375
e	ə_r	0.37
ʃ	ʃ	0.333
ɣ	ɡ	0.333
s	ʧ	0.324
ˈɔ	ˈɔ	0.312
e_#>	#>	0.3
e	ə	0.296
ˈy	ˈu	0.294
ˈy	ˈiː	0.294
ˈy	ˈi	0.294
ˈɛ	ˈɛ	0.28
ŋ	w_n	0.273
u	o	0.273
ˈi	ˈi	0.269
z	s	0.25
z	-	0.25
ˈe	ˈɛ	0.244
ˈe	ˈa_j	0.244
β	-	0.231
ˈu	ˈuː	0.226
ɣ	j	0.222
t_#>	l_#>	0.222
ˈa	ˈaː	0.212
ˈe	ˈe	0.2
ð	z	0.2
ˈa	ˈɔ	0.192
u	ˈu	0.182
#>	ʨ_#>	0.158
#>	n_#>	0.158
e	-	0.148
ŋ	ŋ	0.136
ʎ	-	0.133
j	ʃ_ə	0.133
<#_l	<#_ʎ	0.133
ˈɔ	j_ˈɛ	0.125
ˈɔ	-	0.125
ˈɛ	ˈiə̯	0.12
ˈɛ	ˈa	0.12
ˈy	-	0.118
ˈi	ˈɛ	0.115
e	i	0.111
#>	w_#>	0.105
ɾ	l	0.103
ˈu	-	0.097
ˈe	ˈeː	0.089
ˈɛ	ˈeː	0.08
ˈi	ˈeː	0.077
e	j_r	0.074
ɔ	n_ə	0.07
ɾ	r_ˈa	0.069
ɾ	-	0.069
ˈe	j	0.067
ˈe	e	0.067
b	ʒ_ɡ	0.059
s	p	0.054
