Western Lombard	Western Lombard	probability
ˈɔ_l	ˈaː	1.0
ˈɑː_d	w	1.0
ˈøː	ˈøː	1.0
ˈỹ	ˈy_ŋ	1.0
ˈy	ˈyː	1.0
ˈũ	ˈu_ŋ	1.0
ˈuː_r	u	1.0
ˈoː	ˈɔː	1.0
ˈo	ˈɔ	1.0
ˈĩ	ˈi_ŋ	1.0
ˈẽ	ˈe_ŋ	1.0
ˈã	ˈa_ŋ	1.0
ˈa_s	ˈa_ʃ	1.0
ˈa_#>	ˈaː_#>	1.0
ʧ_#>	#>	1.0
ʤ	ʤ	1.0
ʃ	ʧ	1.0
ɲ	ɲ	1.0
ɡ	ɡ	1.0
ɛ	-	1.0
z_ɡ	ʒ	1.0
w	w	1.0
v_j	v_j	1.0
v	v	1.0
ũ	u_ŋ	1.0
u_r	w	1.0
u_d	ɥ	1.0
t_ˈɛ	t_ˈe	1.0
t_a	t_a	1.0
s_a	s_a	1.0
r_s	r_s	1.0
r_a	j_a	1.0
r_#>	#>	1.0
p_j	ʧ	1.0
p_#>	p_u_#>	1.0
p	p	1.0
o	u	1.0
m	m	1.0
l_a	a	1.0
k_r	k_r	1.0
k_#>	ɡ_u_#>	1.0
k	k	1.0
j_ˈøː	ˈi_ʤ	1.0
j	ʤ	1.0
ĩ	i_ŋ	1.0
ẽ	n	1.0
e_r	r_u	1.0
b_j	ʤ	1.0
b	b	1.0
ã	a_ŋ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʤ	<#_ʤ	1.0
<#_ʒ	<#_z	1.0
<#_ɡ	<#_ɡ	1.0
<#_v	<#	1.0
<#_t	<#_t	1.0
<#_l	<#_l	1.0
<#_f_j	<#_ʃ	1.0
<#_d	<#_d	1.0
<#_a	<#_a	1.0
f	f	0.909
a	a	0.887
l	l	0.882
t	t	0.879
ˈuː	ˈuː	0.8
ˈi	ˈiː	0.75
y	u	0.75
r	r	0.75
l_#>	#>	0.727
n	n	0.667
f_#>	v_e_#>	0.667
<#_r	<#_r	0.667
s	s	0.632
d	-	0.625
#>	u_#>	0.618
ˈi_#>	ˈi_#>	0.6
ʒ	ʤ	0.6
i	i	0.6
ˈu	ˈu	0.583
e	e	0.538
ˈɑː	ˈaː	0.5
ˈœ	ˈø	0.5
ˈœ	-	0.5
ˈyː	ˈy	0.5
ˈa_l	ˈaː_r	0.5
ˈa_l	ˈaː	0.5
z	ʒ	0.5
z	s	0.5
ˈɛ	ˈe	0.452
ˈe	ˈeː	0.444
ˈeː	ˈeː	0.438
ʧ	s	0.421
ˈɑː	ˈa	0.417
ˈu	ˈuː	0.417
ˈɔ	ˈɔː	0.412
ˈi_#>	#>	0.4
ʒ	-	0.4
i	u	0.4
ˈeː	ˈe	0.375
ˈiː	ˈiː	0.364
ˈiː	-	0.364
ˈɔ	ˈɔ	0.353
ˈe	ˈe	0.333
ˈa	ˈɛː	0.333
ˈa	ˈaː	0.333
ˈa	ˈa	0.333
u	u	0.333
n	ŋ	0.333
f_#>	#>	0.333
<#_r	<#	0.333
ʧ	ʤ	0.316
#>	e_#>	0.316
ˈyː	ˈyː	0.312
ˈiː	ˈi	0.273
l_#>	u_#>	0.273
ˈi	ˈi	0.25
y	y	0.25
d	d	0.25
ˈɔ	ˈø	0.235
ˈɛ	ˈeː	0.226
ˈe	-	0.222
u	ɔː	0.222
u	w	0.222
u	-	0.222
ˈuː	-	0.2
ˈyː	-	0.188
ˈeː	ˈe_j	0.188
ˈɛ	ˈɛː	0.161
ˈɛ	ˈɛ	0.161
ʧ	z_e	0.158
e	j	0.154
r	u	0.15
d	ɡ	0.125
s	ʒ_e	0.123
l	j	0.118
ʧ	ʧ	0.105
f	v	0.091
s	s_e	0.088
ˈɑː	ˈɛː	0.083
a	-	0.081
e	ˈɛː	0.077
e	r	0.077
e	i	0.077
e	-	0.077
s	ʃ	0.07
t	d_u	0.061
t	d	0.061
