Proto-Germanic	Old High German	probability
β	b	1.0
ˈɛː	ˈɑː	1.0
ˈɔː	ˈuo̯	1.0
ˈɑː	ˈɑː	1.0
ˈɑ_n	ˈɑ_n	1.0
ˈuː	ˈuː	1.0
ˈĩː	ˈiː	1.0
ˈiː	ˈiː	1.0
ˈiu̯	ˈiu̯	1.0
ˈi_s	ˈi_s	1.0
ˈeː	ˈie̯	1.0
ˈeu̯	ˈio̯	1.0
ɸ	f	1.0
ɣ_j	kː	1.0
ɣ	ɡ	1.0
ɡʷ	ɡ	1.0
ɡ	ɡ	1.0
ɛː	ɛ	1.0
ɔːu̯	o	1.0
ɑː	-	1.0
ɑi̯	ˈei̯_n	1.0
ɑ_n	n	1.0
ŋ	ŋ	1.0
z	r	1.0
x_t	x_t	1.0
wː	w	1.0
w_ɑ	o	1.0
t_ɑ	s̻	1.0
t_s	s̻	1.0
sː	-	1.0
s_t	s_t	1.0
s_l	s_l	1.0
r_ɑ̃	ɑ_r	1.0
r_ð	r_t	1.0
r_u	ɑ_r	1.0
r_n	r_n	1.0
pː	-	1.0
p_ɑ	f	1.0
nː	nː	1.0
n_s	n_s	1.0
n_i	n_i	1.0
mː	mː	1.0
m_ˈe	m_ˈi	1.0
m	m	1.0
lː	lː	1.0
l_ɑ	ɑ_l	1.0
l_d	l_t	1.0
l	l	1.0
kʷ	-	1.0
iː	i	1.0
i_s	i_s	1.0
i_j	e	1.0
e	ɑ	1.0
d	t	1.0
b	b	1.0
s	s	0.978
r	r	0.978
n	n	0.972
θ	d	0.917
ɑ	ɑ	0.903
ð	t	0.895
x	h	0.849
ˈɑi̯	ˈei̯	0.837
w	w	0.837
ˈe	ˈɛ	0.832
ˈi	ˈi	0.826
ˈɑ	ˈɑ	0.809
j	-	0.793
ɔːː	o	0.769
p	f	0.741
r_ɑ	r	0.693
xʷ	w	0.647
n_ɑ	n	0.631
i	i	0.607
ˈu	ˈu	0.6
ɔː	-	0.59
k	k	0.557
j_ɑ	eː	0.5
j_ɑ	e	0.5
ˈɑu̯	ˈoː	0.488
ˈɑu̯	ˈou̯	0.466
ɔː	oː	0.41
ˈu	ˈo	0.4
i	-	0.393
n_ɑ	ɑ_n	0.369
t	s̻	0.354
xʷ	h	0.353
r_ɑ	ɑ_r	0.307
u	-	0.287
t	ʦ	0.28
u	u	0.275
t	s̻ː	0.241
ɔːː	ɑ	0.231
u	ɑ	0.225
k	xː	0.225
u	i	0.213
j	i	0.207
ˈɑ	ˈe	0.191
ˈɑi̯	ˈeː	0.163
w	-	0.163
p	p	0.157
x	x	0.151
k	x	0.151
t	t	0.125
ˈe	ˈi	0.114
ˈi	ˈiː	0.111
ð	tː	0.105
p	fː	0.102
ɑ	i	0.097
θ	t	0.083
k	kː	0.067
ˈi	-	0.063
ˈe	ˈiu̯	0.054
