Luxembourgish	West Flemish	probability
b	b	1.0
d	d	0.834
d	-	0.089
d	t	0.069
e	ɪ	1.0
f	v	0.763
f	p	0.126
f	f	0.099
h	-	0.8
h	z	0.112
h	ɦ	0.087
h_ˈəɪ̯	ˈoː	0.512
j	j	1.0
k	k	0.377
k	ɦ	0.356
k	-	0.129
k	ŋ	0.129
kʰ	k	0.97
kʰ	-	0.047
l	l	0.824
l	-	0.176
m	m	1.0
n	n	0.911
n	-	0.066
p	p	0.871
p	f	0.06
s	s	0.483
s	t	0.473
s	z	0.049
t	t	0.888
t	-	0.075
t	d	0.039
tʰ	t	0.135
v	ʋ	0.669
v	v	0.325
w	ʋ	1.0
z	z	0.935
z	s	0.068
ŋ	ŋ	0.763
ŋ	n_ə	0.147
ŋ	n	0.077
ɐ	ɾ	1.0
ɕ	h	0.469
ɕ	k	0.373
ɕ	-	0.085
ɕ	ç	0.072
ə	-	0.823
ə	w	0.098
ə	ə	0.077
ɡ	ɦ	0.919
ɡ	-	0.08
ʀ	ɾ	0.815
ʀ	-	0.098
ʀ	ɾ_n	0.077
ʃ	s	0.607
ʃ	z	0.149
ʃ	ʃ	0.132
ʃ	ɾ_s	0.068
ʃ	h	0.046
ʑ	ɦ	1.0
ʦ	t	1.0
ˈaː	ˈɑ	0.422
ˈaː	ˈoː	0.271
ˈaː	ˈɒː	0.122
ˈaː	ˈɑ_ɾ	0.088
ˈaː	ˈu	0.077
ˈe	ˈɪ	0.267
ˈe	ˈuə̯	0.176
ˈe	ˈʏ	0.176
ˈe	ˈœ	0.125
ˈe	ˈeː	0.119
ˈe	ˈiə̯	0.087
ˈeː	ˈɛː	0.57
ˈeː	ˈeː	0.19
ˈeː	ˈæ	0.132
ˈeː	j	0.082
ˈi	ˈoː	0.422
ˈi	ˈiə̯	0.164
ˈi	ˈuə̯	0.143
ˈi	ˈɛ	0.101
ˈi	ˈeː	0.068
ˈiə̯	ˈeː	0.463
ˈiə̯	ˈɔ	0.144
ˈiː	ˈæ	0.347
ˈiː	-	0.211
ˈiː	ˈeː	0.211
ˈiː	ˈœ	0.211
ˈo	ˈɔ	0.314
ˈo	ˈu	0.273
ˈo	ˈœ	0.273
ˈo	ˈoː	0.116
ˈoː	ˈɒː	0.863
ˈoː	ˈɛ	0.136
ˈu	ˈuə̯	0.474
ˈu	ˈøː	0.186
ˈu	ˈɛː	0.186
ˈu	ˈɒː	0.131
ˈuə̯	ˈoː	0.242
ˈuə̯	ˈøː	0.242
ˈuə̯	ˈɒː	0.242
ˈuə̯	ˈɑ	0.204
ˈuː	ˈɔ	0.85
ˈuː	ˈoː	0.087
ˈæ	ˈɑ	1.0
ˈæɪ̯	ˈi	1.0
ˈæːɪ̯	ˈi	0.686
ˈæːɪ̯	ˈɛ	0.143
ˈæːɪ̯	ˈiə̯	0.08
ˈæːɪ̯	ˈyː	0.08
ˈæːʊ̯	ˈyː	1.0
ˈɑ	ˈɪ	0.394
ˈɑ	ˈɑ	0.279
ˈɑ	ˈɔ	0.127
ˈɑ	ˈu	0.063
ˈɑ	ˈiə̯	0.062
ˈɑ	ˈæ	0.053
ˈɑ	ˈoː	0.042
ˈɑɪ̯	ˈiə̯	0.796
ˈɑɪ̯	ˈyː	0.164
ˈɔ	ˈu	1.0
ˈə	ˈæ	0.214
ˈə	ˈœ	0.186
ˈə	ˈɛ	0.162
ˈə	ˈɪ	0.162
ˈə	ə	0.123
ˈə	ˈiə̯	0.123
ˈəɪ̯	ˈiə̯	0.612
ˈəɪ̯	ˈuə̯	0.116
ˈəɪ̯	ˈɒː	0.079
ˈəɪ̯	ˈoː	0.069
ˈəɪ̯	w	0.066
ˈəɪ̯	ˈɛː	0.057
ˈəʊ̯	ˈoː	0.622
ˈəʊ̯	ˈuə̯	0.208
ˈəʊ̯	ˈɒː	0.158
ˈɛ	ˈɛ	0.891
ˈɛ	ˈeː	0.077
ˈɛː	ˈæ	0.517
ˈɛː	ˈɒː	0.392
ˈɛː	ˈɛː	0.055
ˈʊ	ˈuə̯	0.74
ˈʊ	ˈu	0.201
ˈʊɪ̯	ˈɔ	0.512
χ	k	0.538
χ	h	0.457
