North Frisian	Swiss German	probability
b	b̥	0.902
b	-	0.056
b	fː	0.049
d	t	0.577
d	d̥	0.23
d	tː	0.074
d	ɡ̊	0.065
d	sː	0.049
dʲ	t	0.809
dʲ	d̥	0.187
f	f	0.852
f	b̥	0.145
h	h	0.984
h	-	0.035
i	i	0.777
i	-	0.114
i	ə	0.077
j	-	0.406
j	ɡ̊	0.186
j	ə	0.13
j	t	0.098
j	j	0.078
j_ə	ɡ̊	1.0
k	χ	0.774
k	k	0.156
k	-	0.048
k	ɡ̊	0.036
l	l	0.933
l	-	0.041
l	w	0.03
lʲ	l	0.467
lʲ	l_t	0.407
lʲ	r	0.069
m	m	0.948
m	mː	0.054
n	n	0.698
n	-	0.237
n	ŋ	0.033
n	i	0.032
nʲ	-	0.339
nʲ	ŋ	0.223
nʲ	ˈei̯	0.194
nʲ	ˈɛi̯	0.088
nʲ	d̥	0.085
p	f	0.609
p	p͡f	0.273
p	p	0.094
r	r	0.934
r	-	0.05
s	s	0.567
s	ʃ	0.35
s	ʃ_ʋ	0.042
s	d̥	0.029
s	χ	0.028
t	t	0.459
t	ʦ	0.259
t	sː	0.089
t	d̥	0.075
t	s	0.075
tʲ	sː	0.603
tʲ	d̥	0.257
tʲ	s	0.092
v	ʋ	0.578
v	f	0.134
v	b̥	0.134
v	-	0.107
v	fː	0.042
w	ɡ̊	0.275
w	ˈu	0.24
w	ˈyː	0.135
x	χ	1.0
z	sː	0.484
z	s	0.224
z	r	0.101
z	d̥	0.042
ŋ	ŋ	0.658
ŋ	ɡ̊	0.173
ŋ	-	0.151
ə	ə	0.726
ə	-	0.272
ɡ	ɡ̊	1.0
ʃ	ʃ	0.775
ʃ	χ	0.131
ʃ	s	0.07
ʃ	ʃː	0.035
ˈa	ˈi	0.263
ˈa	ˈæ	0.16
ˈa	-	0.139
ˈa	ˈe	0.121
ˈa	ˈɒ	0.063
ˈai̯	ˈɛi̯	0.322
ˈai̯	ˈøi̯	0.322
ˈai̯	ˈi	0.24
ˈaː	ˈi	0.361
ˈaː	ˈy	0.361
ˈaː	ˈoː	0.204
ˈeː	ˈæ	0.277
ˈeː	ˈɒː	0.241
ˈeː	ˈæː	0.08
ˈeː	ˈø	0.08
ˈeː	ˈiə̯	0.08
ˈi	ˈiː	0.512
ˈi	ˈi	0.127
ˈi	ˈɛi̯	0.072
ˈi	ˈøː	0.072
ˈi	ˈei̯	0.06
ˈiː	ˈyː	0.279
ˈiː	ˈiə̯	0.149
ˈiː	-	0.082
ˈiː	ˈeː	0.082
ˈiː	ˈøː	0.082
ˈiː_ə	ˈeː	1.0
ˈuː	ˈoː	0.261
ˈuː	ˈau̯	0.227
ˈuː	ˈou̯	0.168
ˈuː	ˈɒ	0.146
ˈuː	ˈa	0.097
ˈyː	ˈuː	0.262
ˈyː	ˈoː	0.147
ˈyː	ˈu	0.125
ˈyː	ˈɒː	0.063
ˈyː	ˈiː	0.063
ˈyː_s	ˈuː	1.0
ˈøː	ˈo	0.384
ˈøː	ˈyː	0.253
ˈøː	ˈæ	0.155
ˈøː	ˈuː	0.1
ˈœ	ˈuə̯	0.386
ˈœ	ˈi	0.17
ˈœ	ˈɒ	0.161
ˈœ	ˈo	0.129
ˈœ	ˈu	0.073
ˈɒ	ˈɒ	0.544
ˈɒ	ˈei̯	0.156
ˈɒ	ˈiə̯	0.101
ˈɒ	ˈɛi̯	0.079
ˈɒ	ˈɒː	0.071
ˈɒː	ˈɒ	0.413
ˈɒː	ˈɒː	0.176
ˈɒː	ˈø	0.116
ˈɒː	ˈa	0.105
ˈɒː	ˈei̯	0.076
ˈɔ	ˈo	0.815
ˈɔ	ˈu	0.148
ˈɔi̯	ˈei̯	0.491
ˈɔu̯	ˈyə̯	0.194
ˈɔu̯	ˈiə̯	0.194
ˈɔu̯	ˈɒ	0.132
ˈɔu̯	ˈy	0.132
ˈɔu̯	ˈøi̯	0.126
ˈɔː	ˈɒ	0.199
ˈɔː	ˈi	0.173
ˈɔː	ˈo	0.173
ˈɔː	ˈu	0.114
ˈɔː	ˈɒː	0.112
ˈɛ	ˈyə̯	0.561
ˈɛ	ˈi	0.182
ˈɛ	ˈæ	0.111
ˈɛi̯	ˈɒː	0.339
ˈɛi̯	ˈyː	0.231
ˈɛi̯	ˈoː	0.133
ˈɛi̯	ˈæː	0.099
ˈɛi̯	ˈyə̯	0.096
ˈɛː	ˈæ	0.409
ˈɛː	ˈɒː	0.148
ˈɛː	ˈøi̯	0.107
ˈɛː	ˈɒ	0.104
ˈɛː	ˈoː	0.104
ˈʊ	ˈu	0.308
ˈʊ	ˈi	0.148
ˈʊ	ˈæ	0.148
ˈʊ	ˈo	0.129
ˈʊ	ˈɒ	0.069
ˈʏ	ˈyː	0.298
ˈʏ	ˈø	0.226
ˈʏ	ˈo	0.127
