North Frisian	Swiss German	probability
b	b̥	0.973
d	t	0.663
d	d̥	0.142
d	tː	0.078
d	ɡ̊	0.063
dʲ	t	0.767
dʲ	d̥	0.233
f	f	0.862
f	b̥	0.071
f	-	0.067
h	h	0.976
i	i	0.595
i	ə	0.285
i	-	0.119
j	-	0.415
j	ɡ̊	0.414
j	l	0.055
k	χ	0.871
k	k	0.071
l	l	0.948
lʲ	l	0.784
lʲ	r	0.216
m	m	0.882
m	-	0.06
m	mː	0.059
n	n	0.858
n	-	0.085
nʲ	-	0.179
nʲ	d̥	0.179
nʲ	ˈei̯	0.179
nʲ	ˈɛi̯	0.179
nʲ	ŋ	0.16
nʲ	ˈɒː	0.122
p	f	0.831
p	p͡f	0.132
r	r	0.991
s	s	0.611
s	ʃ	0.295
t	t	0.361
t	ʦ	0.351
t	d̥	0.141
t	sː	0.076
t	s	0.059
tʲ	sː	0.837
tʲ	d̥	0.108
tʲ	s	0.056
v	ʋ	0.634
v	-	0.167
v	f	0.099
v	b̥	0.086
w	ˈyː	0.393
w	ə	0.268
w	ɡ̊ː	0.268
w	ɡ̊	0.071
x	χ	1.0
z	sː	0.611
z	r	0.205
z	s	0.184
ŋ	ŋ	0.763
ŋ	ɡ̊	0.205
ə	ə	0.906
ə	-	0.086
ɛi̯	æ	1.0
ɡ	ɡ̊	1.0
ʃ	ʃ	0.815
ʃ	χ	0.143
ˈa	ˈi	0.203
ˈa	-	0.19
ˈa	ˈæ	0.161
ˈa	ˈu	0.121
ˈa	ˈe	0.092
ˈa	ˈɒ	0.074
ˈai̯	ˈi	0.611
ˈai̯	ˈeː	0.147
ˈai̯	ˈøi̯	0.147
ˈai̯	ˈɛi̯	0.094
ˈaː	ˈoː	0.494
ˈaː	ˈu	0.253
ˈaː	ˈi	0.126
ˈaː	ˈy	0.126
ˈeː	ˈæ	0.306
ˈeː	ˈɒː	0.225
ˈeː	ˈæː	0.156
ˈeː	ˈy	0.085
ˈeː	ˈi	0.079
ˈeː	ˈø	0.057
ˈeː	ˈiə̯	0.051
ˈi	ˈiː	0.385
ˈi	ˈi	0.268
ˈi	ˈøː	0.089
ˈi	ˈæː	0.088
ˈi	ˈy	0.051
ˈiː	ˈyː	0.172
ˈiː	-	0.132
ˈiː	ˈøː	0.12
ˈiː	ˈeː	0.11
ˈiː	ˈiə̯	0.093
ˈiː	ˈæi̯	0.081
ˈiː	ˈi	0.066
ˈiː	ˈæː	0.066
ˈiː	ˈøi̯	0.051
ˈu	ˈu	0.671
ˈu	ˈi	0.329
ˈuː	ˈoː	0.31
ˈuː	ˈɒ	0.23
ˈuː	ˈau̯	0.195
ˈuː	ˈou̯	0.148
ˈuː	ˈeː	0.091
ˈyː	ˈuː	0.254
ˈyː	ˈoː	0.203
ˈyː	-	0.127
ˈyː	ˈu	0.115
ˈyː	ˈy	0.08
ˈyː	ˈøː	0.052
ˈøː	ˈuː	0.61
ˈøː	ˈo	0.321
ˈœ	ˈɒ	0.382
ˈœ	ˈuə̯	0.195
ˈœ	ˈi	0.148
ˈœ	ˈo	0.147
ˈœ	ˈu	0.128
ˈœi̯	ˈuə̯	1.0
ˈɒ	ˈɒ	0.376
ˈɒ	ˈæ	0.288
ˈɒ	ˈiə̯	0.198
ˈɒ	ˈɒː	0.074
ˈɒː	ˈɒ	0.606
ˈɒː	ˈɒː	0.275
ˈɒː	ˈei̯	0.068
ˈɒː	ˈø	0.051
ˈɔ	ˈo	0.801
ˈɔ	ˈy	0.12
ˈɔ	ˈu	0.079
ˈɔi̯	ˈei̯	1.0
ˈɔu̯	ˈoː	0.471
ˈɔu̯	ˈo	0.126
ˈɔu̯	ˈy	0.124
ˈɔu̯	ˈiə̯	0.107
ˈɔu̯	ˈyə̯	0.083
ˈɔu̯	ˈɒ	0.062
ˈɔː	ˈɒː	0.257
ˈɔː	rː	0.134
ˈɔː	ˈɒ	0.121
ˈɔː	ˈo	0.102
ˈɔː	ˈø	0.098
ˈɔː	-	0.082
ˈɔː	ˈou̯	0.058
ˈɔː	ˈu	0.058
ˈɛ	ˈyə̯	0.482
ˈɛ	ˈi	0.241
ˈɛ	ˈæ	0.147
ˈɛ	ˈuə̯	0.131
ˈɛi̯	ˈyː	0.182
ˈɛi̯	ˈɒː	0.175
ˈɛi̯	ˈæ	0.149
ˈɛi̯	ŋ	0.148
ˈɛi̯	ˈæː	0.148
ˈɛi̯	ˈoː	0.101
ˈɛi̯	ˈyə̯	0.096
ˈɛː	ˈɒ	0.394
ˈɛː	ˈæ	0.27
ˈɛː	ˈɒː	0.151
ˈɛː	ˈøi̯	0.092
ˈʊ	ˈu	0.515
ˈʊ	ˈɒ	0.121
ˈʊ	ˈæ	0.092
ˈʊ	ˈi	0.085
ˈʊ	ˈy	0.06
ˈʏ	ˈyː	0.444
ˈʏ	ˈo	0.255
ˈʏ	ˈø	0.156
ˈʏ	ˈuː	0.076
ˈʏ	ˈy	0.068
