Wymysorys	Middle High German	probability
ˈɪ	ˈiə̯	1.0
ˈɑi̯_ɛ	ˈyː	1.0
ʧ	ʃ	1.0
ʃ_p	p	1.0
ɪ_k	i	1.0
ɪ	-	1.0
ɡ	ɡ	1.0
ɟ	ɡ	1.0
ɛ	ə	1.0
ɑ	ɛ_h	1.0
z	s	1.0
v_ɛ	b_ə	1.0
u	ə	1.0
r	r	1.0
p	b_ə	1.0
n_d	n_t	1.0
l	l	1.0
k_s	x_s	1.0
h_ˈoi̯	h	1.0
h	h	1.0
d_a	oː	1.0
d	d	1.0
c	k	1.0
b̥	b̥	1.0
b	b	1.0
m	m	0.953
t	t	0.915
w	l	0.903
ˈɔ	ˈɑ	0.895
ʦ	ʦ	0.872
a	ə_n	0.871
ˈai̯	ˈiː	0.835
ʃ	ʃ	0.829
v	w	0.818
n	n	0.79
ŋ	ŋ	0.778
f	v	0.762
ɡ̊	ɡ̊	0.733
ˈa	ˈei̯	0.706
k	kʰ	0.676
ˈɘ̟	ˈi	0.633
ç	x	0.622
j	-	0.622
x	x	0.62
d̥	d̥	0.615
ə	ə	0.611
ˈi̯ø	ˈɑ_r	0.575
ˈʏ	ˈuə̯	0.55
ˈø	ˈɑː	0.541
ˈɑ	ˈɑ	0.515
s	s̻	0.475
ˈu	ˈu	0.473
ˈɛ	-	0.466
ˈi̯ø	ˈɑ_ɡ	0.425
ˈɑi̯	ˈuː	0.401
ə	-	0.389
ˈi	ˈiə̯	0.386
x	xː	0.38
ç	xː	0.378
j	j	0.378
ˈei̯	ˈi	0.37
ˈɛ	ˈe	0.332
k	k	0.324
s	s	0.323
ˈʏ	-	0.297
ˈa	ˈɛ	0.294
ˈu	ˈo	0.292
ˈɘ̟	ˈy	0.279
ˈø	ˈɑ	0.271
ˈei̯	-	0.27
ɡ̊	ɡ_ə	0.267
ˈi	ˈyə̯	0.232
d̥	-	0.231
ŋ	n_ə	0.222
ˈɑi̯	ˈyː	0.215
ˈɑ	ˈɛ	0.215
ˈɑi̯	ˈou̯	0.211
s	s̻ː	0.203
ˈɛ	ˈei̯	0.202
ˈi	ˈe	0.195
ˈø	ˈo	0.188
ˈi	ˈi	0.187
ˈei̯	ˈeː	0.185
f	f	0.183
v	-	0.182
ˈei̯	ˈøː	0.176
ˈɑi̯	-	0.173
ʃ	ʃː	0.171
ˈai̯	-	0.165
d̥	d	0.154
ˈʏ	ˈu_r	0.153
ˈu	ˈoː	0.15
a	ə	0.129
ʦ	ʦː	0.128
ˈɔ	ˈo	0.105
w	-	0.097
ˈɑ	ˈɛ_r	0.094
n	nː	0.091
ˈɑ	ˈɛ_h	0.088
ˈɑ	-	0.088
ˈu	-	0.084
n	n_ə	0.068
ˈɘ̟	-	0.067
f	p͡f	0.056
n	b_ə_n	0.051
