North Frisian	Limburgish	probability
ˈɛː_d	ˈeː	1.0
ˈɛ	ˈøː	1.0
ˈɔ	ˈʊː	1.0
ˈɒː_d	ˈaː_t	1.0
ˈɒː	ˈɑ	1.0
ˈøː	ˈuː	1.0
ˈai̯	ˈɪː	1.0
ɡ	ɣ	1.0
ə_r	ʀ	1.0
ə_n	ə	1.0
ə_l	ə_l	1.0
ŋ	ŋ	1.0
z	t	1.0
x_t	x	1.0
x	x	1.0
w	k	1.0
tʲ	t	1.0
t_ˈiː	t_ˈɛː	1.0
s_t	s	1.0
r_t	ʀ	1.0
r_n	ʀ_ə	1.0
p	p	1.0
n_ə	n	1.0
m_ə	m	1.0
m	m	1.0
lʲ	l	1.0
l_ˈiː	l_ˈeː	1.0
l_ə	v̥	1.0
k	k	1.0
j_ˈa	ˈeː	1.0
j_#>	x_#>	1.0
i_#>	ə_x_#>	1.0
i	ɪ	1.0
h	ɦ	1.0
f	v	1.0
b	b	1.0
<#_r	<#_ʀ	1.0
<#	<#_l	1.0
v	β	0.923
d	d	0.905
ə	ə	0.893
r	ʀ	0.868
l	l	0.865
d_#>	d̥_#>	0.833
n	n	0.773
t	t	0.758
ˈɒ	ˈɑ	0.714
j	ɣ	0.714
#>	d̥_#>	0.615
f_#>	v̥_#>	0.6
nʲ	n	0.571
ʃ	ʃ	0.533
s	z	0.512
ˈʊ	ˈʊː	0.5
ˈɛː	ˈɒː	0.5
ˈɛː	ˈeː	0.5
ˈɔː	ˈɔ	0.5
ˈɔu̯	ˈɒː	0.5
ˈɔu̯	-	0.5
ˈyː	ˈuː	0.5
ˈi	ˈiː	0.5
ˈaː	ˈʊː	0.5
ˈaː	ˈɛː	0.5
v_ə	ə	0.5
v_ə	v_ə	0.5
v_#>	f_#>	0.5
v_#>	#>	0.5
dʲ	j	0.5
dʲ	d̥	0.5
s	s	0.488
ʃ	s	0.467
nʲ	n_d̥	0.429
f_#>	#>	0.4
ˈœ	ˈʊː	0.364
ˈɛi̯	ˈɒː	0.333
ˈɛi̯	ˈøː	0.333
ˈɛi̯	ˈi	0.333
ˈeː	ˈæː	0.333
ˈuː	ˈɔː	0.3
ˈuː	ˈaː	0.3
ˈɒ	ˈɑː	0.286
ˈyː	ˈu	0.286
j	ˈeː	0.286
ˈœ	ˈɑː	0.273
ˈɔː	ˈɒː	0.25
ˈɔː	ˈeː	0.25
ˈa	ˈɪ	0.25
ˈa	ˈaː	0.25
t	d	0.242
ˈiː	ˈɛː	0.238
ˈiː	ˈi	0.238
ˈiː	ˈeː	0.238
#>	x_#>	0.231
ˈeː	ˈæ	0.222
ˈeː	ˈeː	0.222
ˈeː	ˈaː	0.222
ˈʊ	ˈɔ	0.214
ˈyː	ˈʊː	0.214
ˈi	ˈeː	0.214
ˈuː	ˈuː	0.2
ˈuː	ˈu	0.2
ˈiː	ˈiː	0.19
ˈœ	ˈoː	0.182
ˈœ	ˈaː	0.182
ˈa	ˈɛ	0.167
ˈa	ˈɑ	0.167
ˈa	ˈi	0.167
d_#>	#>	0.167
#>	k_#>	0.154
ˈʊ	ˈɪː	0.143
ˈʊ	ˈæ	0.143
ˈi	ˈɪː	0.143
ˈi	ˈɛː	0.143
n	n_d	0.136
l	l_ə	0.135
r	ʀ_ə	0.132
ə	-	0.107
ˈiː	ˈɛːi̯	0.095
d	ɡ	0.095
v	v̥	0.077
