Bokmål Norwegian	Faroese	probability
b	b̥	1.0
d	d̥	0.652
d	t	0.181
d	ʤ̊	0.068
d	tʰ	0.052
f	f	0.958
h	h	1.0
i	a	1.0
j	j	0.577
j	ʧ	0.146
j	-	0.092
j	ˈaːi̯	0.064
j	ʤ̊	0.063
j	ˈɔ̯aː	0.059
k	k	0.815
k	ʧ	0.089
k	-	0.071
kʰ	kʰ	1.0
kː	ʰkː	0.643
kː	ʰʧː	0.357
l	l	0.792
l	l̥	0.108
l	ɡ̊_l	0.056
lː	l	0.52
lː	t_l̥	0.444
m	m	1.0
mː	m	0.736
mː	mː	0.264
n	n	0.905
n	n̥	0.059
nː	n	0.519
nː	nː	0.437
p	p	0.713
p	ʰp	0.287
pː	ʰpː	1.0
s	s	0.912
s	ʃ	0.088
sː	sː	0.634
sː	s	0.366
t	t	0.87
t	ʰt	0.13
tʰ	tʰ	0.952
tː	ʰtː	0.572
tː	ʰt	0.282
tː	t	0.146
ŋ	ŋ	1.0
ŋː	ŋ	0.878
ŋː	ɲ	0.122
ɕ	ʧʰ	1.0
ə	a	0.623
ə	ɪ	0.119
ə	ʊ	0.086
ə	-	0.076
ɡ	ɡ̊	0.935
ɡː	ɡ̊ː	0.559
ɡː	ʤ̊ː	0.441
ɪ	ɛ	0.812
ɪ	ɪ	0.188
ɳ	n̥	0.825
ɳ	t	0.175
ɾ	ɹ	0.87
ɾ	ʊ_ɹ	0.059
ʂ	ʃ	0.709
ʂ	s	0.212
ʂ	-	0.079
ʃ	ʃ	1.0
ʈ	ʈ	0.675
ʈ	t	0.325
ʈː	ʈ	1.0
ʋ	v	0.909
ˈeː	ˈiː	0.245
ˈeː	ˈɛːa̯	0.243
ˈeː	ˈʊ̯iː	0.152
ˈeː	ˈai̯	0.081
ˈeː	ˈøː	0.075
ˈeː	ˈeː	0.058
ˈeː	ˈʊ	0.055
ˈiː	ˈʊ̯iː	0.63
ˈiː	ˈiː	0.175
ˈiː	ˈʊ	0.107
ˈoː	ˈɔ̯aː	0.823
ˈoː	ˈɛ	0.061
ˈuː	ˈɔːu̯	0.416
ˈuː	ˈɔ	0.178
ˈuː	ˈoː	0.166
ˈuː	ˈøː	0.12
ˈuː	ˈɛ	0.055
ˈyː	ˈʊ̯iː	0.312
ˈyː	ˈɔːu̯	0.307
ˈyː	ˈʉːu̯	0.11
ˈyː	ˈʏ	0.092
ˈyː	ˈɪ	0.065
ˈyː	ˈʊ	0.061
ˈyː	ʊ	0.053
ˈæ	ˈeː	1.0
ˈæɪ̯	ˈai̯	0.303
ˈæɪ̯	ˈɛ	0.295
ˈæɪ̯	ˈeː	0.209
ˈæɪ̯	ˈaːi̯	0.173
ˈæː	ˈeː	0.372
ˈæː	ˈøː	0.328
ˈæː	ˈœ	0.154
ˈæː	ˈɛːa̯	0.146
ˈøː	ˈɛːi̯	0.525
ˈøː	ˈøː	0.213
ˈøː	ˈɔːi̯	0.091
ˈøː	-	0.075
ˈøː	ˈœ	0.057
ˈœ	ˈɪ	0.395
ˈœ	ˈøː	0.221
ˈœ	ˈɔ	0.162
ˈœ	ˈɛːi̯	0.084
ˈœ	ɹː	0.082
ˈœ	ˈɔːi̯	0.056
ˈœʏ̯	ˈɔːi̯	1.0
ˈɑ	ˈa	0.613
ˈɑ	ˈɔ	0.215
ˈɑ	ˈɛ	0.078
ˈɑː	ˈɛːa̯	0.673
ˈɑː	ˈa	0.327
ˈɔ	ˈɔ	0.567
ˈɔ	ˈʊ	0.199
ˈɔ	ˈoː	0.108
ˈɔ	ˈœ	0.068
ˈɔ	ˈiː	0.059
ˈɛ	ˈɛ	0.43
ˈɛ	ˈa	0.141
ˈɛ	ˈœ	0.098
ˈɛ	ˈɔ	0.096
ˈɛ	-	0.067
ˈɛ	ˈɪ	0.057
ˈɪ	ˈɪ	0.781
ˈɪ	ˈeː	0.087
ˈɪ	ˈɛ	0.056
ˈʉ	ˈʊ	0.962
ˈʉː	ˈʉːu̯	0.496
ˈʉː	ˈuː	0.151
ˈʉː	ˈɪ	0.115
ˈʉː	ˈɛːi̯	0.059
ˈʉː	ˈʊ	0.05
ˈʉː	ˈʏ	0.05
ˈʊ	ˈɔ	0.503
ˈʊ	ˈuː	0.248
ˈʊ	ˈʊ	0.248
ˈʏ	ˈɪ	0.625
ˈʏ	ˈʊ	0.193
ˈʏ	ˈœ	0.108
ˈʏ	ˈʏ	0.074
