Romanian	Romanian	probability
ˈu_p	ˈo	1.0
ˈo_j	ˈo	1.0
ˈe_w	ˈi_o	1.0
ˈau̯	ˈɔ	1.0
ˈa_r	r	1.0
ʒ	ð	1.0
ʃ_t	s	1.0
ʃ	s	1.0
ə_#>	#>	1.0
v	v	1.0
u_m	ˈɛ	1.0
r_m	r_m	1.0
r_#>	l_#>	1.0
o	o	1.0
nʲ	n_i	1.0
n_#>	ŋ_#>	1.0
m_#>	ŋ_#>	1.0
kʲ	ʧ_o	1.0
k_r	k_r	1.0
k_e	ʧ_a	1.0
j_ˈe	ˈɛ	1.0
j_n	ŋ	1.0
f_r	b	1.0
f	f	1.0
e̯ˈa_r	ˈe_r	1.0
e_d	ˈe_d	1.0
e_#>	#>	1.0
a	a	1.0
<#_ˈo	<#_ˈɔ	1.0
<#_ˈa	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_m	<#	1.0
<#_l	<#_l	1.0
<#_j	<#	1.0
<#_a	<#	1.0
m	m	0.895
ˈa	ˈa	0.886
r	r	0.868
s	s	0.864
ˈɨ	ˈa	0.833
b	b	0.833
ə	a	0.814
d	d	0.786
p	p	0.75
e_r	e_r	0.75
z	d	0.714
p_t	t	0.714
t	t	0.692
l	l	0.692
u	o	0.688
ʤ	ð	0.667
ɡ	ɡ	0.667
k	k	0.667
i	e	0.667
<#_ɡ	<#_ɡ	0.667
ˈi	ˈi	0.6
w	-	0.6
ˈe	ˈe	0.591
ˈu	ˈo	0.577
n	n	0.564
ʧ	θ	0.562
o̯ˈa	ˈo	0.545
#>	o_#>	0.529
ɨ	a	0.5
ɨ	-	0.5
ŋ	ŋ	0.5
ŋ	-	0.5
e̯ˈa	l_a	0.5
e̯ˈa	-	0.5
o̯ˈa	ˈɔ	0.455
ʦ	θ	0.444
j	j	0.417
w	o	0.4
ˈo	ˈo	0.364
n	ŋ	0.359
ʦ	-	0.333
ʤ	-	0.333
ɡ	ʤ	0.333
j	ˈɛ	0.333
i	i	0.333
<#_ɡ	<#_j	0.333
u	-	0.312
e	e	0.31
l	j	0.308
ˈi	ˈe	0.3
z	-	0.286
p_t	t_o	0.286
ˈo	ˈɔ	0.273
k	ɡ	0.267
ʧ	z	0.25
j	-	0.25
e_r	r	0.25
e	o	0.241
e	a	0.241
ˈu	ˈu	0.231
ʦ	t_ˈɛ	0.222
d	-	0.214
ʧ	-	0.188
ˈo	ˈu	0.182
ˈo	ˈo_v	0.182
ˈɨ	ˈe	0.167
b	-	0.167
t	d	0.154
t	-	0.154
p	-	0.15
ə	e	0.14
ˈe	ˈɛ	0.136
s	-	0.136
r	l	0.132
#>	ŋ_#>	0.118
#>	s_#>	0.118
#>	l_#>	0.118
#>	a_#>	0.118
ˈu	-	0.115
ˈa	-	0.114
m	ŋ	0.105
ˈi	-	0.1
p	k_w	0.1
ˈe	j_ˈe	0.091
ˈe	e	0.091
ˈe	-	0.091
ˈu	ˈɔ	0.077
n	-	0.077
e	ˈe	0.069
e	r	0.069
e	-	0.069
k	ʧ	0.067
