Proto-Balto-Slavic	Proto-Balto-Slavic	probability
́ˀ	-	1.0
́_ʃ	x	1.0
́_ɡ	x	1.0
́_r	ʀʲ	1.0
́_l	w	1.0
́	-	1.0
ˀ_t	d	1.0
ˀ_#>	#>	1.0
ˀ	-	1.0
ɛ	ɛ	1.0
z	z	1.0
w_a	w_ɔ	1.0
uː	ɪ	1.0
u_́	o	1.0
t_ei̯	ʨ	1.0
t_a	t	1.0
sʲ	s	1.0
s_#>	#>	1.0
o	-	1.0
m_eː	mʲ_a	1.0
l_ˀ	w	1.0
k_a	k	1.0
j	-	1.0
iː	i	1.0
i_́	ɔ	1.0
eː	-	1.0
d_a	d̥	1.0
aː_́ˀ	a	1.0
a_s	ɪ	1.0
a_n	u	1.0
a_#>	#>	1.0
<#_s	<#_s	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
<#_a	<#_w	1.0
#>	ɔ_#>	1.0
aː	a	0.846
m	m	0.833
r	ʀ	0.8
e	-	0.778
b	b	0.75
zʲ	z	0.727
d	d	0.714
<#	<#_j	0.714
l	w	0.667
ɡ	ɦ	0.647
i	-	0.632
ŋ	u	0.6
u	-	0.6
au̯	u	0.6
t	t	0.571
ai̯	e	0.571
a	-	0.571
e_́	e	0.545
w	ɥ	0.538
n	n	0.526
ʃ	s	0.5
ʃ	-	0.5
oː	j	0.5
oː	a	0.5
a_́	u	0.5
a_́	o	0.5
n	-	0.474
w	w	0.462
k	k	0.429
ai̯	-	0.429
s	s	0.417
ŋ	-	0.4
u	kʲ_i	0.4
au̯	-	0.4
p	p	0.375
p	-	0.375
s	i	0.333
l	l	0.333
t	ʨ	0.286
k	-	0.286
d	ʥ	0.286
a	ɔ	0.286
<#	<#_w	0.286
e_́	ɔ	0.273
s	-	0.25
p	pʲ	0.25
b	bʲ	0.25
e	ɔ	0.222
zʲ	ɦ	0.182
e_́	ɛ	0.182
ɡ	ʒ̊	0.176
ɡ	ʒ	0.176
m	-	0.167
i	e	0.158
aː	-	0.154
t	-	0.143
k	ʦ	0.143
k	ʃ	0.143
a	ɪ	0.143
i	ɛ	0.105
i	ɔ	0.105
r	ʀʲ	0.1
r	-	0.1
zʲ	z̥	0.091
