Pennsylvania German	Pennsylvania German	probability
ˈɪ_l	ˈɛː_l	1.0
ˈɛː_ɑ	ʀ	1.0
ˈɛ_d	ˈeː	1.0
ˈɔɪ̯	ˈɛːi̯	1.0
ˈeː_ə	ˈi_n	1.0
ʦ	t	1.0
ʋ_ə	v_ə	1.0
ʃ_t	s	1.0
ɾ_ˈaɪ̯	ʀ	1.0
ɾ_ə	ʀ_ə	1.0
ɾ	ʀ	1.0
ɪ_ç	ə_k	1.0
ɣ	ɣ_ə	1.0
ɡ̊	ɣ̊	1.0
ɡ	ɣ	1.0
ç_t	x	1.0
x_t	x	1.0
t	t	1.0
s_ə	t_ə	1.0
p	p	1.0
m_ə	m	1.0
m	m	1.0
k_s	s	1.0
k	k	1.0
j	ɣ	1.0
h	ɦ	1.0
eː	i	1.0
d̥_#>	#>	1.0
d̥	d̥	1.0
d_ə	j_ə	1.0
b̥	v̥	1.0
b	b	1.0
<#_ˈɛ	<#_ˈeː	1.0
<#_ˈoː	<#	1.0
<#_ɾ	<#_ʀ	1.0
<#_j	<#_j	1.0
l	l	0.978
ʋ	β	0.935
ə	ə	0.879
n	n	0.8
d	d	0.763
ˈaʊ̯	ˈuː	0.727
x	k	0.714
f	v	0.676
ˈiː	ˈeː	0.667
ɑ	ʀ	0.639
ŋ	ŋ	0.636
ʃ	s	0.586
ɪ	ə	0.571
ˈɔ	ˈɔ	0.545
ˈʊ	ˈʊː	0.529
ˈuː	ˈʊː	0.5
ˈoː	ˈɒː	0.5
ˈoː	ˈu	0.5
ˈa_l	ˈaː_j	0.5
ˈa_l	ˈaː	0.5
n_#>	ʀ_ə_#>	0.5
n_#>	ə_#>	0.5
#>	n_#>	0.455
ˈɛː	-	0.429
ɪ	-	0.429
s	z	0.425
ˈaɪ̯	ˈiː	0.381
ŋ	ŋ_k	0.364
ç	k	0.364
#>	ə_#>	0.364
s	t	0.35
ˈeː	ˈɛː	0.346
ˈa	ˈɑ	0.345
ˈa	ˈaː	0.345
ˈɪ	ˈɪː	0.333
ˈiː	ˈøː	0.333
ˈaɪ̯	-	0.333
ˈɛː	ˈæː	0.286
ˈɛː	ˈeː	0.286
x	x	0.286
ɑ	ə_ʀ	0.278
ˈɔ	ˈɔː	0.273
ˈaʊ̯	ˈɔu̯	0.273
ç	ɣ̊	0.273
ˈɔː	ˈɒː	0.263
ˈɛ	ˈeː	0.25
ˈuː	ˈoː	0.25
ˈuː	-	0.25
ˈaː	ˈʊː	0.25
ˈaː	ˈœː	0.25
ˈaː	ʀ	0.25
ˈaː	-	0.25
f	p	0.243
ʃ	ʃ	0.241
ˈʊ	ˈɔ	0.235
s	z̥	0.225
ˈɔː	ˈaː	0.211
ˈaɪ̯	ˈœi̯	0.19
ˈɛ	ˈɪ	0.188
ˈɛ	ˈæ	0.188
ˈɔ	ˈoː	0.182
ç	ŋ	0.182
ç	x	0.182
#>	j_#>	0.182
ˈʊ	ˈoː	0.176
ˈa	ˈɑː	0.172
ʃ	z	0.172
ˈɔː	ˈɔː	0.158
ˈɔː	-	0.158
n	n_d	0.156
ˈeː	ˈi	0.154
ˈɪ	ˈœ	0.133
ˈɪ	ˈeː	0.133
ˈɛ	ˈɛ	0.125
ˈɛ	ˈæː	0.125
ˈɛ	-	0.125
ə	-	0.121
ˈeː	ˈɛː_n	0.115
ˈeː	ˈeː	0.115
ˈeː	-	0.115
ˈɔː	ˈɔu̯	0.105
ˈɔː	ˈɑː	0.105
ˈɪ	ˈɛ	0.1
ˈɪ	-	0.1
ˈaɪ̯	ˈɛːi̯	0.095
ɑ	ˈøː_ʀ	0.083
f	ə_v̥	0.081
d	t_ə	0.079
d	j_ə	0.079
d	-	0.079
ˈeː	ˈyː	0.077
ˈeː	n	0.077
ˈa	ˈɪː	0.069
ˈa	-	0.069
ˈɪ	ˈʏ	0.067
ˈɪ	ˈɪ	0.067
ˈɪ	ˈi	0.067
ʋ	v_ə	0.065
ˈʊ	ˈʊ	0.059
