Luxembourgish	North Frisian	probability
χ	k	1.0
ˈʊ	ˈœ	1.0
ˈɛː	j_ˈa	1.0
ˈɛ	ˈeː	1.0
ˈə_n	ˈa_n	1.0
ˈə_l	ˈi_l	1.0
ˈɔ	ˈʊ	1.0
ˈɑʊ̯	ˈøː	1.0
ˈæːʊ̯	ˈyː	1.0
ˈæːɪ̯_t	ˈi_d	1.0
ˈæːɪ̯_s	ˈi_t	1.0
ˈæːɪ̯	ˈi	1.0
ˈu	ˈœ	1.0
ˈiː_ɐ_#>	ˈeː_#>	1.0
ˈiː	ˈɔː	1.0
ˈiə̯	ˈɛː	1.0
ˈeː	ˈiː	1.0
ʦ	t	1.0
ʃ_l	s_l	1.0
ʃ_#>	ʃ_#>	1.0
ɡ	ɡ	1.0
ə_ɕ	i	1.0
ə_n	ə	1.0
z	s	1.0
w	v	1.0
v_ˈo	ˈʊ	1.0
s_#>	s_#>	1.0
p	p	1.0
n_#>	#>	1.0
kʰ	k	1.0
k	k	1.0
h	h	1.0
d̥	dʲ	1.0
d_ə	dʲ_ə	1.0
b	b	1.0
<#_ʀ	<#_r	1.0
<#_n	<#_n	1.0
#>	r_#>	1.0
m	m	0.92
l	l	0.917
t	t	0.905
n	n	0.875
v	v	0.87
ɕ	x	0.8
ʀ	r	0.769
ɕ_#>	k_#>	0.75
ˈəʊ̯	ˈyː	0.714
ŋ	ŋ	0.692
ˈɜɪ̯	ˈiː	0.65
ʃ	s	0.64
d̥_#>	d_#>	0.636
f	f	0.611
ˈoː	ˈɛː	0.6
d	d	0.6
ɐ	ə_r	0.548
ˈɑɪ̯	ˈyː	0.5
ˈɑɪ̯	ˈiː	0.5
ˈuə̯	ˈɔː	0.5
ˈuə̯	ˈɒ	0.5
ˈo	ˈʊ	0.5
ə	ə	0.5
v̥_#>	v_#>	0.5
v̥_#>	f_#>	0.5
ɐ	r	0.452
s	tʲ	0.429
n_d̥	nʲ	0.429
ˈoː	ˈɛi̯	0.4
d̥_#>	#>	0.364
ʃ	ʃ	0.36
ˈə	ˈa	0.333
ˈɑ	ˈœ	0.333
d	t	0.333
ŋ	n	0.308
ˈo	ˈaː	0.3
ˈəʊ̯	ˈɔu̯	0.286
n_d̥	s	0.286
n_d̥	n_ə	0.286
ə	-	0.278
ˈɑ	ˈʊ	0.267
ɕ_#>	#>	0.25
ˈaː	ˈɒː	0.24
ˈə	ˈɔː	0.222
ˈə	ˈi	0.222
ˈə	ˈeː	0.222
f	p	0.222
s	z	0.214
s	d	0.214
ˈo	ˈɔ	0.2
ˈaː	ˈuː	0.2
ɕ	k	0.2
ˈaː	ˈɒ	0.16
ʀ	r_n	0.154
ˈɜɪ̯	ˈɛi̯	0.15
s	t	0.143
ˈɑ	ˈɒ	0.133
ˈɑ	ˈuː	0.133
ˈɑ	ˈi	0.133
v	-	0.13
n	nʲ	0.125
ˈaː	ˈɔ	0.12
ˈaː	r	0.12
ə	v_ə	0.111
ə	i	0.111
f	n	0.111
ˈɜɪ̯	ˈɛ	0.1
ˈɜɪ̯	ˈuː	0.1
t	d	0.095
l	lʲ	0.083
ˈaː	ˈa_r	0.08
ˈaː	ˈa	0.08
m	m_ə	0.08
ʀ	-	0.077
d	tʲ	0.067
f	v	0.056
