Old Chinese	Old Chinese	probability
ʦʰ	ʨʰ	1.0
ʔ_#>	#>	1.0
ʔ	-	1.0
ɯ_ʔ	u	1.0
ɢʷ	-	1.0
ŋʷ	-	1.0
ŋ_ʔ	ŋ	1.0
ŋ_s	ŋ_⁵⁵	1.0
z	s	1.0
w	o_k̚	1.0
uː_ʔ	o_³¹	1.0
uː	a	1.0
u_ʔ	w_³¹	1.0
tʰ	ʦʰ	1.0
sʰ	ʦʰ	1.0
s_r	s	1.0
s_#>	#>	1.0
r̥ʰ	tʰ	1.0
r_ɯ	i	1.0
r_eː	a	1.0
qʰʷ	-	1.0
pʰ	pʰ	1.0
n_ʔ	n_³¹	1.0
n_s	n_⁵⁵	1.0
n_i	ɲ	1.0
m_ɯ	v_u	1.0
l̥ʰ	tʰ	1.0
l_ɯ	ɨ	1.0
kʷ	k_w	1.0
kʰ_l	ʦʰ	1.0
k	k	1.0
j	-	1.0
iː	e	1.0
i_u	u	1.0
hʷ	f	1.0
h_m	h	1.0
d_#>	t̚_⁵_#>	1.0
aː_ʔ	u_³¹	1.0
aː_l	o_²⁴	1.0
a_ʔ	i_³¹	1.0
<#_r	<#	1.0
<#_q	<#	1.0
<#_d	<#	1.0
<#	<#_kʰ	1.0
u	u	0.818
n	n	0.8
aː	o	0.786
ʔ_s	ʦ	0.75
ŋ	ŋ	0.741
m	m	0.737
r	l	0.7
t	ʦ	0.667
p	p	0.667
h	s	0.667
d_s	j_⁵⁵	0.667
d	t̚	0.625
ɡ	k̚	0.611
ɯ	u	0.6
lʼ	tʰ	0.6
a	o	0.6
r_aː	a	0.571
<#_ɡ	<#_kʰ	0.571
eː	a	0.556
e	e	0.545
ɡʷ	v	0.5
ɡʷ	-	0.5
o	j_u	0.5
o	a	0.5
l	-	0.5
kʰ	h	0.5
kʰ	-	0.5
i	i	0.5
b	pʰ	0.5
oː	u	0.444
eː	j_e	0.444
s	ɕ	0.429
r_aː	a_²⁴	0.429
<#_ɡ	<#	0.429
lʼ	t	0.4
#>	²⁴_#>	0.389
ɯː	e	0.385
d	tʰ	0.375
b	f	0.375
l	j	0.357
#>	¹¹_#>	0.356
t	t	0.333
p	f	0.333
oː	w	0.333
i	-	0.333
h	h	0.333
d_s	⁵⁵	0.333
r	-	0.3
s	s	0.286
s	-	0.286
ɡ	t̚	0.278
e	i	0.273
m	-	0.263
#>	²_#>	0.256
ʔ_s	ʨ	0.25
ɯː	o	0.231
ɯː	-	0.231
oː	o	0.222
aː	a	0.214
ɯ	i	0.2
ɯ	-	0.2
u	j_u	0.182
e	-	0.182
i	j	0.167
ɯː	j	0.154
ŋ	n	0.148
l	ɨ	0.143
a	u	0.133
a	a	0.133
a	-	0.133
b	p̚	0.125
ɡ	-	0.111
n	ɲ	0.1
n	-	0.1
ŋ	ɲ	0.074
