Lengadocian	Lengadocian	probability
β_ˈa	v_ˈa	1.0
ˈɛ_ʧ_#>	j_#>	1.0
ˈɛ_ʦ	ˈe_s	1.0
ˈɛ_ʀ	ˈe_ʀ	1.0
ˈɛ_s	ˈe	1.0
ˈɛ_l	ˈa_l	1.0
ˈu_t	ˈu	1.0
ˈi_#>	ˈĩ_ŋ_#>	1.0
ˈe_#>	ə_#>	1.0
ˈa_ʀ	ˈa_ʀ	1.0
ˈa_t	ˈa	1.0
ˈa_j	ˈe_j	1.0
ʦ	s	1.0
ʤ_e	ʧ_ə	1.0
ʤ	ʤ	1.0
ʎ	ʎ	1.0
ʀ	ʀ	1.0
ɾ_ˈe	ʀ_ˈɪ	1.0
ɾ_ˈa	ʀ_ˈa	1.0
ɾ_ɔ	ʀ_ɔ	1.0
ɾ	ʀ	1.0
ɲ	ɲ	1.0
ɥ_ˈɛ	ˈœ	1.0
ɣ_ɔ	ʤ_ɔ	1.0
ɡ	ɡ	1.0
ɔ	ɔ	1.0
ŋ	ŋ	1.0
ð	d	1.0
w_ɾ	w_ʀ	1.0
w_#>	w_#>	1.0
w	w	1.0
t_ɾ	t	1.0
nː	ŋ_n	1.0
n_u	n	1.0
n_#>	ŋ_#>	1.0
mː	m	1.0
m_b	m	1.0
m_#>	m_#>	1.0
lː	lː	1.0
k_ɾ	k_ʀ	1.0
k_ɔ	ʧ_ɔ	1.0
k_#>	k_#>	1.0
j_ˈɛ	ˈe	1.0
e_s	ɪ	1.0
d	d	1.0
b_e	v_ə	1.0
a_w	œ	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʀ	<#_ʀ	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_e	<#_ə	1.0
<#_d	<#	1.0
<#_a	<#_ɒ	1.0
p	p	0.941
m	m	0.889
f	f	0.864
ˈi	ˈi	0.815
e	ə	0.809
u	u	0.75
l	l	0.722
ˈɔ	w_ˈɔ	0.72
β	b	0.714
ˈa	ˈa	0.714
ˈu	ˈu	0.688
ˈe	ˈɪ	0.667
ɣ	ɡ	0.667
ˈɛ	ˈe	0.652
a	ɒ	0.647
<#_l	<#_l	0.632
t	t	0.615
j	j	0.588
n	n	0.556
k	k	0.543
s	s	0.528
ʧ	t	0.5
ʧ	-	0.5
ʀ_t	ˈɔ_ʀ	0.5
ʀ_t	ʀ	0.5
ɥ	ˈœ	0.5
z	z	0.5
i	i	0.5
k	ʧ	0.457
b	b	0.448
#>	ŋ_#>	0.407
ˈy	ˈy	0.389
s	-	0.389
n	ŋ	0.37
<#_l	<#_ʎ	0.368
b	v	0.345
ɣ	ɡʲ	0.333
i	-	0.333
#>	ɔ_#>	0.296
ˈɛ	ˈẽ	0.261
ˈa	ˈã	0.254
ɥ	j	0.25
ɥ	-	0.25
z	ʒ	0.25
z	-	0.25
j	-	0.235
t	ʧ	0.231
ˈy	ˈỹ	0.222
l	ʎ	0.222
#>	ə_#>	0.222
b	vʲ	0.207
u	-	0.188
j	ˈe	0.176
a	ã	0.176
a	a	0.176
ˈy	ˈy_ʀ	0.167
ˈe	ˈe	0.167
i	ĩ	0.167
ˈɔ	w	0.16
t	-	0.154
β	b_ʀ	0.143
β	-	0.143
f	fʲ	0.136
ˈu	ˈũ	0.125
ˈu	w_ˈɔ̃	0.125
ˈɔ	ˈɔ	0.12
ˈy	w_ˈẽ	0.111
ˈy	-	0.111
ˈi	ˈĩ	0.111
m	mʲ	0.111
e	e	0.106
ˈe	ˈɪ̃	0.1
ˈɛ	ˈɛ	0.087
e	ɒ	0.085
s	ʃ	0.083
ˈi	-	0.074
n	-	0.074
#>	j_#>	0.074
ˈe	ˈa	0.067
ˈu	ˈɔ	0.062
u	ũ	0.062
p	-	0.059
l	-	0.056
