Slovenian	Bulgarian	probability
<#_d	<#_d	1.0
<#_j	<#	1.0
<#_k	<#_k	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_p	<#_p	1.0
<#_r	<#_r	1.0
<#_s	<#_s	1.0
<#_t	<#_t	1.0
<#_x	<#_x	1.0
<#_z	<#_z	1.0
<#_ɔ̀ː	<#_ˈɔ	1.0
<#_ɡ	<#_ɡ	1.0
<#_ʋ	<#_v	1.0
<#_ʒ	<#_ʒ	1.0
àː_l	ˈa_ɫ	1.0
á	ˈa	1.0
áː	ˈa	1.0
b	b	1.0
d	d	1.0
d_ə	d_ɛ	1.0
e	ˈɛ	1.0
èː_s	ˈa_s	1.0
éː_#>	ˈɛ_#>	1.0
éː_s	ˈɛ_s	1.0
íː	ˈi	1.0
íː_s	ˈi_s	1.0
j	-	1.0
k	k	1.0
k_#>	k_#>	1.0
l_áː	ɫ_ˈa	1.0
l_èː	lʲ_ˈa	1.0
m_#>	m_#>	1.0
n	n	1.0
n_#>	n_#>	1.0
òː	ˈɔ	1.0
óː_#>	ˈɔ_#>	1.0
p	p	1.0
p_#>	p_#>	1.0
r	r	1.0
r_#>	r_#>	1.0
r_j	r	1.0
s	s	1.0
s_#>	s_#>	1.0
s_t	s_t	1.0
t_#>	t_#>	1.0
t_ɔ	t_o	1.0
t_ə	t_ɐ	1.0
úː	ˈu	1.0
w_#>	ɫ_#>	1.0
x_#>	x_#>	1.0
z	z	1.0
ɔ	o	1.0
ɔ_#>	o	1.0
ɔ̀ː	o	1.0
ɔ́	ˈɔ	1.0
ɔ́ː_w	ˈɤ_ɫ	1.0
ə	ɐ	1.0
ə́	ˈɤ	1.0
ɛ_#>	ˈɛ_#>	1.0
ɛ̀ː	ɛ	1.0
ɡ	ɡ	1.0
ʃ	ʧ	1.0
ʃ_#>	ʃ	1.0
ʋ	v	1.0
ʋ_#>	f	1.0
ʋ_éː	vʲ_ˈa	1.0
ʒ	ʒ	1.0
ʦ	ʦ	1.0
ʧ	ʧ	1.0
ìː	ˈi	0.571
ɛ	ɛ	0.571
èː	ˈa	0.2
óː	o	0.182
a_#>	ɐ_#>	0.333
éː	ˈɛ	0.333
óː	ˈɤ	0.273
àː	-	0.4
èː	ɛ	0.4
èː	ˈɛ	0.4
i	i	0.4
t_i	j_ɐ	0.4
<#_l	<#_lʲ	0.5
<#_l	<#_l	0.5
éː	ˈa	0.25
l	-	0.125
l	l	0.25
m	m	0.5
m	mʲ	0.5
o	ˈɔ	0.5
o	o	0.5
óː	ˈɔ	0.545
t	ˈɛ_t	0.5
t	t	0.5
àː	ˈa	0.6
i	ˈi	0.6
t_i	ɐ_#>	0.6
a_#>	ˈa_#>	0.667
éː	ɛ	0.417
l	ɫ_ɐ	0.188
l	ɫ	0.438
ìː	i	0.429
ɛ	ˈɛ	0.429
