Aromanian	Aromanian	probability
ˈɨ	ˈa	1.0
ˈə	-	1.0
ˈo_j	ˈo_s	1.0
ˈi_ʎ	ˈi	1.0
ˈi_r	ˈi	1.0
ˈi_n	ˈɛ_n	1.0
ˈa_r_i_#>	ˈe_#>	1.0
ʦ_i	ʃ	1.0
ʤ	ʒ	1.0
ʎ_i	l_a	1.0
ʃ_t	ʃ	1.0
ɨ	-	1.0
ə_#>	#>	1.0
ŋ	-	1.0
ç	f	1.0
z	ʒ	1.0
v	v	1.0
u_l	u	1.0
u_#>	#>	1.0
t_ˈa	t	1.0
t_ə	d_a	1.0
s_i	s_e	1.0
r_ə	r_a	1.0
r_u	e_r	1.0
r_i	ˈe	1.0
r_#>	l_#>	1.0
p_t	t	1.0
o̯ˈa_p	w	1.0
n_i_#>	n_#>	1.0
n_#>	n_#>	1.0
n	n	1.0
m_t	n_t	1.0
k_ʎ	d_l	1.0
k_r	k_r	1.0
k_e̯ˈa	p_ˈɛ	1.0
k_#>	ˈɛ_k_#>	1.0
i_r	e	1.0
f	f	1.0
e̯ˈa_r	ˈe_j	1.0
e̯a	ˈe	1.0
e	-	1.0
<#_ˈa	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
<#_a	<#	1.0
<#	<#_i	1.0
ə	a	0.912
m	m	0.909
l	l	0.833
u	o	0.75
r	r	0.73
b	b	0.727
s	s	0.682
ˈa	ˈɛ	0.667
ʎ	l	0.667
ɡ	ɡ	0.667
p	p	0.667
t	t	0.619
i	-	0.615
ˈe	ˈɛ	0.571
ɲ	m	0.571
e̯ˈa	ˈe	0.533
ˈi	ˈi	0.5
ʣ	ʒ	0.5
ʃ	s	0.5
ʃ	-	0.5
d	d	0.5
d	-	0.5
k	k	0.481
ˈo	ˈɔ	0.471
j	v	0.455
k	ʨ	0.444
ɲ	ɲ	0.429
#>	a_#>	0.429
ʦ	ʨ	0.417
j	j	0.364
ˈo	w	0.353
ˈa	ˈa	0.333
ʎ	d_l	0.333
ɡ	-	0.333
w	ˈɛ_f	0.333
w	f	0.333
w	-	0.333
ˈu	ˈo	0.32
ˈi	ˈe	0.286
ˈe	ˈe	0.286
#>	s_#>	0.286
#>	f_#>	0.286
ˈu	ˈu	0.28
s	ʃ	0.273
o̯ˈa	ˈɔ	0.273
o̯ˈa	w	0.273
o̯ˈa	-	0.273
b	ɡ	0.273
ʦ	ʦ	0.25
ʣ	j	0.25
ʣ	d_j	0.25
u	e	0.25
i	e	0.25
ˈu	ˈɔ	0.24
ˈi	-	0.214
e̯ˈa	ˈe_j	0.2
t	d	0.19
t	-	0.19
o̯ˈa	ˈo	0.182
j	-	0.182
ˈo	ˈo	0.176
ʦ	ʧ	0.167
ʦ	t	0.167
p	w	0.167
p	-	0.167
l	w	0.167
ˈe	ˈe_j	0.143
e̯ˈa	ˈɛ	0.133
e̯ˈa	j	0.133
r	l	0.108
m	-	0.091
ə	e	0.088
ˈu	ˈo_w	0.08
ˈu	ˈe	0.08
k	p	0.074
i	a	0.058
r	ˈɛ	0.054
r	w	0.054
r	-	0.054
