Old West Norse	Wymysorys	probability
θ	d	1.0
ˈɛː	-	1.0
ˈɔː	ˈi	1.0
ˈɒu̯	ˈu	1.0
ˈɑ_r	ˈi̯ø	1.0
ˈøː	ˈi	1.0
ˈøy̯	ˈɑi̯	1.0
ˈuː	ˈɑi̯	1.0
ˈa	-	1.0
ʦ	t	1.0
ʝː	ˈi̯ø	1.0
ɾ	ə	1.0
ɣ_ɑ	ɡ̊	1.0
ɣ_r̥	ɡ̊	1.0
ɡː	ˈai̯	1.0
ɡ_r̥	ɡ̊	1.0
ɑː	ɑ	1.0
ŋ	ŋ	1.0
ç	h	1.0
w	-	1.0
v_ɑ	n	1.0
tː_r̥	t	1.0
tʰ	ʦ	1.0
s_t	ʃ_t	1.0
s_k	ʃ	1.0
pː	f	1.0
pʰ	f	1.0
p	f	1.0
mː	-	1.0
m	m	1.0
kʰ	k	1.0
j_ˈɔ	ˈɑ	1.0
j_ˈuː	ˈi	1.0
j_ɑ	a	1.0
h	h	1.0
f	f	1.0
e	ˈɛ_n	1.0
d_r̥	d̥	1.0
d_i	d̥	1.0
cʰ	k	1.0
b	b	1.0
ˈiː	ˈai̯	0.868
ɣ	-	0.781
n	n	0.777
c	-	0.774
ð	t	0.77
ˈi	ˈɘ̟	0.761
r	r	0.759
nː	n	0.757
ˈɛi̯	ˈa	0.725
ɑ	a	0.713
ˈeː	ˈi	0.699
j	-	0.668
ˈy	-	0.656
ˈu	ˈu	0.656
l	w	0.651
u	-	0.622
v	v	0.614
ˈɑu̯	-	0.607
lː	w	0.606
r̥ː	r	0.593
t	s	0.59
d	d	0.59
tː	ʦ	0.58
ˈɑ	ˈɑ	0.572
k	x	0.57
i	ɛ	0.555
ɟ	ɡ	0.551
ˈo	-	0.532
kː	c	0.531
s	z	0.523
r̥	r	0.511
ˈɛ	ˈɛ	0.5
ˈɛ	-	0.5
a	a	0.5
a	-	0.5
ɡ	ɡ	0.491
ˈoː	ˈʏ	0.477
kː	k	0.469
ˈyː	ˈɑi̯	0.455
ɟ	ɟ	0.449
i	-	0.445
k	ç	0.43
tː	x_t	0.42
ˈɔ	ˈɔ	0.414
ˈɔ	ˈɑ	0.414
r̥ː	ɛ_r	0.407
lː	l	0.394
ˈɑu̯	ˈu	0.393
u	n	0.378
ˈe	-	0.37
ˈyː	ˈɑi̯_ɛ	0.356
ˈɑː	-	0.35
ɡ	-	0.349
ˈy	ˈɘ̟	0.344
ˈɑː	ˈɑ	0.338
r̥	ɛ_r	0.33
ˈɑː	ˈø	0.312
ˈoː	ə	0.306
s	ʃ	0.303
ˈeː	x	0.301
v	-	0.297
ˈo	ˈu	0.29
ˈɛi̯	-	0.275
ˈɑ	ˈɔ	0.269
ˈe	ˈɛ	0.254
d	t	0.246
ˈu	-	0.244
nː	-	0.243
r	-	0.241
ð	-	0.23
c	ʧ	0.226
ɑ	-	0.224
n	-	0.223
j	ˈi	0.223
ɣ	ɡ	0.219
ˈoː	-	0.217
ˈe	ˈa	0.216
t	t	0.209
t	ʦ	0.201
ˈyː	ˈɘ̟	0.188
l	l	0.181
ˈo	ˈø	0.178
ˈɔ	ˈoi̯	0.172
d	d̥	0.164
ˈe	ˈɘ̟	0.161
ɡ	ɡ̊	0.16
ˈɑ	-	0.159
r̥	x	0.159
ˈi	ˈei̯	0.145
ˈiː	-	0.132
s	s	0.117
j	ˈɪ	0.11
ˈu	ˈɑi̯	0.1
ˈi	-	0.094
l	ˈɑ	0.091
v	b̥	0.09
l	-	0.078
ɑ	n	0.064
s	n	0.057
