Saterland Frisian	Old English	probability
a	ˈeːo̯	0.519
a	ɑ	0.481
b	b	0.931
d	d	0.707
d	θ	0.195
f	f	1.0
h	h	1.0
i	iːy̯	1.0
j	ˈeːo̯	0.336
j	j	0.272
j	ˈi	0.127
j	i	0.094
j	-	0.075
j	ˈiːy̯	0.051
k	k	0.403
k	-	0.301
k	ʧ	0.257
l	l	0.557
l	ɫ	0.339
m	m	0.884
m	mː	0.06
m	-	0.056
n	n	0.89
n	-	0.062
p	p	0.803
p	pː	0.19
r	r	0.858
s	s	0.708
s	ʃ	0.188
s	ʧ	0.056
t	t	0.791
t	θ	0.148
v	w	0.72
v	v	0.131
v	ʍ	0.116
w	-	0.584
w	w	0.278
w	v	0.139
x	ç	0.268
x	x	0.179
x	j	0.159
x	ʤ	0.117
x	f	0.101
x	ɣ	0.085
x	ɡ	0.077
z	z	0.635
z	r	0.182
z	s	0.182
ŋ	ŋ	0.873
ŋ	n	0.127
ə	ɑ	0.447
ə	-	0.219
ə	e	0.207
ə	o	0.117
ɡ	ɡ	1.0
ɣ	ɡ	0.32
ɣ	ɣ	0.207
ɣ	j	0.129
ɣ	k	0.108
ɣ	ʤː	0.098
ɣ	v	0.085
ɣ	ʤ	0.053
ɪ	i	0.58
ɪ	-	0.42
ɫ	ɫ	1.0
ˈa	ˈe	0.447
ˈa	ˈæ	0.321
ˈa	ˈu	0.178
ˈa	ˈi	0.053
ˈaː	ˈiy̯	0.43
ˈaː	ˈæː	0.215
ˈaː	ˈeo̯	0.136
ˈaː	ˈæɑ̯	0.095
ˈaː	ˈæ	0.087
ˈaːi̯	ˈæ_j	0.836
ˈaːi̯	j	0.164
ˈaːu̯	w	0.84
ˈaːu̯	ˈæːɑ̯	0.16
ˈeː	ˈɑː	0.492
ˈeː	ˈiːy̯	0.294
ˈeː	ˈe	0.1
ˈeː	ˈæː	0.067
ˈeːu̯	ˈiy̯	1.0
ˈi	ˈiː	0.512
ˈi	ˈeː	0.208
ˈi	ˈe	0.127
ˈi	-	0.076
ˈiː	ˈi	0.356
ˈiː	ˈeo̯	0.179
ˈiː	ˈiː	0.113
ˈiː	ˈeːo̯	0.104
ˈiː	ˈæːɑ̯	0.101
ˈiː	ˈæː	0.07
ˈiːu̯	ˈi	1.0
ˈoː	-	0.364
ˈoː	ˈæːɑ̯	0.317
ˈoː	ˈæɑ̯	0.114
ˈoː	ˈɑː	0.106
ˈoːu̯	ˈoː	0.413
ˈoːu̯	ˈɑ	0.326
ˈoːu̯	ˈo	0.261
ˈu	ˈuː	0.855
ˈu	ˈi	0.145
ˈuː	ˈu	0.262
ˈuː	ˈuː	0.245
ˈuː	-	0.15
ˈuː	ˈoː	0.15
ˈuː	ˈyː	0.097
ˈuː	ˈo	0.08
ˈyː	ˈeːo̯	1.0
ˈøː	ˈuː	1.0
ˈœː	ˈy	1.0
ˈɔ	ˈɑ	0.405
ˈɔ	ˈyː	0.233
ˈɔ	ˈu	0.19
ˈɔ	ˈo	0.118
ˈɔː	ˈo	0.308
ˈɔː	ˈɑ	0.178
ˈɔː	ˈæ	0.146
ˈɔː	ˈe	0.146
ˈɔː	ˈæɑ̯	0.089
ˈɔː	ˈæː	0.052
ˈɔːɪ̯	ˈæː	1.0
ˈɛ	ˈæ	0.23
ˈɛ	ˈi	0.132
ˈɛ	ˈæː	0.132
ˈɛ	ˈɑ	0.132
ˈɛ	ˈɑː	0.132
ˈɛ	ˈeːo̯	0.092
ˈɛ	ˈeo̯	0.059
ˈɛɪ̯	ˈeː	0.389
ˈɛɪ̯	ˈæː	0.127
ˈɛɪ̯	ˈeːo̯	0.09
ˈɛɪ̯	ˈæɑ̯	0.085
ˈɛɪ̯	ˈeo̯	0.08
ˈɛɪ̯	ˈæːɑ̯	0.061
ˈɛɪ̯	ˈiː	0.052
ˈɛː	ˈæ	0.35
ˈɛː	ˈy	0.326
ˈɛː	ˈi	0.128
ˈɛː	ˈæɑ̯	0.122
ˈɛː	ˈɛ	0.074
ˈɪ	ˈi	0.834
ˈɪ	ˈeː	0.092
ˈʊ	ˈu	0.545
ˈʊ	-	0.245
ˈʊ	ˈɑː	0.099
ˈʊ	ˈeːo̯	0.061
