Proto-Germanic	Proto-Germanic	probability
θ	d̥	1.0
β_ɑ	b̥	1.0
ˈɑi̯_w	ˈeː	1.0
ˈu_ŋ	ˈu	1.0
ˈĩː	ˈoɐ̯	1.0
ˈiː	ˈai̯	1.0
ˈiu̯	ˈai̯	1.0
ˈi_j	ˈai̯	1.0
ˈeː	ˈi	1.0
ˈeu̯	ˈiɐ̯	1.0
ɸ	f	1.0
ɣ_ɑ	ŋ	1.0
ɣ_j	ŋ	1.0
ɡʷ	-	1.0
ɡ_ɑ	ɡ̊	1.0
ɛː	a	1.0
ɔːː_#>	#>	1.0
ɔːu̯	ə	1.0
ɑ̃_#>	#>	1.0
ɑː	-	1.0
ɑi̯	ˈa_n	1.0
ɑ_z_#>	#>	1.0
ɑ_n_ɑ̃_#>	#>	1.0
ɑ	-	1.0
ŋ_k	ŋ_ɡ̊	1.0
ð_ɑ	d̥	1.0
ð	d̥	1.0
z_#>	#>	1.0
z	-	1.0
x_t	x_d̥	1.0
x_s	ɡ̊_s	1.0
x_l	l	1.0
u_n	ə	1.0
u	-	1.0
t_ɑ	s	1.0
t_s	s	1.0
s_t	ʃ_d̥	1.0
s_k	ʃ	1.0
s_#>	#>	1.0
r_ɔː	a	1.0
r_ɑ	a	1.0
r_u	a	1.0
r_i	ɐ	1.0
r_#>	#>	1.0
pː	-	1.0
p_ɑ̃_#>	f_#>	1.0
nː	n	1.0
n_ɑ̃_#>	#>	1.0
mː	m	1.0
m	m	1.0
lː	j	1.0
l_ɑ	l	1.0
kː	ɡ̊	1.0
kʷ	-	1.0
k_s	x	1.0
k_i	x	1.0
jː	ˈoɐ̯	1.0
j_ɔː	a	1.0
iː	-	1.0
e_x	eɐ̯	1.0
e_r	a	1.0
d_ɑ	d̥	1.0
d	d̥	1.0
b	b̥	1.0
<#_θ	<#_d̥	1.0
<#_ˈɑ	<#_ˈɑ	1.0
<#_ɣ	<#_ɡ̊	1.0
<#_x_r	<#_r	1.0
<#_t	<#_ʦ	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_k	<#_kʰ	1.0
<#_d	<#_d̥	1.0
i	-	0.923
n	n	0.896
w	ʋ	0.885
ɣ	ɡ̊	0.882
ɑ_n	a	0.867
ˈɑi̯	ˈoɐ̯	0.857
j	-	0.842
x	h	0.792
s	s	0.771
ˈi	ˈi	0.741
ˈɔː	ˈuɐ̯	0.714
ɔː	-	0.714
ŋ	ŋ	0.714
ˈe	ˈe	0.7
ˈɛː	-	0.667
ɔ̃ː	a	0.667
p	f	0.667
ˈuː	ˈau̯	0.643
ɡ	-	0.6
xʷ	-	0.6
l	j	0.577
t	ʦ	0.5
r	r	0.487
l	l	0.423
ˈu	ˈu	0.41
β	β	0.4
β	m	0.4
ɡ	ŋ	0.4
xʷ	ʋ	0.4
r	ɐ	0.385
ˈɑu̯	ˈaː	0.375
ˈu	ˈo	0.359
ˈuː	-	0.357
ˈɛː	ˈoː	0.333
ɔ̃ː	n	0.333
t	s	0.333
p	b̥͡v̥	0.333
k	ɡ̊	0.333
k	x	0.333
k	-	0.333
ˈɑu̯	ˈou̯	0.312
ˈe	ˈeː	0.3
ɔː	a	0.286
ŋ	-	0.286
ˈɑ	ˈɒː	0.229
s	ʃ	0.229
β	b̥	0.2
ˈɑu̯	-	0.188
ˈɑ	ˈo	0.188
t	d̥	0.167
j	j	0.158
ˈu	ˈi	0.154
ˈɔː	ˈeɐ̯	0.143
ˈɔː	-	0.143
ˈɑi̯	-	0.143
ɑ_n	ŋ	0.133
r	a	0.128
ˈɑu̯	ˈeː	0.125
ˈɑ	ˈɑː	0.125
ˈɑ	ˈɑ	0.125
ˈɑ	ˈe	0.125
x	-	0.125
ɣ	ŋ	0.118
w	-	0.115
ˈi	-	0.111
n	-	0.104
ˈɑ	ˈeː	0.083
ˈɑ	ˈa	0.083
x	x	0.083
ˈu	ˈoː	0.077
i	a	0.077
ˈi	ˈiː	0.074
ˈi	ˈai̯	0.074
