Dutch	Faroese	probability
b	b̥	0.925
b	v	0.075
d	d̥	0.447
d	-	0.241
d	tʰ	0.185
d	ʧʰ	0.058
d	ʤ̊	0.05
f	v_ʊ	0.395
f	v	0.27
f	m	0.103
f	w	0.103
f	tː	0.074
j	-	1.0
k	kʰ	0.387
k	k	0.274
k	k_ʊ	0.117
k	h	0.069
k	ʧ	0.053
l	l	0.715
l	l̥	0.28
m	m	0.585
m	m_ʊ	0.253
m	m_j	0.093
m	n	0.04
m	-	0.039
n	n	0.58
n	-	0.255
n	n̥	0.102
n	nː	0.055
n_d	nː	1.0
n_t	nː	1.0
p	p	0.488
p	tː	0.112
p	v	0.112
p	ʰp	0.093
p	ɹ	0.075
p_ə	ʰp	0.484
s	s	0.683
s	sː	0.089
s	s_k	0.077
s	ʃ	0.059
s	k_s	0.051
s_χ	ʃ	1.0
t	t	0.377
t	-	0.214
t	tʰ	0.11
t	w	0.057
t	d̥_ʊ	0.054
v	f	0.742
v	v	0.166
v	-	0.048
v	d̥	0.042
w	ʤ̊	0.113
z	s	0.933
z	ʃ	0.067
ŋ	ŋ	0.931
ŋ	ɲ	0.063
ŋ_k	ʰkː	1.0
ə	-	0.298
ə	ɪ	0.224
ə	ʊ	0.157
ə	w_ɪ	0.09
ə	a	0.09
ə_n	a	0.961
ə_n	n̥	0.043
ə_ɫ	l	0.234
ɦ	h	0.958
ɦ	-	0.047
ɪ	ɛ	0.154
ɪ	-	0.154
ɫ	l	0.688
ɫ	l̥	0.097
ɫ	l_ʊ	0.089
ɫ	-	0.04
ɫ	nː	0.038
ɾ	ɹ	0.938
ɾ	-	0.034
ɾ	ɹ_a	0.028
ɾ_s	s	0.113
ʋ	v	0.662
ʋ	-	0.193
ʋ	ʧʰ	0.086
ʋ	ˈœ	0.05
ˈaː	ˈɔ̯aː	0.335
ˈaː	ˈɛːa̯	0.15
ˈaː	ˈa	0.126
ˈaː	ˈøː	0.101
ˈaː	-	0.084
ˈeː	ˈeː	0.178
ˈeː	ˈaːi̯	0.143
ˈeː	ˈai̯	0.14
ˈeː	ˈɛːi̯	0.14
ˈeː	ˈiː	0.122
ˈi	ˈɔːu̯	0.31
ˈi	ˈʊ̯iː	0.182
ˈi	ˈɛːa̯	0.108
ˈi	ˈʏ	0.082
ˈi	ˈeː	0.082
ˈi_n	ˈʊ	1.0
ˈoː	ˈɛːi̯	0.329
ˈoː	ˈɔ	0.133
ˈoː	ˈɔːi̯	0.119
ˈoː	ˈoː	0.095
ˈoː	ˈʊ	0.07
ˈoː_ɾ	ˈɔ	1.0
ˈu	ˈɔːu̯	0.649
ˈu	ˈøː	0.207
ˈu	ˈœ	0.126
ˈu_d	ˈɔːu̯	1.0
ˈyː	ˈʊ̯iː	0.683
ˈyː	ʊ	0.218
ˈøː	ˈøː	1.0
ˈœy̯	ˈʉːu̯	0.617
ˈœy̯	ˈʊ	0.245
ˈœy̯	ˈʊ̯iː	0.1
ˈɑ	ˈa	0.362
ˈɑ	ˈɔ	0.307
ˈɑ	ˈɛ	0.134
ˈɑ	ˈɛːa̯	0.113
ˈɑ	ˈɔ̯aː	0.041
ˈɑ_t	ˈɛːa̯	1.0
ˈɑ_χ	ˈɛːa̯	0.234
ˈɑu̯	ˈa	0.561
ˈɑu̯	ˈʊ	0.425
ˈɔ	ˈʊ	0.436
ˈɔ	ˈɔ	0.238
ˈɔ	ˈœ	0.157
ˈɔ	ˈuː	0.067
ˈɔ	ˈʏ	0.045
ˈɛ	ˈɛ	0.309
ˈɛ	ˈɪ	0.176
ˈɛ	ˈɛːa̯	0.13
ˈɛ	ˈœ	0.105
ˈɛ	ˈa	0.075
ˈɛi̯	ˈʊ̯iː	0.528
ˈɛi̯	ˈai̯	0.132
ˈɛi̯	ʊ̯ˈiː	0.076
ˈɛi̯	ˈeː	0.076
ˈɛi̯	ˈɪ	0.06
ˈɪ	ˈɪ	0.43
ˈɪ	ˈiː	0.177
ˈɪ	ˈʊ̯iː	0.118
ˈɪ	ˈʉːu̯	0.069
ˈɪ	ˈɛ	0.068
ˈʏ	ˈɪ	0.699
ˈʏ	ˈʊ	0.142
χ	ɡ̊	0.451
χ	v_ʊ	0.127
χ	-	0.11
χ	ʤ̊	0.108
χ	k	0.05
χ_t	ʰtː	1.0
χ_ə	ɡ̊	1.0
