Dutch	Faroese	probability
b	b̥	1.0
f	v	1.0
v̥	v_ʊ	1.0
ŋ	ŋ_ɡ̊	1.0
ˈyː	ˈʊ̯iː	1.0
k	k	0.251
p	p	0.431
s	ʃ	0.061
v	f	0.791
ɦ	h	0.911
ɫ	l_ʊ	0.071
ɾ	-	0.071
ʋ	v	0.871
ˈaː	ˈɔ̯aː	0.541
ˈoː	ˈɔːi̯	0.171
ˈœy̯	ˈʉːu̯	0.661
ˈɛ	ˈeː	0.051
ˈɛ	ˈɛːa̯	0.051
ˈɪ	ˈɪ	0.591
k	-	0.082
k	ʧʰ	0.142
t	ʰt	0.12
z	ʃ	0.162
ɾ	ɹ	0.82
ˈeː	ˈiː	0.132
ˈeː	ˈai̯	0.202
ˈeː	ˈaːi̯	0.22
ˈoː	ˈoː	0.182
ˈoː	ˈɛːi̯	0.272
ˈɑ	ɹ_#>	0.182
ˈɔ	ˈœ	0.112
χ	v_ʊ	0.062
χ	ɡ̊	0.412
k	k_ʊ	0.143
m	m_ʊ	0.193
m	m	0.743
n	-	0.263
p	ʰp	0.493
t	ʰtː	0.083
ə	j_a	0.093
ɫ	l	0.693
ˈeː	j	0.123
ˈu	ˈøː	0.463
ˈœy̯	ˈʏ	0.083
ˈɑ	ˈɔ	0.163
ˈɔ	ˈɔ	0.333
ˈɪ	ˈeː	0.113
χ	ɡ̊_v̥	0.13
s	-	0.064
s	s_k	0.124
s	s	0.724
t	t_ʊ	0.194
ˈaː	ˈøː	0.094
ˈi	ˈʉːu̯	0.204
ˈi	ˈɔːu̯	0.404
ˈoː	ˈɔ	0.134
ˈɑ	ˈa	0.414
ˈɑu̯	ˈɪ	0.504
ˈɛi̯	ˈɛːa̯_ɹ	0.284
ˈʏ	ˈʊ	0.54
d	-	0.235
d̥	j_ʊ	0.075
m	mː	0.065
t	tʰ	0.15
ˈeː	ˈeː	0.135
ˈi	ˈʊ̯iː	0.305
ˈœy̯	ˈʊ	0.255
d̥	d̥	0.36
k	kʰ	0.316
n	n_ʊ	0.066
ə	ɪ	0.156
ˈi	ˈɛːa̯	0.086
ˈoː	ˈiː	0.076
ˈɑ	ˈɛ	0.096
ˈɑu̯	l̥	0.496
ˈɔ	ˈʊ	0.556
ˈʏ	ˈɪ	0.46
d	d̥	0.417
d̥	w	0.107
p	p_ʊ	0.077
ɫ	t_l̥_ʊ	0.057
ˈaː	ˈa	0.237
ˈoː	ˈɔ̯aː	0.057
ˈu	ˈɔːu̯	0.537
ˈɑ	ˈɛːa̯	0.07
ˈɛ	ˈɪ	0.37
ˈɛi̯	ˈʊ̯iː	0.657
ˈɪ	ˈiː	0.117
χ	-	0.277
d	tʰ	0.328
d̥	d̥_ʊ	0.458
n	nː	0.088
z	s	0.838
ə	a	0.128
ɫ	l̥	0.068
ˈaː	ˈɛːa̯	0.128
ˈoː	ˈʊ	0.108
ˈɛ	ˈɛ	0.328
ˈɪ	ˈʊ̯iː	0.178
n	n	0.519
t	t	0.39
v	v	0.209
ə	ʊ	0.179
ə	-	0.359
ɦ	-	0.089
ʋ	kʰ_v	0.129
ˈeː	ˈɛːi̯	0.139
ˈɛ	j	0.199
ˈɛi̯	ˈai̯	0.059
χ	ʤ̊	0.119
