Cantonese	Cantonese	probability
⁵⁵	⁵⁵	1.0
⁵	⁵	1.0
ʧʰ	ʧʰ	1.0
ʧ	ʧ	1.0
ʦʰ	ʦʰ	1.0
ʦ	ʦ	1.0
ʊ	ʊ	1.0
ʃ	ʃ	1.0
ɵ	ɵ	1.0
ɪ	ɪ	1.0
ɥ	ɥ	1.0
ɛː	ɛː	1.0
ɔː	ɔː	1.0
ɐ	ɐ	1.0
œː	œː	1.0
ŋ̍	ŋ̍	1.0
ŋ	ŋ	1.0
¹³	¹³	1.0
³⁵	³⁵	1.0
³³	³³	1.0
³	³	1.0
²¹	²¹	1.0
²²	²²	1.0
²	²	1.0
yː	yː	1.0
w	w	1.0
uː	uː	1.0
u	u	1.0
t̚	t̚	1.0
tʰ	tʰ	1.0
t	t	1.0
s	s	1.0
pʰ	pʰ	1.0
p	p	1.0
o	o	1.0
n	n	1.0
m	m	1.0
l	l	1.0
k̚	k̚	1.0
kʷʰ	kʷʰ	1.0
kʷ	kʷ	1.0
kʰ	kʰ	1.0
k	k	1.0
j	j	1.0
iː	iː	1.0
h	h	1.0
f	f	1.0
e	e	1.0
aː	aː	1.0
