Upper Sorbian	Čakavian	probability
b	b	1.0
d	d	1.0
e	ê	1.0
i	i	1.0
j	j	1.0
k	k	1.0
kʲ	k	1.0
mʲ	m	1.0
n	n	1.0
pʲ	p	1.0
s	s	1.0
z	z	1.0
ɥ	ʋ	1.0
ɦ	ɡ	1.0
ʀʲ	r	1.0
ʒ	ʒ	1.0
ʤ	d	1.0
ˈu	ûː	1.0
β	ʋ	1.0
ʃ	ʃ	0.811
ˈo	âː	0.21
l	l	0.762
m	n	0.2
ˈɔ	-	0.102
ˈɔ	ô	0.322
ˈɔ	o	0.342
ˈɛ	e	0.752
ɲ	n	0.773
ˈe	êː	0.113
ˈi	î	0.423
w	-	0.264
ɔ	e	0.104
ɔ	ô	0.194
ʀ	a_r	0.084
ʦ	c	0.274
ʧ	t	0.604
ˈɪ	î	0.384
a	a	0.405
a	â	0.595
p	p	0.975
x	k	0.375
x	x	0.625
ɔ	-	0.055
ɛ	î	0.415
ɛ	e	0.585
ʧ	t_i	0.35
ˈa	ǎː	0.205
ˈa	â	0.795
ˈe	-	0.105
ɔ	o	0.646
ʀ	r	0.916
ʦ	ʦ	0.726
ˈe	î	0.406
ˈɔ	a	0.156
ˈɪ	îː	0.616
t	t	0.977
ɲ	ɲ	0.227
ˈi	îː	0.577
l	-	0.238
m	m	0.8
w	l	0.708
ˈe	ǐː	0.078
ˈe	îː	0.298
ˈɛ	î	0.248
ʃ	r	0.189
ˈo	ôː	0.79
