Nynorsk Norwegian	Nynorsk Norwegian	probability
ˈʊ	ˈɔ	1.0
ˈɪ	ˈɪ	1.0
ˈœʏ̯	-	1.0
ˈœ	-	1.0
ˈøː_#>	ˈeː_#>	1.0
ˈæː	ˈeː	1.0
ˈæʉ̯_#>	ˈoː_t_#>	1.0
ˈæɪ̯	ˈaɪ̯	1.0
ˈæ	ˈɛ	1.0
ˈuː_#>	ˈuː_t_#>	1.0
ˈeː_ɡ	ˈɪ_ç	1.0
ʰpː	ˈaʊ̯_f	1.0
ʰkː	ŋ_k	1.0
ʋ_ɑ	b_n	1.0
ʋ_e	b	1.0
ʋ_#>	b̥_#>	1.0
ʋ	v	1.0
ʉ	p	1.0
ɾ_ˈʏ	ʁ	1.0
ɾ_n	ɐ_n	1.0
ɲ	ŋ	1.0
ɡ_ɾ	ɡ_ʁ	1.0
ɡ_#>	ɡ̊_#>	1.0
ɛ	-	1.0
ə	-	1.0
ŋː	ŋ	1.0
çː	-	1.0
tː	-	1.0
sː	n_z̥	1.0
s_t	s_t	1.0
s_k	ʃ	1.0
s_#>	z̥_#>	1.0
pʰ	p͡f	1.0
p_#>	f_#>	1.0
p	f	1.0
nː_#>	n_d̥_#>	1.0
n_ɑ	a	1.0
n_d	n	1.0
mː	-	1.0
m	m	1.0
lː	l	1.0
l_ʋ	l_f	1.0
l_#>	l_#>	1.0
l	l	1.0
kʰ_ʋ	v	1.0
kʰ	kʰ	1.0
h	h	1.0
f	f	1.0
b	b	1.0
<#_ˈɑ	<#_ˈa	1.0
<#_ˈæɪ̯	<#_ˈaɪ̯	1.0
<#_ɾ	<#_ʁ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
ɡ	ɡ	0.875
ˈɑ	ˈa	0.864
n	n	0.833
nː	n	0.818
ʰtː	t	0.714
k	ç	0.7
t	s	0.682
ˈɑː	ˈaː	0.667
ˈæʉ̯	ˈaʊ̯	0.667
ɾ	ɐ	0.667
ɑ	n	0.639
ˈøː	ˈyː	0.6
e_ɾ	ɐ	0.6
<#_j	<#_l	0.6
d	tʰ	0.591
ˈɛ	ˈɛ	0.588
ˈuː	ˈuː	0.583
ʂ	ʃ	0.583
ˈyː	ˈiː	0.556
ˈiː	ˈaɪ̯	0.556
<#	<#_v	0.556
tʰ	d	0.55
ˈʏ	ˈʏ	0.5
ɡː	k_ə	0.5
ɡː	k	0.5
j	ɡ	0.5
e	ə	0.5
s	z	0.485
ˈʉː	ˈaʊ̯	0.476
e	-	0.462
ˈɔ	-	0.455
tʰ	ʦ	0.45
ˈyː	ˈɔʏ̯	0.444
ʂ	z	0.417
ˈʉ	ˈʊ	0.412
ˈoː	ˈaː	0.412
ˈøː	-	0.4
e_ɾ	ə	0.4
<#_j	<#	0.4
s	ʃ	0.394
ˈʉ	-	0.353
#>	n_#>	0.346
#>	d̥_#>	0.346
ˈɑː	ˈa	0.333
ˈæʉ̯	ˈoː	0.333
ɾ	ʁ	0.333
ç	kʰ	0.333
ç	d	0.333
ç	-	0.333
ˈeː	ˈiː	0.3
ˈeː	ˈeː	0.3
k	x	0.3
j	-	0.3
ˈʉː	ˈiː	0.286
ʰtː	ç_t	0.286
ˈɔ	ˈʊ	0.273
ˈɔ	x	0.273
d	d	0.273
ˈʏ	ˈɪ	0.25
ˈʏ	-	0.25
ˈuː	-	0.25
ˈɛ	-	0.235
ˈoː	-	0.235
t	t	0.227
<#	<#_ˈa	0.222
<#	<#_j	0.222
ˈeː	ˈɛ	0.2
ˈeː	-	0.2
j	ə	0.2
ɑ	ə_n	0.194
nː	n_d	0.182
ˈɛ	ˈaɪ̯	0.176
ˈuː	ˈɔ	0.167
ˈiː	ˈɪ	0.167
ˈiː	ˈiː	0.167
#>	ɐ_#>	0.154
ˈʉː	-	0.143
ˈɑ	ˈaː	0.136
d	-	0.136
ɡ	ç	0.125
ˈʉ	ˈɔ	0.118
ˈʉ	v_ˈɔ	0.118
ˈoː	ˈeː_ə	0.118
ˈoː	ˈeː	0.118
ˈoː	ˈa	0.118
ˈiː	n	0.111
ˈʉː	ˈuː	0.095
t	-	0.091
ɑ	ə	0.083
ɑ	-	0.083
n	ɐ	0.083
n	-	0.083
#>	b̥_#>	0.077
#>	b_n_#>	0.077
s	t	0.061
s	s	0.061
