Danish	Swedish	probability
b̥	b	0.732
b̥	p	0.227
d̥	d	0.833
d̥	j	0.162
e	ɪ	0.5
e	ɵ	0.5
f	f	1.0
h	h	0.927
h	-	0.073
i	ɪ_ɡ	1.0
j	j	0.355
j	ɡ	0.274
j	k	0.161
j	-	0.126
j	ˈæː	0.072
jˀ	ɛ	0.312
jˀ	ŋ	0.148
k	k	0.656
k	ɧ	0.221
k	kː	0.114
kʰ	kʰ	0.702
kʰ	ɕ	0.292
l	l	0.941
lˀ	l	0.507
lˀ	lː	0.255
lˀ	l_d	0.097
lˀ	r	0.089
m	m	0.852
m	mː	0.082
m	n	0.062
mˀ	mː	0.74
mˀ	m	0.126
n	n	0.725
n	nː	0.163
nˀ	n_d	0.517
nˀ	nː	0.289
nˀ	n	0.182
p	p	1.0
pʰ	pʰ	0.473
s	s	0.781
s	-	0.086
s	ɧ	0.067
s	sː	0.062
t	t	0.537
t	tː	0.301
t	-	0.155
w	v	0.266
w	j	0.209
w	-	0.197
w	v_a	0.138
w	ʊ	0.104
w	a	0.056
wˀ	ŋ	0.66
wˀ	m	0.148
ð̞ˠ	d	0.442
ð̞ˠ	t	0.37
ð̞ˠ	tː	0.144
ŋ	ŋ	0.61
ŋ	ŋː	0.362
ŋˀ	ŋː	0.778
ŋˀ	ŋ	0.16
ɐ	r	0.389
ɐ	ɛ	0.297
ɐ	-	0.112
ɐ	r_a	0.092
ɐ_t	ʈː	0.473
ɐˀ	r	0.583
ɐˀ	rː	0.121
ɐˀ	ˈæː	0.121
ɐˀ	ɳː	0.083
ɐˀ_n	ɳ	1.0
ə	a	0.818
ə	ɛ	0.117
ɡ̊	ɡ	0.474
ɡ̊	ɡː	0.241
ɡ̊	j	0.21
ɡ̊	k	0.065
ʁ	r	1.0
ʋ	v	0.951
ʦʰ	tʰ	0.787
ʦʰ	ɕ	0.167
ʨ	tʰ	0.224
ˈa	ˈa	0.607
ˈa	ˈɑː	0.235
ˈa	ˈɛː	0.085
ˈa	ˈɛ	0.066
ˈaː	ˈɑː	1.0
ˈe	ˈɪ	0.719
ˈe	ˈɛ	0.228
ˈeˀ	ˈeː	0.527
ˈeˀ	ˈɛː	0.231
ˈeˀ	ˈɛ	0.185
ˈeː	ˈɛ	0.66
ˈeː	ˈeː	0.148
ˈi	ˈʏ	0.361
ˈi	ˈyː	0.213
ˈi	ˈiː	0.196
ˈiˀ	ˈiː	0.835
ˈiˀ	ˈeː	0.075
ˈiˀ	ˈɛ	0.075
ˈiː	ˈiː	0.474
ˈiː	ˈeː	0.151
ˈiː	ˈyː	0.137
ˈiː	jː	0.089
ˈo	ˈuː	0.514
ˈo	ˈʊ	0.186
ˈo	ˈa	0.121
ˈo	ˈɔ	0.121
ˈo_ɐˀ	ˈuː	0.224
ˈoˀ	ˈuː	0.907
ˈoˀ	ˈoː	0.084
ˈoː	ˈuː	0.263
ˈoː	ˈʉː	0.164
ˈoː	ˈøː	0.143
ˈoː	ˈɪ	0.143
ˈoː	ˈɔ	0.089
ˈu	ˈɵ	0.622
ˈu	ˈʉː	0.23
ˈu	ˈʊ	0.132
ˈuˀ	ˈʉː	0.783
ˈuˀ	ˈoː	0.107
ˈuˀ	ˈœ	0.07
ˈuː	ˈɵ	0.758
ˈuː	ˈʉː	0.08
ˈy	ˈʏ	0.871
ˈy	ˈɔ	0.064
ˈyˀ	ˈʉː	0.76
ˈyˀ	ˈyː	0.172
ˈyː	ˈʉː	0.644
ˈyː	ˈyː	0.231
ˈæ	ɳ	0.5
ˈæ	ˈæ	0.5
ˈæˀ	ˈɑː	0.473
ˈø	ˈɵ	1.0
ˈøː	ˈøː	0.517
ˈøː	ˈœː	0.281
ˈœ	ˈœ	0.598
ˈœ	ˈʏ	0.187
ˈœ	ˈoː	0.108
ˈœ	ˈɪ	0.081
ˈœˀ	ˈøː	0.731
ˈœˀ	ˈœ	0.133
ˈœˀ	ˈɔ	0.133
ˈœː	ˈøː	1.0
ˈɑ	ˈɑː	0.305
ˈɑ	ˈɛ	0.288
ˈɑ	ˈa	0.231
ˈɑ	ˈoː	0.122
ˈɑˀ	ˈa_r	0.644
ˈɑˀ	ˈɑː	0.175
ˈɑˀ	ˈɛː	0.061
ˈɑː	ˈɑː_r	1.0
ˈɒ	ˈɵ	1.0
ˈɒˀ	ˈoː_r	1.0
ˈɒː	ˈɵ	0.66
ˈɒː	ˈoː	0.148
ˈɔ	ˈɵ	0.784
ˈɔ	ˈʊ	0.116
ˈɔˀ	ˈoː	0.738
ˈɔˀ	ˈɑː	0.149
ˈɔˀ	ˈɔ	0.093
ˈɔː	ˈoː	1.0
ˈɛ	ˈɛ	0.386
ˈɛ	ˈa	0.376
ˈɛ	-	0.065
ˈɛ	ˈɔ	0.065
ˈɛ	ˈeː	0.064
ˈɛˀ	ˈɛː	0.384
ˈɛˀ	ˈɑː	0.253
ˈɛˀ	ˈæː	0.158
ˈɛˀ	ˈeː	0.093
ˈɛː	ˈɛː	0.371
ˈɛː	ˈɑː	0.245
ˈʌ	ˈɔ	0.271
ˈʌ	ˈoː	0.136
ˈʌ	ˈʊ	0.136
ˈʌ	ˈa	0.134
ˈʌ	ˈɑː	0.092
ˈʌ	ˈøː	0.088
ˈʌ	ˈɵ	0.06
ˈʌˀ	ˈøː	1.0
