Faroese	Old English	probability
ˈʊ_ʤ̊ː	ˈiːy̯	1.0
ˈɛːi̯	ˈæːɑ̯	1.0
ˈɔ̯aː_ʊ	æːɑ̯	1.0
ˈɔ̯aː_n	ˈoː_n	1.0
ˈuː	-	1.0
ˈoː	ˈo	1.0
ˈaːi̯	ˈɑː	1.0
ˈai̯	ˈɑː	1.0
ʰʧ	ʧː	1.0
ʰt͡n̥	t_e	1.0
ʰp	pː	1.0
ʧ	ʧ	1.0
ʤ̊ː	-	1.0
ʤ̊	-	1.0
ɹ_ʊ	r	1.0
ɹ_ʈ	r_t	1.0
ɹ_m	r_m	1.0
ɲ	ŋ	1.0
ɡ̊ː	ʤ	1.0
ɡ̊_v̥	ɣ	1.0
v̥	-	1.0
v_ʊ	j	1.0
t͡n̥	r_n	1.0
tʰ	θ	1.0
t	t	1.0
s_k	ʃ	1.0
s	s	1.0
r	-	1.0
pʰ	p	1.0
p	p	1.0
n̥	-	1.0
mː	m	1.0
m_j	mː	1.0
m	m	1.0
l̥	ɫ	1.0
kʰ_v	h_w	1.0
j_ˈœ	ˈeo̯	1.0
j_ʊ	d	1.0
h	h	1.0
f	f	1.0
d̥_ɹ	d_r	1.0
d̥	d	1.0
b̥	b	1.0
n	n	0.917
ɹ	r	0.89
ˈœ	-	0.797
kʰ	k	0.778
ʊ	e	0.771
ŋ	ŋ	0.749
ˈiː	ˈi	0.706
a	ɑ	0.706
ˈɪ	ˈi	0.684
ˈʉːu̯	ˈuː	0.68
ʰt	t	0.665
ˈʊ	ˈu	0.652
ˈʊ̯iː	ˈiː	0.646
ˈeː	ˈe	0.645
ˈɔːu̯	ˈoː	0.612
ˈʏ	-	0.6
t͡l̥	ɫː	0.579
ˈɔːi̯	ˈiːy̯	0.562
ʃ	ʃ	0.554
w	-	0.55
nː	nː	0.539
k	k	0.52
ɪ	o	0.505
l	l	0.489
ˈøː	ˈeː	0.487
ʰk	ŋ_k	0.483
k	ʧ	0.48
ˈɔ̯aː	ˈæːɑ̯	0.471
nː	-	0.461
w	d	0.45
l	ɫ	0.448
ʃ	s	0.446
ˈɔːi̯	-	0.438
v	w	0.435
t͡l̥	ɫ_d	0.421
j	ˈe	0.419
ˈɔ	-	0.407
ˈʏ	ˈi	0.4
ɪ	e	0.397
ˈɔːu̯	ˈeːo̯	0.388
ʰk	k	0.379
ˈɛːa̯	ˈɑ	0.378
ˈa	ˈæɑ̯	0.364
ˈɛːa̯	ˈæ	0.357
ʧʰ	ʧ	0.357
ʧʰ	k	0.357
ˈeː	-	0.355
ˈa	ˈɑ	0.353
ˈøː	ð	0.323
v	v	0.321
ˈʉːu̯	ˈeːo̯	0.32
ɡ̊	ɡ	0.302
ˈɔ̯aː	ˈæː	0.299
ɡ̊	-	0.297
ˈiː	ˈo	0.294
ɡ̊	j	0.288
ʧʰ	θ	0.286
ˈɛ	ˈe	0.283
j	-	0.269
ˈɛːa̯	-	0.265
ŋ	-	0.251
ˈɔ̯aː	ˈɑː	0.23
kʰ	ʧ	0.222
ˈʊ̯iː	ˈeːo̯	0.221
ˈɔ	ˈo	0.21
ˈa	-	0.206
ʰt	x_t	0.205
ˈœ	ˈo	0.203
ˈɪ	-	0.193
ˈɛ	-	0.193
ˈøː	-	0.189
a	e	0.189
ˈʊ	-	0.176
ˈʊ	ˈuː	0.172
j	ˈeo̯	0.17
ˈɔ	ˈy	0.161
ˈɛ	ˈɑː	0.144
ˈɛ	ˈɑ	0.144
j	dː	0.143
ˈɛ	ˈæː	0.139
v	f	0.139
ʰk	kː	0.137
ˈɔ	ˈæɑ̯	0.136
ʊ	-	0.135
ˈʊ̯iː	ˈyː	0.133
ʰt	tː	0.129
ˈɪ	ˈy	0.123
ɡ̊	ɣ̊	0.113
v	bː	0.106
ˈɛ	ˈi	0.096
ʊ	o	0.094
ˈɔ	ˈi_ç	0.086
n	-	0.083
ˈa	ˈæ	0.077
l	l_ˈeːo̯	0.063
a	-	0.054
ɪ	eo̯	0.051
