Latvian	Old Church Slavonic	probability
ˈɛː	ˈæ	1.0
ˈuː	ˈɯ	1.0
ˈu	-	1.0
ˈiː	ˈi	1.0
ˈiɛ̯	-	1.0
ˈi_l	l_ˈɪ	1.0
ˈau̯	ˈu	1.0
ˈai̯	æ	1.0
ʧ	ʧ	1.0
ʦ	k	1.0
ʣ	ʒ	1.0
ʃ	-	1.0
ɡ̊	ɡ	1.0
ɛ_n	ɯ	1.0
æ	-	1.0
z̥	z	1.0
z	z	1.0
w	-	1.0
v_ˈæː	v	1.0
v	v	1.0
uɔ̯	-	1.0
u_n	nʲ	1.0
u	ʊ	1.0
r̩	r	1.0
p	p	1.0
m	m	1.0
l̩	ˈɑ_l	1.0
k_s	k_ʊ	1.0
j	t_r	1.0
e	s_ɛ̃	1.0
d	d	1.0
b̥	b	1.0
b	b	1.0
aː	ˈɑ	1.0
l	l	0.757
t	t	0.724
r	r	0.71
ˈaː	ˈɔ	0.69
ɛ	ˈɑ	0.683
ɡ	ɡ	0.667
ˈɛ	ɛ	0.608
d̥	d	0.593
ˈæ	ˈɛ	0.584
n	n	0.573
ˈuɔ̯	ˈɔ̃	0.491
a	ˈɑ	0.486
ˈi	r	0.476
ˈa	ˈɔ	0.452
i	-	0.436
n	-	0.427
ˈa	-	0.417
ˈæ	-	0.416
d̥	ˈɑ_d	0.407
ˈɛ	ˈɛ	0.392
k	k	0.373
s	ʊ	0.361
ɡ	-	0.333
k	ʧ	0.329
i	ʊ	0.329
ɛ	ɪ	0.317
ˈaː	ˈa	0.31
t	t_i	0.276
ˈuɔ̯	-	0.272
a	-	0.271
ˈi	ˈʊ	0.262
ˈi	-	0.262
l	l_ˈʊ	0.243
a	ɑ	0.243
ˈuɔ̯	ɔ̃	0.237
i	t_ɪ	0.235
s	s	0.183
r	ˈɪ	0.177
s	ɪ	0.163
k	ʃ	0.16
s	ɔ	0.158
k	-	0.138
ˈa	ˈɑ	0.131
r	ɛ	0.114
s	x	0.059
