Nynorsk Norwegian	Bokmål Norwegian	probability
b	b	1.0
d	d	0.865
d	-	0.128
e	ə	0.857
e	-	0.06
e	e	0.06
e	i	0.029
f	f	1.0
h	h	0.957
h	-	0.047
j	j	0.457
j	-	0.394
j	l	0.07
j	ˈiː	0.07
k	k	0.931
k	-	0.067
kʰ	kʰ	0.742
kʰ	-	0.253
l	l	0.921
l	lː	0.078
lː	lː	0.944
lː	ɾ	0.041
m	m	0.828
m	mː	0.087
m	ʋ	0.076
mː	mː	0.482
n	n	0.858
n	nː	0.139
nː	nː	0.843
nː	n	0.078
nː	ɳ	0.078
p	p	1.0
pʰ	pʰ	1.0
s	s	0.984
s	sː	0.027
sː	sː	0.482
t	t	0.729
t	tː	0.071
t	ʈ	0.053
t	d	0.053
t	ʈː	0.047
tʰ	tʰ	1.0
v	ʋ	0.232
ç	ç	0.519
ç	k	0.252
ç	t	0.126
ç	tʰ	0.089
çː	tː	0.482
ŋ	ŋ	1.0
ŋː	ŋː	1.0
ɑ	ə	0.858
ɑ	-	0.092
ɑ	i	0.045
ə	ə	1.0
ɛ	ə	1.0
ɡ	ɡ	0.588
ɡ	-	0.284
ɡ	j	0.102
ɡː	ɡː	1.0
ɪ	ɪ	0.482
ɲ	ŋː	1.0
ɾ	ɾ	0.948
ɾ	-	0.05
ɾ_n	ɳ	1.0
ʃ	s_k	0.372
ʃ	ʂ	0.324
ʃ	ʃ	0.214
ʃ	s	0.057
ʉ	ə	1.0
ʋ	ʋ	0.859
ʋ	-	0.113
ʋ	ˈiː	0.036
ʰkː	kː	1.0
ʰtː	tː	1.0
ˈeː	ˈeː	0.768
ˈeː	ˈæː	0.088
ˈeː	-	0.065
ˈeː	ˈæ	0.049
ˈeː_ɡ	ˈæɪ̯	1.0
ˈiː	ˈiː	1.0
ˈoː	ˈoː	0.876
ˈoː	ˈuː	0.09
ˈoː	ˈeː	0.041
ˈuː	ˈuː	0.883
ˈuː	ˈɪ	0.065
ˈuː	ˈyː	0.054
ˈyː	ˈyː	0.849
ˈyː	ˈʉː	0.121
ˈæ	ˈæ	0.482
ˈæɪ̯	ˈæɪ̯	0.348
ˈæɪ̯	ˈeː	0.258
ˈæɪ̯	ˈɛ	0.17
ˈæɪ̯	-	0.102
ˈæɪ̯	j	0.07
ˈæʉ̯	ˈøː	0.809
ˈæʉ̯	ˈœ	0.187
ˈæːɪ̯	ˈæɪ̯	0.112
ˈøː	ˈøː	0.544
ˈøː	ˈœ	0.316
ˈøː	ˈæː	0.11
ˈœ	ˈɛ	0.574
ˈœ	ˈøː	0.277
ˈœʏ̯	ˈøː	0.53
ˈœʏ̯	ˈœ	0.304
ˈœʏ̯	ˈœʏ̯	0.101
ˈɑ	ˈɑ	0.916
ˈɑ	ˈæɪ̯	0.045
ˈɑ	ˈɛ	0.045
ˈɑː	ˈɑː	0.758
ˈɑː	ˈeː	0.092
ˈɑː	ˈɑ	0.092
ˈɑː	ˈɛ	0.055
ˈɔ	ˈɔ	0.552
ˈɔ	ˈʊ	0.148
ˈɔ	ˈœ	0.148
ˈɔ	ˈɑ	0.148
ˈɛ	ˈɛ	0.808
ˈɛ	ˈæː	0.075
ˈɛ	ˈæɪ̯	0.058
ˈɛ	ˈɪ	0.048
ˈɛ	ˈyː	0.032
ˈɛː	ˈɛː	0.365
ˈɛː	ˈæː	0.176
ˈɪ	ˈɪ	0.9
ˈɪ	ˈuː	0.099
ˈʉ	ˈʉ	0.714
ˈʉ	ˈʏ	0.094
ˈʉ	ˈœ	0.092
ˈʉ	ˈʉː	0.068
ˈʉː	ˈʉː	0.847
ˈʉː	ˈyː	0.149
ˈʊ	ˈʊ	0.395
ˈʊ	ˈuː	0.361
ˈʊ	ˈʉ	0.138
ˈʊ	ˈɑ	0.086
ˈʏ	ˈʏ	0.524
ˈʏ	ˈœ	0.343
ˈʏ	ˈɪ	0.117
