Nynorsk Norwegian	Bokmål Norwegian	probability
b	b	1.0
d	d	0.877
d	-	0.123
e	ə	0.964
f	f	0.972
h	h	0.925
h	-	0.075
j	j	0.693
j	-	0.228
jː	ɡː	1.0
k	k	0.938
k	-	0.062
kʰ	kʰ	0.796
kʰ	-	0.204
l	l	0.886
l	lː	0.114
lː	lː	0.941
lː	ɾ	0.059
m	m	0.823
m	mː	0.14
mː	mː	1.0
n	n	0.821
n	nː	0.179
nː	nː	0.903
nː	ɳ	0.078
p	p	1.0
pʰ	pʰ	1.0
s	s	0.982
sː	sː	1.0
t	t	0.786
t	tː	0.113
tʰ	tʰ	1.0
tː	tː	1.0
v	-	0.5
v	ʋ	0.5
ŋ	ŋ	1.0
ŋː	ŋː	0.992
ɑ	ə	0.872
ɑ	-	0.123
ɕ	ɕ	0.729
ɕ	k	0.17
ɕ	tʰ	0.055
ɕː	tː	0.675
ɕː	kː	0.325
ə	ə	0.917
ə	-	0.083
ɛ	ə	1.0
ɡ	ɡ	0.527
ɡ	j	0.346
ɡ	-	0.127
ɡː	ɡː	1.0
ɪ	ɪ	1.0
ɲ	ŋː	1.0
ɾ	ɾ	0.954
ʃ	s	0.432
ʃ	ʃ	0.305
ʃ	ʂ	0.263
ʉ	ə	1.0
ʋ	ʋ	0.964
ʰkː	kː	1.0
ʰpː	pː	1.0
ʰtː	tː	0.92
ʰtː	t	0.08
ˈeː	ˈeː	0.628
ˈeː	ˈæː	0.145
ˈeː	ˈʉː	0.07
ˈeː	ˈæɪ̯	0.065
ˈiː	ˈiː	1.0
ˈoː	ˈoː	0.845
ˈoː	ˈɔ	0.101
ˈuː	ˈuː	0.957
ˈyː	ˈyː	0.911
ˈyː	ˈʉː	0.055
ˈæ	ˈæ	1.0
ˈæɪ̯	ˈæɪ̯	0.629
ˈæɪ̯	ˈɛ	0.173
ˈæɪ̯	ˈeː	0.114
ˈæɪ̯	-	0.084
ˈæʉ̯	ˈøː	0.884
ˈæʉ̯	ˈœ	0.116
ˈæː	ˈæː	1.0
ˈøː	ˈøː	0.497
ˈøː	ˈœ	0.331
ˈøː	ˈæː	0.172
ˈœ	ˈɛ	0.533
ˈœ	ˈœ	0.24
ˈœ	ˈøː	0.227
ˈœʏ̯	ˈøː	0.502
ˈœʏ̯	ˈœ	0.393
ˈœʏ̯	ˈœʏ̯	0.105
ˈɑ	ˈɑ	0.861
ˈɑː	ˈɑː	0.778
ˈɑː	ˈɑ	0.106
ˈɑː	ˈeː	0.066
ˈɑː	ˈɛ	0.05
ˈɔ	ˈɔ	0.632
ˈɔ	ˈʊ	0.254
ˈɔ	ˈœ	0.093
ˈɛ	ˈɛ	0.867
ˈɛ	j	0.068
ˈɪ	ˈɪ	0.967
ˈʉ	ˈʉ	0.873
ˈʉː	ˈʉː	0.782
ˈʉː	ˈyː	0.218
ˈʊ	ˈuː	0.506
ˈʊ	ˈɔ	0.17
ˈʊ	ˈʊ	0.17
ˈʊ	ˈɑ	0.154
ˈʏ	ˈʏ	0.62
ˈʏ	ˈœ	0.231
ˈʏ	ˈɪ	0.149
