Lithuanian	Standard Serbian	probability
ʒ	z	1.0
ʑ	z	1.0
ɪ_ˈ	̂	1.0
ɪ_ɫ	uː	1.0
ɪ_rʲ	r̩	1.0
ɛʊ̯	uː	1.0
ɛɪ̯	i	1.0
ɕ	s	1.0
ɐʊ̯	-	1.0
ɐɪ̯	eː_̌	1.0
ŋʲ	-	1.0
ŋ	-	1.0
æɪ̯	i	1.0
z	aː_̌	1.0
v	ʋ	1.0
tʲ	t	1.0
pʲ	p	1.0
p	-	1.0
nʲ_ɪ	ɲ	1.0
nʲ	-	1.0
n_ɐ	n	1.0
n_d	d	1.0
mʲ	m	1.0
k_tʲ	ʨ	1.0
iː_̌	u	1.0
iː	iː	1.0
iə̯	-	1.0
eː_̂	e_̂	1.0
dʲ	d	1.0
d	d	1.0
bʲ	b	1.0
b	b	1.0
aʊ̯	uː	1.0
aɪ̯	-	1.0
vʲ	ʋ	0.879
ɡ	ɡ	0.851
ʊ	-	0.814
ʃ	s	0.796
̌	̂	0.75
̂	̂	0.739
t	t	0.732
k	k	0.687
uː	i	0.667
uə̯	a	0.667
sʲ	s	0.661
ɡʲ	ʒ	0.644
eː	a	0.633
kʲ	k	0.605
ɫ	-	0.603
æː	e	0.598
n	-	0.594
j	-	0.593
m	m	0.584
rʲ	r	0.568
ˈ	̂	0.55
r	r	0.502
r	-	0.498
lʲ	l	0.494
ɛ	eː	0.467
ˈ	-	0.45
rʲ	-	0.432
m	-	0.416
j	ʋ	0.407
n	n	0.406
s	s	0.403
s	r	0.402
oː	a	0.402
ɫ	l	0.397
kʲ	-	0.395
oː	-	0.368
eː	eː	0.367
ɡʲ	-	0.356
sʲ	-	0.339
uː	-	0.333
uə̯	-	0.333
lʲ	-	0.326
k	-	0.313
aː	oː	0.309
ɛ	e	0.305
ɐ	a	0.271
aː	r_a	0.27
t	-	0.268
ɐ	o	0.263
ɪ	u	0.258
aː	e	0.256
ɪ	o	0.251
æː	o	0.23
oː	a_̂	0.23
ɪ	-	0.229
ɛ	e_̌	0.228
ʃ	-	0.204
s	-	0.195
ʊ	a_k	0.186
lʲ	ʎ	0.181
ɪ	eː	0.173
æː	-	0.173
aː	o	0.166
̌	̌	0.156
ɐ	uː	0.155
ɡ	-	0.149
̂	̌	0.13
̂	uː_̌	0.13
ɐ	aː	0.127
vʲ	-	0.121
̌	-	0.094
ɪ	i	0.089
ɐ	eː	0.067
