Lower Sorbian	Belarusian	probability
ˈɨ	ˈɨ	1.0
ˈi	ˈi	1.0
ʨ	ʦʲ	1.0
ʑ	ʣʲ	1.0
ʐ	ʐ	1.0
ɲ	nʲ	1.0
ɡ	ɣ	1.0
ɛ	æ	1.0
ɕ_ˈi	r	1.0
ɕ	ʦʲ	1.0
vʲ	vʲ	1.0
v	v	1.0
t	t	1.0
pʲ	pʲ	1.0
p	p	1.0
n	n	1.0
mʲ	mʲ	1.0
m	m	1.0
kʲ	kʲ	1.0
bʲ	bʲ	1.0
b	b	1.0
<#	<#_p	1.0
ɔ	a	0.867
l	lʲ	0.867
ɨ	ɨ	0.857
r	r	0.833
d	d	0.833
k	k	0.727
w	ɫ	0.706
a	ˈa	0.688
ˈu	ˈu	0.667
i	i	0.667
ˈɔ	ˈo	0.643
s	s	0.625
ˈɪ	ˈe	0.611
x	x	0.6
rʲ	r	0.571
ʦ	ʧ	0.556
z	zʲ	0.556
ˈe	ˈe	0.5
ˈe	æ	0.5
ʂ	ʂ	0.5
ʂ	r	0.5
j	j	0.5
j	-	0.5
e	æ	0.5
e	e	0.5
ˈɛ	ˈo	0.462
ʦ	ʦ	0.444
z	z	0.444
rʲ	r_a	0.429
x	xʲ	0.4
ˈɛ	a	0.385
s	sʲ	0.375
ˈu	u	0.333
i	ˈi	0.333
a	a	0.312
ˈa	ˈa	0.294
k	x	0.273
ˈa	a	0.235
ˈɪ	ˈæ	0.222
ˈɔ	a	0.179
ˈa	ˈɵ	0.176
ˈa	ˈe	0.176
w	w	0.176
ˈɪ	æ	0.167
r	a_r	0.167
d	ʣʲ	0.167
ˈɛ	ˈɛ	0.154
ɨ	ˈɨ	0.143
ɔ	ˈo	0.133
l	ʌ	0.133
ˈa	ˈo	0.118
w	ʌ	0.118
ˈɔ	ɫ_a	0.107
ˈɔ	ˈɵ	0.071
