Lower Sorbian	Latvian	probability
ˈɪ_t	j	1.0
ˈi	ˈiː	1.0
ʨ	ʃ	1.0
ʒ	ʣ	1.0
ʑ	d	1.0
ʐ̊	ʣ_ɛ	1.0
ʐ	ʣ	1.0
ɲ	n	1.0
ɨ	s	1.0
ɡ̊	ɡ̊	1.0
ɡʲ	ˈu_ɡ	1.0
ɛ	-	1.0
z̥	z̥	1.0
x	s	1.0
w_ɔ	l̩	1.0
w	l	1.0
vʲ	v	1.0
u	uɔ̯_l	1.0
t	t	1.0
s_ɛ	e	1.0
rʲ	r	1.0
pʲ	-	1.0
p	p	1.0
nʲ	n	1.0
n	n	1.0
mʲ	m	1.0
i	-	1.0
b̥	b̥	1.0
bʲ	b_ˈa	1.0
b	b	1.0
s	s	0.945
m	m	0.829
ˈa	-	0.784
ɡ	ɡ	0.773
l	l	0.762
r	r	0.757
ɕ	t	0.75
d̥	d̥	0.703
e	-	0.677
d	d	0.661
ˈe	ˈɛ	0.646
z	z	0.627
v	v	0.607
ɔ	s	0.592
ʦ	k	0.59
ˈu	ˈuɔ̯	0.545
ˈɨ	-	0.532
ˈɛ	-	0.527
a	a	0.525
k	k	0.513
ˈɨ	ˈuː	0.468
ˈɪ	ˈæː	0.434
ʦ	s	0.41
ɔ	-	0.408
ˈɪ	ˈiɛ̯	0.377
z	z̥	0.373
ˈe	-	0.354
k	ʦ	0.349
ˈɔ	-	0.346
d	-	0.339
e	i	0.323
d̥	d_u	0.297
ˈɔ	ˈa	0.283
ˈɛ	ˈɛ	0.27
v	-	0.262
ˈu	-	0.257
ɕ	i	0.25
ˈɔ	ˈæ	0.248
r	r̩	0.243
l	ʎ	0.238
ɡ	z	0.227
a	-	0.215
ˈɛ	ˈa	0.203
ˈu	ˈau̯	0.198
ˈɪ	ˈai̯	0.189
ˈa	ˈa	0.177
m	ɲ	0.171
k	s	0.138
v	ˈuː	0.131
a	ɛ_n	0.13
a	ɛ	0.13
ˈɔ	ˈaː	0.123
s	ʧ	0.055
