Romagnol	Romagnol	probability
ˈʌ̃_ŋ	ɑ̃	1.0
ˈʌ̃_n	ɑ̃	1.0
ˈɛ̃	j	1.0
ˈɛə̯_s	ɛ	1.0
ˈɛə̯_l	o	1.0
ˈɛ_n	ɑ̃	1.0
ˈɔ_s	o	1.0
ˈu_ɡ	ø	1.0
ˈu	y	1.0
ˈõũ̯	ɔ̃	1.0
ˈou̯_t	u	1.0
ˈou̯_r	œ_ʁ	1.0
ˈẽ_n	ɑ̃	1.0
ˈẽ_j̃	ɛ̃	1.0
ˈeə̯_r	ɛ_ʁ	1.0
ˈeə̯_l	o	1.0
ˈeə̯_d	ɛ	1.0
ˈeə̯_#>	e_#>	1.0
ˈe	-	1.0
ˈaː	l_a	1.0
ɡ_ɐ	a	1.0
ɐ_v	ə_v	1.0
ɐ_r	ʁ	1.0
ɐ_d	ɛ	1.0
ɐ_#>	#>	1.0
ŋ	-	1.0
z_#>	#>	1.0
v_ˈa	a	1.0
u_l	l	1.0
t_ɐ_#>	#>	1.0
s_#>	#>	1.0
r_ˈɛ	ʁ_w	1.0
r	ʁ	1.0
o	-	1.0
n_ɐ_#>	#>	1.0
n_t_#>	#>	1.0
l_#>	#>	1.0
k_ɐ	ʃ	1.0
k_#>	#>	1.0
j_ˈɔə̯	i	1.0
j_ɐ	j	1.0
f	f	1.0
e	-	1.0
d_ɐ	a	1.0
<#_ˈɔə̯	<#_œ	1.0
<#_t	<#_t	1.0
<#_s	<#_e	1.0
<#_r	<#_ʁ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
b	b	0.909
p	p	0.9
s	s	0.885
m	m	0.862
v	v	0.793
l	l	0.741
ð	ʒ	0.727
ˈɔ	-	0.714
d_#>	#>	0.714
θ	s	0.684
ˈa	a	0.667
ɲ	ɲ	0.667
v_#>	f_#>	0.667
ˈɔə̯	ɔ	0.643
n	n	0.63
ˈɛə̯	ɛ	0.625
i	-	0.625
t	t	0.615
ˈɛ_#>	w_a_#>	0.6
ʧ	-	0.6
ʤ	ɡ	0.6
a	-	0.6
ˈeː	w	0.583
k	k	0.576
d	-	0.571
ɡ	ɡ	0.556
ˈeə̯	ɛ	0.545
z	-	0.545
ˈi	i	0.538
j	l	0.538
ˈʌ̃	ɛ̃	0.524
u	u	0.462
ˈɛ	ɛ	0.45
ɐ	a	0.448
ɡ	-	0.444
d	d	0.429
k	ʃ	0.424
ˈɛ_#>	#>	0.4
ʧ	k_l	0.4
ʤ	-	0.4
a	a	0.4
#>	e_#>	0.4
t	-	0.385
ˈɛə̯	-	0.375
i	i	0.375
ˈou̯	w	0.333
ˈẽ	ɛ̃	0.333
ˈẽ	ɑ̃	0.333
ˈẽ	i	0.333
ˈa	-	0.333
ɲ	ɛ̃	0.333
v_#>	#>	0.333
ˈo	-	0.318
θ	-	0.316
u	ɔ	0.308
#>	a_ʁ_#>	0.3
#>	a_#>	0.3
n	-	0.296
ˈɔ	ɥ	0.286
d_#>	a_#>	0.286
ˈeə̯	e	0.273
ð	-	0.273
z	z	0.273
ˈɛ	i	0.25
ˈeː	ɛ	0.25
u	-	0.231
j	j	0.231
j	-	0.231
ˈo	u	0.227
ˈɔə̯	œ	0.214
ɐ	-	0.207
v	-	0.207
ˈʌ̃	a	0.19
ˈeə̯	a	0.182
z	a	0.182
ˈou̯	ɔ	0.167
ˈou̯	œ	0.167
ˈou̯	y	0.167
ˈou̯	u	0.167
ˈeː	j_ɛ	0.167
ˈi	i_ʁ	0.154
l	-	0.148
ˈʌ̃	ɛ	0.143
ˈʌ̃	ɑ̃	0.143
ˈɔə̯	o	0.143
ɐ	ɛ	0.138
m	-	0.138
ˈo	ɥ	0.136
ˈo	ɔ̃	0.136
ˈi	w	0.115
ˈi	-	0.115
s	-	0.115
l	ʁ	0.111
ˈɛ	ɑ̃	0.1
ˈɛ	w	0.1
ˈɛ	-	0.1
p	-	0.1
ˈo	ɔ	0.091
ˈo	y	0.091
b	-	0.091
ˈi	j	0.077
n	ɔ̃	0.074
ɐ	v	0.069
ɐ	l	0.069
ɐ	j	0.069
