Old French	Old French	probability
θ	-	1.0
ˈɛ_w	ˈø_k	1.0
ˈɛ_v	ʋ	1.0
ˈɔ_r	ˈɔ_r	1.0
ˈỹ	ˈø	1.0
ˈy_j	ˈɔ	1.0
ˈo	ˈo	1.0
ˈi_s	ˈe_s	1.0
ˈi_r	ˈi	1.0
ˈẽ_n	ˈe	1.0
ˈẽ_j	ˈe	1.0
ˈã	ˈa	1.0
ˈa_l	ˈa_l	1.0
ʧ	k	1.0
ʦ	s	1.0
ʤ	z	1.0
ʎ_ə	a	1.0
ɲ	ɲ	1.0
ɡ_l	ʤ	1.0
ɡ	ɡ	1.0
ɛ	e	1.0
ə_v	e	1.0
ə_#>	#>	1.0
ɔ	o	1.0
z	z	1.0
y	y	1.0
w_ˈɛ	ˈø	1.0
v_ə	e_d	1.0
v_r	f	1.0
ũ	o	1.0
t_ə	t_a	1.0
s_ˈa	s_ˈa	1.0
s_ə	s	1.0
s_#>	#>	1.0
s	s	1.0
r_ˈɔ	r_ˈɛ	1.0
r_ə	e_r	1.0
r_t	r_t	1.0
r_#>	#>	1.0
p	p	1.0
o	-	1.0
n_#>	#>	1.0
l_#>	l_#>	1.0
k_l	ʧ	1.0
k_#>	k_#>	1.0
k	k	1.0
j_t	ʧ	1.0
j_s	s	1.0
j_n_#>	#>	1.0
ĩ	i	1.0
i	-	1.0
f	f	1.0
e_s	s	1.0
e	-	1.0
d	d	1.0
b	b	1.0
ã	a	1.0
a_l	a_l	1.0
<#_ˈɔ	<#_ˈo	1.0
<#_ɔ	<#	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
<#_ã	<#_a	1.0
m	m	0.944
t	t	0.935
<#_v	<#	0.867
a	a	0.8
ˈĩ	ˈi	0.778
r	r	0.778
n	n	0.778
ə	a	0.76
ˈɔ_j	ˈi	0.75
ˈa	ˈa	0.722
ˈe	ˈa	0.714
ŋ	ŋ	0.714
ˈɛ	ˈɛ	0.71
j_ˈɛ	ˈe	0.667
j	-	0.656
f_#>	f_#>	0.625
w	-	0.583
ˈẽ	ˈɛ	0.545
l	l	0.52
ˈɔ	ˈɔ	0.5
ˈy	ˈy	0.5
ʧ_j	k_ˈa	0.5
ʧ_j	k	0.5
ʤ_ə	s	0.5
ʤ_ə	e	0.5
v	ʋ	0.5
v	-	0.5
u	o	0.5
j_#>	k_#>	0.5
j_#>	#>	0.5
#>	k_#>	0.5
#>	a_#>	0.5
l	j	0.48
w	w	0.417
ˈu	ˈo	0.4
ˈi	ˈi	0.4
ˈũ	ˈu	0.375
ʎ	ʧ	0.375
ʎ	j	0.375
f_#>	#>	0.375
ˈy	-	0.357
ˈi	ˈe	0.35
ˈɔ	ˈo	0.333
ˈu	ˈu	0.333
j_ˈɛ	ˈa	0.333
ˈũ	ˈo	0.312
u	-	0.3
ˈe	-	0.286
ŋ	-	0.286
ˈa	-	0.278
ˈẽ	ˈe	0.273
ˈu	ˈø	0.267
ˈɔ_j	ˈe	0.25
ʎ	ˈø_l	0.25
ˈĩ	-	0.222
u	u	0.2
a	-	0.2
ˈũ	ˈɔ	0.188
ˈẽ	-	0.182
ˈɔ	ˈu	0.167
ˈɛ	ˈa	0.161
ˈi	j	0.15
ˈy	ˈo	0.143
<#_v	<#_ˈe	0.133
ˈũ	-	0.125
ə	e	0.12
ˈi	-	0.1
j	j	0.094
r	-	0.093
n	ɲ	0.083
n	ŋ	0.083
ˈɛ	ˈa_d	0.065
ˈɛ	-	0.065
t	ʧ	0.065
j	ˈi	0.062
j	ˈe	0.062
j	ˈa	0.062
j	ɡ	0.062
r	d	0.056
n	-	0.056
m	-	0.056
