German	Westphalian	probability
ˈʏ	ˈʏ	1.0
ˈʊ_ɐ	ˈuːə̯	1.0
ˈʊ	ˈʊ	1.0
ˈɛ_n	ˈɛ	1.0
ˈɔʏ̯	ˈyː	1.0
ˈyː	ˈøː	1.0
ˈoː_t	ˈaʊ̯_d	1.0
ˈiː_ɐ	ˈiː	1.0
ˈaʊ̯_s	ˈʊ_s	1.0
ˈaɪ̯_#>	ˈaɪ̯_#>	1.0
ʦ	t	1.0
ʃ	ʃ	1.0
ʁ_ə	ɐ	1.0
ɪ	ɪ	1.0
ɡ̊	x	1.0
ə_n	n	1.0
ŋ	ŋ	1.0
ç_t	ç	1.0
x_#>	k_#>	1.0
tʰ	d	1.0
t_ɐ	ɐ	1.0
s_n	t_n	1.0
p͡f	p	1.0
n_s	s	1.0
m_ə	m	1.0
m	m	1.0
l	l	1.0
kʰ	k	1.0
k_s	s	1.0
k_n	ç	1.0
k	k	1.0
j	j	1.0
h	h	1.0
f_n	p_n	1.0
f_#>	p_#>	1.0
f	f	1.0
b_n	v_n	1.0
<#_ˈɪ	<#_ˈɪ	1.0
<#_n	<#_n	1.0
#>	k_#>	1.0
n	n	0.938
ʁ	r	0.933
ɐ	ɐ	0.914
ˈɪ	ˈɪ	0.9
b	b	0.885
d̥	d	0.857
z	s	0.85
ˈiː	ˈaɪ̯	0.818
ˈa	ˈa	0.8
ˈuː	ˈoː	0.778
v	v	0.778
ə	ə	0.76
d	d	0.75
t	t	0.677
s	t	0.667
x	x	0.625
ɡ	x	0.6
ç	k	0.6
ˈɔ	ˈʊ	0.556
ˈaː	ˈɔː	0.529
ˈɛ	ˈɪɛ̯	0.5
ˈɛ	ˈɛ	0.5
ˈoː	ˈɔː	0.5
ˈoː	ˈaʊ̯	0.5
ˈeː	ˈɪɛ̯	0.5
ˈeː	ˈaɪ̯	0.5
b̥	ʋ	0.5
b̥	v	0.5
ˈaʊ̯	ˈuː	0.467
ˈaɪ̯	ˈiː	0.435
ˈaɪ̯	ˈeː	0.435
ˈaʊ̯	ˈaʊ̯	0.4
ç	ç	0.4
x	k	0.375
s	s	0.333
t	d	0.323
ɡ	ɡ	0.3
d	-	0.25
ə	-	0.24
ˈɔ	ˈɔ	0.222
ˈɔ	-	0.222
ˈuː	ˈøː	0.222
v	ʋ	0.222
ˈiː	ˈiː	0.182
ˈaː	ˈaː	0.176
ˈaː	ˈa	0.176
z	z	0.15
d̥	t	0.143
ˈaʊ̯	ˈʊ	0.133
ˈaɪ̯	ˈɪ	0.13
ˈaː	ˈɛ	0.118
b	v	0.115
ˈɪ	ˈɛ	0.1
ˈa	ˈɔ	0.1
ˈa	ˈaː	0.1
ɡ	-	0.1
ɐ	-	0.086
ʁ	-	0.067
n	-	0.062
