Standard Mandarin	Standard Mandarin	probability
ʨ	k	1.0
ʦʰ	ʦʰ	1.0
ʦ	ʦ	1.0
ʐ̩	i	1.0
ʐ	n	1.0
ʊ	ɔ	1.0
ɥ	y	1.0
ɤ_ɻ	œ	1.0
ɕ	s	1.0
ɔ	-	1.0
ŋ	ŋ	1.0
³⁵_#>	#>	1.0
z̩	i	1.0
x	x	1.0
w_⁵⁵	u_⁵⁴	1.0
w_⁵¹	⁴²	1.0
w_ɔ	ɔ	1.0
tʰ	tʰ	1.0
t	t	1.0
s	s	1.0
p	p	1.0
o_w	e	1.0
m	m	1.0
l	l	1.0
kʰ	kʰ	1.0
k	k	1.0
j_⁵¹	³³	1.0
j_ɛ	i	1.0
j_ɑ	j_a	1.0
j_²¹⁴	²⁴	1.0
j_o	j	1.0
e	-	1.0
a_j	ɛ	1.0
<#_x	<#	1.0
<#_n	<#_n	1.0
<#	<#_ŋ	1.0
²¹⁴	²¹	0.926
⁵⁵	⁵⁴	0.844
n	ŋ	0.833
u	u	0.727
ʂ	s	0.714
y	y	0.714
ʈ͡ʂʰ	ʦʰ	0.667
ɛ	j	0.667
³⁵	³³	0.657
a	a	0.619
w	w	0.609
ʈ͡ʂ	t	0.6
pʰ	p	0.6
ə	ɔ	0.571
j	-	0.571
f	x	0.571
ɑ	ɔ	0.545
o	y	0.5
o	j	0.5
i	i	0.462
ɑ	a	0.455
⁵¹	⁵⁵	0.429
ə	j	0.429
j	ɛ	0.429
f	p	0.429
ʈ͡ʂ	ʦ	0.4
pʰ	pʰ	0.4
i	e	0.385
³⁵	²¹	0.343
ʨʰ	ʦʰ	0.333
ʨʰ	ʦ	0.333
ʨʰ	kʰ	0.333
ʈ͡ʂʰ	t	0.333
ɤ	ɛ	0.333
ɤ	a_j	0.333
ɤ	a	0.333
ɛ	ɛ	0.333
ʂ	-	0.286
y	œ_ɥ	0.286
u	y	0.273
⁵¹	⁴²	0.25
a	u_j	0.19
⁵¹	²⁴	0.179
n	j_ŋ	0.167
⁵⁵	²⁴	0.156
i	a	0.154
⁵¹	³³	0.143
w	y	0.13
w	u	0.13
w	-	0.13
a	ɛ	0.095
a	w	0.095
²¹⁴	²⁴	0.074
