Afrikaans	Afrikaans	probability
ˈʊə̯_r	ˈuː	1.0
ˈɛː	ˈiː	1.0
ˈɑː_n	ˈuː_n	1.0
ˈœu̯	ˈuː	1.0
ˈæː	-	1.0
ˈæ	-	1.0
ˈyː	ˈyː	1.0
ˈoː	ˈɔa̯	1.0
ɫ_ˈi	l	1.0
ɫ_d̥	lʲ	1.0
ɦ	h	1.0
ə_r	ɐ	1.0
ə_#>	#>	1.0
w	ˈɛ	1.0
v̥	f	1.0
v	v	1.0
s_k	ʃ	1.0
r_ˈʊə̯	r	1.0
r_ˈəɪ̯	r_ˈiː	1.0
p	p	1.0
n_t	n_t	1.0
n_d̥	nʲ	1.0
n_d	n	1.0
n_#>	#>	1.0
m	m	1.0
i	aɪ̯	1.0
d_ˈi	d_ˈiː	1.0
d_ə	ɾ	1.0
b	b	1.0
<#_ˈʊə̯	<#_ˈaʊ̯	1.0
<#_ˈa	<#_ˈɔː	1.0
<#_v	<#	1.0
<#_t	<#_tʰ	1.0
<#_r	<#_r	1.0
<#_p	<#_pʰ	1.0
<#	<#_j	1.0
n	n	0.932
ɫ	l	0.894
t	t	0.875
ˈœɪ̯	ˈʏ	0.818
s	s	0.774
ŋ	ŋ	0.765
ˈœ	ˈɛ	0.667
ˈəɪ̯	ˈɪ	0.643
d	d	0.64
k	k	0.613
j	-	0.6
#>	ə_#>	0.6
ˈɑː	ˈɔː	0.524
ˈɪø̯	ˈøː	0.5
ˈɪø̯	-	0.5
ˈɛ	ˈɛ	0.5
ˈɛ	-	0.5
ˈə	ˈɪ	0.455
d̥	ɾ	0.44
ə	ə	0.438
ˈa	ˈa	0.433
r	ɐ	0.429
r	r	0.408
j	j	0.4
#>	ɾ_#>	0.4
ˈɪə̯	ˈeː	0.389
ˈɑː	-	0.381
ˈʊə̯	ˈɔa̯	0.368
ˈœ	ˈʏ	0.333
ˈu	-	0.333
ˈi	ˈiː	0.333
d̥	-	0.32
d	tʰ	0.32
k	kʰ	0.29
χ	ç	0.278
ˈɪə̯	ˈiː	0.278
ˈə	ˈɛ	0.273
ˈa	-	0.267
ˈʊə̯	ˈoː	0.263
ˈʊə̯	-	0.263
ˈɔ	ˈʊ	0.261
χ	ɡ	0.25
ə	ɪ	0.25
ŋ	n	0.235
χ	x	0.222
ˈɪə̯	-	0.222
ˈɔ	ˈɔ	0.217
ˈɔ	ˈœ	0.217
ˈəɪ̯	-	0.214
ˈu	ˈʊ	0.2
ˈu	ˈɔ	0.2
ˈi	ˈɪ	0.2
ˈi	-	0.2
ə	ɐ	0.188
ˈə	ˈʊ	0.182
ˈœɪ̯	ˈyː	0.182
ˈɔ	ˈʏ	0.174
d̥	t	0.16
ˈəɪ̯	ˈiː	0.143
ˈu	ˈɛ	0.133
ˈu	ˈøː	0.133
ˈi	ˈɛ	0.133
ˈi	ˈeː	0.133
ˈɔ	-	0.13
ə	ə_n	0.125
t	d	0.125
s	s_k	0.113
ˈɪə̯	ˈɛ_ɾ	0.111
ˈʊə̯	ˈuː	0.105
ˈa	ˈɛ	0.1
k	-	0.097
ˈɑː	ˈiː	0.095
ˈə	-	0.091
χ	ç_t	0.083
d̥	x_t	0.08
n	-	0.068
ˈa	ˈʏ	0.067
ˈa	ˈʊ	0.067
ˈa	ˈœ	0.067
s	s_t	0.065
ɫ	l_ə	0.064
r	x	0.061
r	-	0.061
χ	ˈaɪ̯	0.056
χ	ɪ_ç	0.056
χ	-	0.056
