Zeelandic	East Frisian Low Saxon	probability
ˈɔ_ɾ	r	1.0
ˈɑu̯_w	ˈɑːʊ̯	1.0
ˈɑu̯	ˈɔ_l	1.0
ˈæi̯	ˈæɪ̯	1.0
ˈoː	ˈoː	1.0
ˈiːə̯	ˈæɪ̯	1.0
ɾ_ˈɛː	r_ˈɒːɒ̯	1.0
ɾ_ə	ɐ	1.0
ə_ɾ	ɐ	1.0
ŋ_k	ŋ	1.0
ŋ	ŋ	1.0
z̥	z̥	1.0
w	-	1.0
t	t	1.0
s_x	s_k	1.0
p	p	1.0
n_ə	n	1.0
n_d	n	1.0
m	m	1.0
l	l	1.0
k_ə	k	1.0
iː	ɑɪ̯	1.0
i	ɐ	1.0
d	d	1.0
b	b	1.0
n	n	0.948
ɫ	l	0.933
d̥	d̥	0.907
k	k	0.891
z	z	0.86
ʋ	v	0.838
t_ə	t	0.827
x	ɡ	0.822
v	f	0.82
v̥	v̥	0.806
ˈɪ	ˈɪ	0.774
ˈʊə̯	ˈoː	0.738
ɾ	ɐ	0.732
s	s	0.714
j	j	0.703
ˈyː	ˈuː	0.687
ˈɛː	ˈɒː	0.669
ˈɑ	ˈɑ	0.603
ˈeː	ˈeː	0.591
ˈu	-	0.582
ˈi	ˈiː	0.56
x_ə	ɡ	0.557
ˈuː	ˈɑʊ̯	0.507
ˈɪə̯	ˈæɪ̯	0.504
ˈɒː	ˈɑ	0.5
ˈɒː	-	0.5
ə	-	0.491
ˈøː	ˈøː	0.451
ə	n	0.451
x_ə	ˈʏə̯_ɣ̊	0.443
ˈi	ˈɪ	0.44
ˈʏ	-	0.426
ˈu	ˈɑʊ̯	0.418
ˈeː	ˈeːe̯	0.409
ˈɔ	ˈʊ	0.383
ˈɪə̯	-	0.381
ˈæ	ˈɑː	0.365
ˈøː	ˈœ	0.354
ˈʏ	ˈøː	0.324
ˈæ	ˈɛ	0.318
ˈɔ	ˈɔ	0.301
ˈuː	ˈœy̯	0.299
j	-	0.297
s	s_k	0.286
ˈiː	-	0.28
ˈæ	-	0.274
ɾ	r	0.268
ˈʏ	ˈʊ	0.25
ˈiː	ˈæɪ̯	0.25
ˈɔ	-	0.235
ˈøː	ˈøːø̯	0.194
ˈuː	ʊ	0.194
v̥	f	0.194
ˈɪ	ˈʏ	0.192
ˈiː	ˈæː	0.181
v	v	0.18
x	χ	0.178
ˈɛː	ˈɔː	0.175
t_ə	ˈyːʏ̯	0.173
ˈɑ	ˈɑː	0.166
ʋ	w	0.162
ˈyː	ˈiː	0.158
ˈyː	ˈuːu̯	0.155
ˈʊə̯	ˈøː	0.149
ˈiː	ˈɛːɪ̯	0.149
ˈiː	ˈyː	0.14
z	s	0.14
ˈɪə̯	ˈɛːɪ̯	0.115
ˈɑ	ˈɑːɑ̯	0.115
ˈɑ	-	0.115
ˈʊə̯	ˈoːo̯	0.114
ˈɛː	ˈeː	0.096
d̥	-	0.093
k	-	0.085
ˈɔ	ˈœːy̯	0.081
ˈɛː	ˈɒːɒ̯	0.06
ə	ə	0.058
n	-	0.052
