Standard Serbian	Kashubian	probability
ʨ	ʦ	1.0
ʦ	ʦ	1.0
ʎ	l	1.0
ʃ	-	1.0
ɲ	-	1.0
ɡ̊	s_k	1.0
x	x	1.0
s	s	1.0
r_eː	r̝_e	1.0
p	p	1.0
m	m	1.0
k	k	1.0
e_̌	ɛ	1.0
a_̂	ˈ	1.0
a_r	r_i	1.0
a_n	n_i	1.0
a_m	m_ə	1.0
a_k	ʧ_i	1.0
̌	ˈ	0.833
z	z	0.832
n	n	0.781
̂	ˈ	0.774
b	b	0.762
d	d	0.735
ʋ	v	0.665
ɡ	ɡ	0.658
iː	ə	0.645
i	ə	0.632
ʒ	ʒ	0.63
t	ʦ	0.613
l	w	0.556
ʧ	ʧ	0.55
r̩	ɛ	0.527
r̩	r̝	0.473
r	r	0.462
ʧ	ʃ	0.45
aː	-	0.418
a	a	0.407
aː	ɔ	0.397
t	t	0.387
l	l	0.376
u	-	0.375
oː	u	0.374
ʒ	ʒ̊	0.37
i	i	0.368
uː	õ	0.36
iː	i	0.355
o	u̯ɛ	0.352
r	r̝	0.349
o	ɔ	0.334
a	ɛ	0.334
e	ɛ	0.331
oː	u̯ɛ	0.326
u	w_ʉ	0.312
u	ã	0.312
oː	ɔ	0.3
d	ʣ	0.265
eː	j	0.243
uː	w	0.238
b	b̥	0.238
o	u	0.219
n	ɲ	0.219
e	j	0.217
uː	ɞ	0.201
uː	ə	0.201
ɡ	ʤ	0.19
ʋ	v_j	0.184
aː	ɞ	0.184
eː	ã	0.176
a	-	0.173
z	z̥	0.168
eː	u	0.156
e	ɔ	0.154
ɡ	ɡ̊	0.153
eː	ɛ	0.123
e	-	0.12
r	-	0.101
ʋ	f	0.096
e	a	0.095
o	w	0.094
r	ɾ	0.088
̌	ɞ_ˈ	0.083
̌	-	0.083
e	e	0.083
eː	j_ã	0.08
eː	e	0.08
eː	a	0.08
l	d_w	0.068
eː	-	0.062
̂	ɛ_ˈ	0.06
̂	u_ˈ	0.06
̂	a_ˈ	0.06
ʋ	f_j	0.055
a	u̯ɛ	0.053
