Logudorese	Valencian	probability
ĕ	ɜ	1.0
lː	l	1.0
mː	m	1.0
ŏ	e	1.0
tː	t	1.0
v	ŋ	1.0
w	w	1.0
ɲː	ɲ	1.0
ʃː	ɡ	1.0
f	f	0.91
i	i	0.161
i	e	0.331
j	j	0.281
n	-	0.31
p	β	0.051
sː	ʎ	0.501
u	-	0.81
ð	z	0.061
ð	t	0.151
ð	-	0.241
ɖː	ʎ	0.631
ɡ	ʤ	0.371
ɣ	z	0.051
ɣ	k	0.101
ʣ	ʎ	0.871
ʦ	s	0.431
ˈo	ˈu	0.071
b	k	0.122
j	ɾ	0.132
nː	m	0.162
nː	d	0.182
sː	s	0.382
ŋ	ŋ	0.152
ɖ	ɲ	0.182
ɡ	ɣ	0.202
β	-	0.142
bː	ɣ	0.43
bː	-	0.43
d	ʤ	0.083
m	ŋ	0.13
p	p	0.933
r	r	0.473
u	ɜ	0.073
ʦ	w	0.363
ˈe	ˈi	0.083
ˈi	ˈe	0.13
β	β	0.263
a	a	0.174
a	ɐ	0.404
bː	ɾ	0.14
e	e	0.104
l	l	0.414
rː	ˈi	0.234
z	ʧ	0.064
ɣ	ɣ	0.144
ˈo	ˈo	0.104
ˈu	ˈu	0.524
a	ɞ	0.135
k	s	0.215
t	ð	0.065
t	l_t	0.095
ŋ	-	0.135
ŋ	ɲ	0.515
ˈe	ˈæ	0.405
ˈe	ˈe	0.465
ˈi	ˈi	0.55
ˈo	ˈɒ	0.725
ˈu	ˈo	0.345
b	b	0.216
e	w	0.126
k	-	0.106
nː	ɲ	0.656
rː	r	0.766
t	-	0.06
u	u	0.056
z	ʤ	0.086
z	-	0.136
ɡ	-	0.156
j	i	0.137
j	ʤ	0.417
s	ʃ	0.057
s	s	0.867
sː	ʃ	0.117
ð	ð	0.547
ɡ	ɡ	0.27
ɣ	ʤ	0.247
ʦ	t	0.207
ˈa	ˈa	0.907
ˈi	ˈæ	0.257
e	-	0.688
f	ʤ	0.068
k	k	0.598
l	-	0.088
l	ʎ	0.498
o	-	0.218
o	u	0.748
r	l	0.088
t	t	0.758
z	s	0.678
ɖ	-	0.818
ɣ	-	0.408
β	v	0.558
a	ɜ	0.229
b	v	0.489
d	t	0.059
d	d	0.859
i	ɞ	0.089
i	-	0.269
m	m	0.859
n	n	0.649
r	ɾ	0.389
ŋ	n	0.199
ɖː	l	0.369
ʣ	-	0.129
