Romansch	Romanian	probability
b	b	1.0
i	e	1.0
k	k	1.0
p	p	1.0
u	u	1.0
ɲ	n	1.0
ʥ	ʒ	1.0
ʧ	ʧ	1.0
ˈaː	ˈa	1.0
ˈe	ˈe	1.0
ˈeː	ˈe	1.0
ˈiː	ˈi	1.0
ˈɔː	ˈo	1.0
ˈɛː	ˈe	1.0
n	n	0.821
ɡ	b	0.201
ʃ	ʤ	0.051
ˈa	ˈa	0.331
ˈɔ	ˈo	0.891
l	l	0.472
m	m	0.962
w	w	0.282
ə	e	0.332
ʃ	-	0.162
ˈu	o̯ˈa	0.12
ˈuː	ˈu	0.832
ˈɛ	ˈi	0.262
ˈɛ	j_ˈe	0.292
f	-	0.083
n	n_e	0.103
r	-	0.073
s	s	0.803
t	t	0.694
v	v	0.594
ʎ	kʲ	0.54
ˈa	-	0.234
ˈu	ˈo	0.074
d	d	0.245
j	e̯ˈa	0.435
j	-	0.475
r	r_e	0.35
ʃ	s	0.625
ʨ	t	0.15
ʨ	k	0.85
ˈi	ˈu	0.215
ˈi	ˈi	0.785
ˈu	ˈu	0.805
r	r	0.536
v	-	0.406
ʃ	ʃ_t	0.086
ʎ	-	0.46
ˈa	ˈe	0.226
d	z	0.287
s	ʃ	0.177
t	t_e	0.277
ə	-	0.127
ə	ə	0.477
ʃ	ʧ_e	0.077
d	t	0.468
f	f	0.848
w	-	0.718
ˈuː	o̯ˈa	0.168
ˈɛ	ˈe	0.138
ˈɛ	ˈo	0.308
f	w	0.069
j	j	0.09
l	r	0.239
l	-	0.289
ɡ	ɡ	0.799
ˈa	ˈɨ	0.209
ˈɔ	o̯ˈa	0.109
