Swiss German	Luxembourgish	probability
ˈɒ_r	ˈaː	1.0
ˈøː	ˈɜɪ̯	1.0
ˈæː	-	1.0
ˈæi̯_#>	ˈeː_n_#>	1.0
ˈæi̯	ˈeː	1.0
ˈyː_ɡ̊	ˈɜɪ̯	1.0
ˈi_l	ˈə_l	1.0
ˈe	-	1.0
ˈau̯	ˈaː	1.0
ʦ	ʦ	1.0
ʒ̊	ʃ	1.0
ʃː_#>	ʃ_#>	1.0
ʃː	ʃ	1.0
ɣ̊	kʰ	1.0
ə_r	ɐ	1.0
z̥_#>	z̥_#>	1.0
z̥	z	1.0
v̥	f	1.0
r_n_#>	ʀ_#>	1.0
n_d̥	n	1.0
m_ə	m	1.0
m	m	1.0
l_tː	l	1.0
l	l	1.0
kː	k	1.0
j	j	1.0
i_#>	#>	1.0
i	ə	1.0
h	h	1.0
d̥_#>	d̥_#>	1.0
d̥	d	1.0
b̥_ə	v	1.0
b̥_#>	v̥_#>	1.0
<#_ɡ̊	<#	1.0
<#_tː	<#_d	1.0
<#_r	<#_ʀ	1.0
<#_n	<#_n	1.0
<#_d̥	<#_d	1.0
sː	s	0.909
n	n	0.905
b̥	b	0.905
ˈiː	ˈæːɪ̯	0.818
ʋ	v	0.731
ɡ̊	ɡ	0.722
ə	ə_n	0.692
ŋ	ŋ	0.692
tː	t	0.676
χː	ɕ	0.667
ˈeː	ˈɜɪ̯	0.667
p͡f	-	0.667
ˈoː	ˈəʊ̯	0.636
#>	n_#>	0.636
ˈyə̯	-	0.6
ˈuː	ˈæːʊ̯	0.6
ˈiə̯	ˈɜɪ̯	0.6
fː	f	0.583
ˈøi̯	ˈɑɪ̯	0.5
ˈøi̯	-	0.5
ˈø	ˈə	0.5
ˈø	-	0.5
ˈy	ˈə	0.5
ɡ̊_#>	ɕ_#>	0.5
ɡ̊_#>	#>	0.5
r	ʀ	0.471
ˈɒ	ˈaː	0.462
r	ɐ	0.451
ˈuə̯	-	0.444
ˈo	ˈo	0.438
ˈi	ˈɑ	0.429
fː	ə_f	0.417
ˈyə̯	ˈɜɪ̯	0.4
ˈuː	ˈɑʊ̯	0.4
ˈu	ˈo	0.4
ˈiə̯	ˈiː	0.4
ˈo	-	0.375
ˈɒː	ˈoː	0.353
ˈɒ	ˈɑ	0.346
ˈuə̯	ˈu	0.333
ˈeː	-	0.333
p͡f	pʰ	0.333
ə	-	0.308
ŋ	n_d̥	0.308
ˈy	-	0.3
ˈu	-	0.3
ˈɒː	ˈaː	0.294
ʋ	w	0.269
χː	χ	0.25
ˈæ	ˈiə̯	0.25
ˈæ	-	0.25
tː	d̥	0.235
ˈyː	ˈɜɪ̯	0.231
ˈyː	ˈɑɪ̯	0.231
ˈyː	ˈi	0.231
ˈuə̯	ˈʊ	0.222
ˈy	ˈe	0.2
ˈu	ˈuː	0.2
ˈi	ˈə	0.19
ˈi	ˈiː	0.19
ˈi	-	0.19
ˈo	ˈaː	0.188
ˈoː	ˈoː	0.182
ˈoː	-	0.182
ˈiː	-	0.182
#>	ŋ_#>	0.182
#>	n_d̥_#>	0.182
ɡ̊	-	0.167
ˈyː	ˈæːɪ̯	0.154
ˈyː	-	0.154
ˈæ	ˈɛː	0.15
ˈæ	ˈiː	0.15
ˈɒː	ˈɑ	0.118
ˈɒː	ˈu	0.118
ˈɒː	-	0.118
ˈɒ	ˈuə̯	0.115
ɡ̊	ˈoː	0.111
ˈæ	ˈɛ	0.1
ˈæ	ˈə	0.1
ˈu	ˈe	0.1
n	ŋ	0.095
b̥	v	0.095
sː	-	0.091
tː	d	0.088
χː	-	0.083
ˈɒ	-	0.077
