Lower Sorbian	Proto-Slavic	probability
ʨ	t	1.0
ʒ	ʒ	1.0
ʑ	d	1.0
ʐ̊	ʒ	1.0
ʐ	ʒ	1.0
ʂ	r	1.0
ɲ	n_ĭ	1.0
ɡ̊	ɡ_ŭ	1.0
ɡʲ	ɡ	1.0
z̥	z_ŭ	1.0
z	z	1.0
x	x	1.0
vʲ	v	1.0
v_ɨ	v_ŭ	1.0
t͡ʂ	-	1.0
t_a	t_a	1.0
t	t	1.0
pʲ	p	1.0
p	p	1.0
nʲ	n	1.0
n	n	1.0
mʲ	m	1.0
m	m	1.0
kʲ	k	1.0
f	v	1.0
d̥	d_ŭ	1.0
d	d	1.0
b̥	b_ŭ	1.0
bʲ	b	1.0
b	b	1.0
k	k	0.949
l	l	0.926
s	s	0.92
v	v	0.917
rʲ	r	0.898
ɡ	ɡ	0.853
w	l	0.709
r	r	0.662
ɪ	ɛː	0.652
j	j	0.53
ʦ	ʦ	0.515
ɨ	ŭ	0.494
ʦ	ʧ	0.485
u	õː	0.481
a	a	0.476
j	-	0.47
ɕ	t_i	0.467
ɔ	o	0.419
ɕ	t	0.346
i	i	0.318
ɛ	o	0.311
i	ŭ	0.299
u	uː	0.285
w	l_ŭ	0.235
i	i_̌	0.23
e	e	0.216
ɔ	e	0.2
ɪ	ẽ	0.198
r	r_ŭ	0.198
u	-	0.188
ɕ	r	0.187
a	a_ˀ	0.187
e	ĭ	0.179
ɛ	o_̂	0.162
ɛ	e	0.161
i	iː	0.153
ɪ	ẽː_̂	0.15
ɡ	ɡ_oː	0.147
ɨ	-	0.139
e	i	0.136
ɛ	ɛː	0.115
ɨ	ɨ_ˀ	0.114
ɛ	-	0.105
e	e_̌	0.103
e	-	0.103
rʲ	rʲ	0.102
ɛ	ɛː_̌	0.1
e	ŭ_̂	0.099
ɨ	j	0.092
a	aː	0.087
ɔ	oː	0.083
v	v_ŭ	0.083
r	o_ˀ	0.083
ɨ	ɨː	0.08
ɨ	i	0.08
s	s_ŭ	0.08
l	ʎ	0.074
a	e_̂	0.071
ɔ	ĭ	0.067
a	ĭ_̌	0.067
e	ɛː	0.065
e	ẽ	0.065
ɔ	r	0.063
ɔ	e_̂	0.063
ɔ	-	0.063
w	o	0.056
r	o	0.056
k	ŭ	0.051
a	ĭ	0.051
