French	French	probability
ʁ_b	ɾ_β	1.0
ɲ	ɲ	1.0
ɥ	ˈu	1.0
ɛ_ʁ	e_ɾ	1.0
ə	e	1.0
z	θ	1.0
y	ˈu	1.0
w_a_#>	ˈe_#>	1.0
p_l	ʎ	1.0
p	p	1.0
m	m	1.0
j_#>	ʝ_a_#>	1.0
a_#>	θ_#>	1.0
<#_ʁ	<#_r	1.0
<#_ɛ	<#_a	1.0
<#_ɔ	<#_ˈo	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_ʎ	1.0
<#_e	<#	1.0
<#	<#_ɡ	1.0
k	k	0.895
ʁ	ɾ	0.887
f	f	0.875
b	b	0.833
ʒ	ʃ	0.818
w_a	ˈe	0.778
<#_s	<#_s	0.696
l	l	0.682
œ	w	0.636
t	t	0.636
d	d	0.615
<#_a	<#_ˈa	0.6
i	ˈi	0.586
v	b	0.577
ɑ̃	ˈe_n	0.538
ʃ	k	0.5
ɡ	ɣ	0.5
ɡ	ɡ	0.5
u	ˈo	0.476
ɔ̃	ˈo_n	0.455
n	n_a	0.455
a	a	0.433
ɔ	w_ˈe	0.421
ɛ	ˈe	0.419
s	s	0.4
<#_a	<#_a	0.4
#>	u_#>	0.391
ɔ	o	0.368
ɔ̃	ˈo_ŋ	0.364
œ	ˈo	0.364
e	ˈa_ɾ	0.355
ɛ̃	n_u	0.353
v	β	0.346
ø	ˈo	0.333
ø	w	0.333
ø	u	0.333
ʃ	k_a	0.318
n	n	0.318
l	ʎ	0.318
ɑ̃	n	0.308
o	ˈo	0.308
o	ˈa_l	0.308
<#_s	<#_θ	0.304
a	ˈa	0.3
ɛ	ˈa	0.279
w	ˈe	0.278
j	j	0.278
#>	a_#>	0.278
i	ˈe	0.241
ɛ̃	ŋ	0.235
o	ˈe_s	0.231
d	ð	0.231
e	e_s	0.226
w_a	e	0.222
ɔ	ˈo	0.211
s	θ	0.2
#>	e_#>	0.195
u	o	0.19
ʒ	-	0.182
ɔ̃	n	0.182
ɛ̃	ˈi_ŋ	0.176
i	j	0.172
w	e	0.167
j	ˈe_ʝ	0.167
j	ʝ	0.167
j	-	0.167
b	β	0.167
ɛ	j_ˈe	0.163
ɑ̃	ˈe	0.154
o	ˈe_ʎ	0.154
d	-	0.154
u	u	0.143
n	n_w	0.136
s	ʃ	0.133
s	s_ˈa	0.133
s	-	0.133
e	ɾ	0.129
f	ˈe_β	0.125
ɛ̃	ɲ_u	0.118
ɛ̃	t_u	0.118
w	ˈu_n	0.111
w	ˈu	0.111
w	ˈo	0.111
w	ˈe_ɣ	0.111
w	-	0.111
j	ˈe	0.111
j	j_ˈe	0.111
k	k_w	0.105
e	ˈa_ð	0.097
e	ˈa	0.097
e	-	0.097
u	ˈo_s	0.095
u	w	0.095
ʃ	k_ˈa	0.091
ʃ	-	0.091
t	θ_ˈe	0.091
t	ʧ	0.091
t	s_t	0.091
t	-	0.091
n	ɲ	0.091
v	b_j	0.077
a	β_ˈe	0.067
a	ˈe	0.067
a	w_ˈa	0.067
a	j	0.067
