Taiwanese Hokkien	Taiwanese Hokkien	probability
⁵⁵	²¹	1.0
⁵	⁵	1.0
⁴⁴	⁵⁵	1.0
⁴	²	1.0
ʨʰ	s	1.0
ɤ	ɔː_²¹	1.0
ɛ	yː	1.0
ɕ	s	1.0
ɔ̃	ɔː_⁵⁵	1.0
ɔ_³³	¹³	1.0
ŋ	ŋ	1.0
¹¹	³³	1.0
³³	²²	1.0
²⁴	²¹	1.0
²³	-	1.0
²²	²²	1.0
w_ã	ɔː_n	1.0
w_a	yː	1.0
t̚	t̚	1.0
tʰ	tʰ	1.0
pʰ	pʰ	1.0
o_ʔ	k̚	1.0
n	n	1.0
m	m	1.0
l_a	n_aː	1.0
k̚	k̚	1.0
j_o	iː_w	1.0
j_ã	ɪ_ŋ	1.0
ĩ	iː_n	1.0
i_w	ɐ_w	1.0
h_w	f	1.0
b	m	1.0
ã	n	1.0
a_j	ɔː_j	1.0
kʰ	h	0.75
⁵³	³⁵	0.667
s	s	0.667
w	w	0.636
e	aː	0.636
k	k	0.625
³²	³	0.611
ʦ	ʦ	0.6
o	ɔː	0.6
<#	<#_h	0.6
ʦʰ	ʦʰ	0.571
ʨ	ʦ	0.5
ʨ	s	0.5
ʔ	t̚	0.5
ʔ	k̚	0.5
<#_ɡ	<#_ŋ	0.5
<#_ɡ	<#	0.5
l	l	0.462
ŋ̍	n	0.455
t	t	0.455
p	p	0.455
i	iː	0.45
ʦʰ	ʧʰ	0.429
ɪ	ʊ	0.429
j	-	0.429
ʦ	ʧʰ	0.4
o	o_w	0.4
<#	<#_w	0.4
³²	⁵	0.389
l	j	0.385
u	ɐ	0.368
ŋ̍	ɔː_ŋ	0.364
e	j	0.364
⁵³	¹³	0.333
s	ʃ	0.333
h	h	0.312
h	f	0.312
ɔ	ɔː	0.308
ɪ	ɐ	0.286
ɪ	-	0.286
p	pʰ	0.273
p	f	0.273
u	-	0.263
kʰ	h_ɵ	0.25
i	ɐ	0.25
h	w	0.25
a	ʊ	0.25
a	ɐ	0.25
j	j	0.238
ɔ	ʊ	0.231
i	e_j	0.2
k	kʰ	0.188
ŋ̍	aː_n	0.182
w	aː	0.182
w	-	0.182
t	ʧ	0.182
t	ʦʰ	0.182
t	-	0.182
u	ɵ_ɥ	0.158
ɔ	u	0.154
ɔ	o_w	0.154
ɔ	-	0.154
l	n	0.154
j	iː	0.143
k	kʷ	0.125
h	j_yː	0.125
a	ɔː	0.107
a	o	0.107
a	aː	0.107
a	-	0.107
u	ɵ	0.105
u	yː	0.105
i	j_ɐ	0.1
j	ɛː	0.095
j	œː	0.095
a	j	0.071
k	kʷʰ	0.062
