Campidanese	Campidanese	probability
ˈɔ_l	ˈo	1.0
ˈu_ɾ	ˈy	1.0
ˈi_ɾ	ˈi	1.0
ˈi_k	ˈe_k	1.0
ˈa_i_#>	ˈa_#>	1.0
ʧ	s	1.0
ʦ	-	1.0
ʒ_i	ʦ	1.0
ʒ	z	1.0
ʃ	j_ʃ	1.0
ɾ_ˈɛ	ɾ_ˈe	1.0
ɲ	ɲ	1.0
ɣ_u	k	1.0
ɛ_ɾ	ɾ	1.0
ɛ	-	1.0
ɔ̆	-	1.0
ɔ_z	s	1.0
ɔ	u	1.0
ŋ	ŋ	1.0
z_ă_#>	s_#>	1.0
u_z_ŭ_#>	#>	1.0
u_#>	#>	1.0
t_ɛ	w_t	1.0
t_u	j_t	1.0
t_a	t_ɔ	1.0
t	t	1.0
r	r	1.0
p_ɾ	p	1.0
nː_u	ŋ	1.0
nː	n	1.0
n_ʤ	ɲ	1.0
n_u	ŋ	1.0
n_t_i_#>	n_#>	1.0
n_t	n	1.0
n_i	ŋ	1.0
n_a	ɔ	1.0
l_ˈi	l_ˈe	1.0
l_u	w	1.0
l_i	w	1.0
l	l	1.0
k	k	1.0
ĭ	-	1.0
i_ɾ	e	1.0
i_n_i_#>	#>	1.0
i_n	i	1.0
e	-	1.0
a_ð	a_ð	1.0
a_s	a_s	1.0
<#_ˈi	<#_ˈe	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʤ	<#_ʒ	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_i	<#_e	1.0
<#_a	<#_a	1.0
#>	ɔ_#>	1.0
f	h	0.95
b	b	0.943
m	m	0.935
p	p	0.931
s	s	0.927
i_#>	#>	0.889
ˈa	ˈa	0.865
d	d	0.857
<#	<#_e	0.818
ɡ	ɡ	0.778
n	n	0.722
a	ɔ	0.716
β	β	0.714
ˈi	ˈi	0.677
o	u	0.667
j	-	0.667
ɖː	t	0.625
ʤ	ʒ	0.6
ɾ_u	e	0.6
z_ŭ_#>	s_#>	0.6
ˈu	ˈy	0.594
i	e	0.576
ˈe	ˈɛ	0.562
ɭː	ʎ	0.556
ð	t	0.538
ˈɛ	ˈɛ	0.517
z	z	0.5
z	s	0.5
w	w	0.5
w	-	0.5
k_ɾ	k_l	0.5
k_ɾ	k	0.5
ˈɛ	ˈe	0.483
ð	ð	0.462
ˈo	ˈɔ	0.458
ˈɔ	ˈu	0.444
ɭː	-	0.444
ˈe	ˈe	0.438
ɾ	ɾ	0.431
ɣ	ʎ	0.417
ɣ	ɣ	0.417
ˈu	ˈu	0.406
ʤ	-	0.4
ɾ_u	r	0.4
z_ŭ_#>	#>	0.4
ˈo	ˈu	0.375
ɖː	-	0.375
o	a_w	0.333
j	j	0.333
β	-	0.286
u	u	0.273
ˈɔ	w_ˈe	0.259
ˈi	ˈe	0.258
ɾ	-	0.235
ˈɔ	ˈɔ	0.222
ɡ	k	0.222
u	w	0.182
u	e	0.182
<#	<#_a	0.182
ˈo	w	0.167
ɣ	ʤ	0.167
n	-	0.167
a	a	0.164
i	-	0.152
d	-	0.143
ɾ	r	0.137
u	-	0.136
i	i	0.121
n	ŋ	0.111
i_#>	w_#>	0.111
u	ʎ	0.091
u	a	0.091
i	j	0.091
ɾ	β	0.078
ɾ	l	0.078
ˈa	-	0.077
ˈɔ	w	0.074
s	-	0.073
p	s	0.069
ˈi	-	0.065
m	nː	0.065
i	ð_e	0.061
a	e	0.06
ˈa	ˈɛ_j	0.058
b	-	0.057
