Middle High German	Luxembourgish	probability
ˈɑː_n	ˈəʊ̯_n	1.0
ˈɑ_ɡ	ˈoː	1.0
ˈɑ_r	ˈaː	1.0
ˈɑ_l	ˈɑ_l	1.0
ˈæː	ˈɜɪ̯	1.0
ˈoː	ˈəʊ̯	1.0
ˈou̯	ˈaː	1.0
ˈo_r	ˈaː_ʀ	1.0
ˈiə̯_ɡ	ˈɜɪ̯	1.0
ˈeː	ˈɜɪ̯	1.0
ˈe	-	1.0
ʦː	ʦ	1.0
ʦ	ʦ	1.0
ʃː	ʃ	1.0
ʃ	ʃ	1.0
ɡ_ə	ə	1.0
ɛ	e	1.0
ə_r	ɐ	1.0
ɑ	ə	1.0
ŋ_ɡ	ŋ	1.0
ŋ	ŋ	1.0
xː_ə	ɕ	1.0
s̻ː	s	1.0
s̻	s	1.0
s_ə	z̥	1.0
s_t	ʃ_t	1.0
s	z	1.0
r_ə	ɐ	1.0
p	p	1.0
oː	-	1.0
ou̯	ˈaː	1.0
nː	n	1.0
n_d	n	1.0
mː	m	1.0
m	m	1.0
lː	l	1.0
l	l	1.0
kː	k	1.0
kʰ	kʰ	1.0
j	j	1.0
i	ˈɛ_l	1.0
fː	f	1.0
d̥	d̥	1.0
n	n	0.967
v	f	0.957
ˈiː	ˈæːɪ̯	0.872
ˈei̯	ˈeː	0.871
d	d	0.867
b	b	0.794
h	h	0.791
ɡ	ɡ	0.775
ˈɑː	ˈoː	0.755
ˈiə̯	ˈɜɪ̯	0.715
ˈuə̯	ˈu	0.705
x	ɕ	0.612
ɡ̊	ɕ	0.608
ə	ə	0.6
ˈyː	ˈɑɪ̯	0.588
t	t	0.586
ˈo	ˈo	0.573
f	f	0.57
b̥	v̥	0.57
w	v	0.565
k	kʰ	0.555
xː	ɕ	0.548
b_ə	v_ə	0.548
r	ɐ	0.518
ˈuː	ˈɑʊ̯	0.511
ˈyə̯	ˈɜɪ̯	0.5
ˈyə̯	ˈi	0.5
p͡f	pʰ	0.5
p͡f	p	0.5
ˈuː	ˈæːʊ̯	0.489
ˈu	ˈo	0.487
ˈɑ	ˈaː	0.474
xː	χ	0.452
b_ə	v	0.452
k	k	0.445
r	ʀ	0.438
f	ə_f	0.43
ˈi	ˈɑ	0.426
ˈyː	-	0.412
ˈy	ˈə	0.411
ə	-	0.38
ˈuə̯	ˈəʊ̯	0.295
ˈɑ	ˈɑ	0.294
t	d̥	0.29
ˈu	ˈuː	0.285
ˈiə̯	-	0.285
ˈɛ	ˈɛː	0.279
w	w	0.262
ɡ̊	ɡ̊	0.261
ˈɑː	ˈɜɪ̯	0.245
ˈi	ˈə	0.227
ˈy	ˈe	0.225
ˈo	-	0.218
b̥	ə_v̥	0.215
b̥	-	0.215
h	-	0.209
b	-	0.206
ˈy	-	0.205
ˈɛ	ˈiə̯	0.184
ˈi	ˈiː	0.183
ˈɛ	ˈiː	0.179
ˈɛ	-	0.177
w	-	0.173
ˈu	-	0.16
ˈy	ˈi	0.159
ɡ	-	0.156
x	ˈiː_ɕ	0.147
d	-	0.133
ɡ̊	ɣ̊	0.131
ˈei̯	-	0.129
x	χ	0.129
ˈiː	-	0.128
t	d	0.124
ˈo	ˈu	0.123
x	-	0.112
ˈɛ	ˈɛ	0.111
ˈi	ˈe	0.103
ˈɑ	ˈæ	0.098
ˈɑ	ˈuə̯	0.093
ˈo	ˈuə̯	0.086
ˈɛ	ˈə	0.069
ɡ	ʑ	0.069
ˈu	ˈɔ	0.068
ˈi	ˈɑɪ̯	0.061
