Friulian	Ladin	probability
b	b	1.0
f	f	1.0
k	k	1.0
m	m	1.0
n	n	1.0
z	ʒ	1.0
ɟ	ʥ	1.0
ɡ	ɡ	1.0
ʤ	ʒ	1.0
ˈeː	ˈe_j	1.0
a	-	0.121
w	w	0.581
ˈe	ˈɛ	0.051
ˈo	ˈo	0.881
ˈoː	ˈo_w	0.921
ˈuː	ˈu	0.31
ˈɔ	ˈɔ	0.81
ˈɛ	ˈe	0.251
t	t	0.992
u	o	0.792
ŋ	n	0.722
ˈe	ˈe_j	0.132
ˈi	ˈi	0.82
a	a	0.773
d	-	0.063
p	p_j	0.083
ɲ	ɲ	0.913
ʧ	ʦ	0.233
ˈa	ˈa	0.803
ˈu	ˈe	0.103
o	o	0.874
r	-	0.054
u	-	0.094
u	u	0.114
ʧ	ʨ	0.4
ˈa	ˈɛ	0.14
ˈaː	ˈɛ	0.384
a	e	0.105
c	ʨ	0.985
i	e	0.755
j	j	0.975
s	s	0.725
ˈiː	j_ˈɛ	0.245
ˈiː	ˈi	0.755
e	e	0.096
l	l	0.966
ˈaː	ˈe	0.546
d	d	0.937
o	e_#>	0.077
p	p	0.917
ɲ	n	0.087
ʧ	ʧ	0.367
ˈo	ˈɔ	0.07
ˈu	ˈu	0.897
e	a	0.858
i	e_r	0.078
r	r	0.858
ŋ	ŋ	0.278
ˈe	ˈe	0.818
ˈi	ˈɛ	0.18
i	i	0.119
s	ʃ	0.269
v	v	0.949
w	-	0.419
ˈoː	ˈo	0.079
ˈuː	w_ˈɛ	0.69
ˈɔ	w	0.19
ˈɛ	ˈɛ	0.749
