Pennsylvania German	Old West Norse	probability
ˈɔː_ɑ	ˈɑː_r	1.0
ˈɔɪ̯	ˈɛ_ɡː	1.0
ˈeː_ɑ	ˈeː_r̥	1.0
ʃ_d̥	s_t	1.0
ɾ_ɪ	r	1.0
ɾ	r	1.0
ɪ	-	1.0
ə_m	m_r̥	1.0
ŋ_k	kː	1.0
x_d̥	tː	1.0
t	t	1.0
s_ə	t_ɑ	1.0
p	p	1.0
n_ʃ	c	1.0
j	ɣ	1.0
eː	ɑː	1.0
d_ɑ	i_r̥	1.0
b	b	0.975
m	m	0.922
h	h	0.869
l	l	0.803
ʋ	v	0.796
ˈʊ	ˈu	0.756
ɣ	ɣ	0.738
ˈuː	ˈoː	0.733
f	f	0.699
b̥	v	0.698
ˈaʊ̯	ˈuː	0.679
ɡ	ɡ	0.676
d	θ	0.644
ə	ɑ	0.619
x	tː	0.615
ˈaɪ̯	ˈiː	0.599
ç	k	0.586
d̥	ð	0.562
s	s	0.546
ŋ	ŋ_ɡ	0.535
n	n	0.535
ʃ	s	0.529
ˈeː	ˈɛi̯	0.509
ˈɔ	ˈu	0.504
ˈa	ˈɑ	0.503
ʦ	tʰ	0.502
ˈɪ	ˈi	0.498
ˈoː	ˈɑː	0.486
k	kʰ	0.481
ɑ	r	0.475
ˈɔː	ˈɑ	0.466
ɡ̊	ɣ	0.46
ˈaː	ˈo_r	0.419
x	-	0.385
s	t	0.372
ˈɛː	ˈe	0.37
ˈɛː	j_ˈɑ	0.37
d	ð	0.356
ˈɛ	ˈe	0.334
ˈaː	ˈo	0.324
ɡ	ɟ	0.324
ˈaʊ̯	-	0.321
ɡ̊	-	0.31
b̥	f_r̥	0.302
ˈɔː	-	0.301
ˈiː	j_ˈuː	0.296
ˈɔ	ˈo	0.294
ˈiː	j_ˈoː	0.293
ʦ	t	0.276
ˈuː	-	0.267
ɣ	ʝː	0.262
ŋ	ŋ_ɟ	0.262
ˈɛː	-	0.26
ˈeː	-	0.258
ç	ɡ	0.258
ˈaː	ˈɑ_r	0.257
ˈɔː	ˈɑu̯	0.233
ɡ̊	ɡ_r̥	0.23
ˈoː	ˈɑu̯	0.229
ʦ	tː	0.223
ˈaɪ̯	-	0.222
ʃ	c	0.212
n	-	0.208
ˈɔ	-	0.202
ŋ	ŋ	0.202
k	kː	0.188
l	lː	0.187
ˈɛ	-	0.186
ˈiː	ˈøː	0.18
ˈaɪ̯	ˈyː	0.179
f	p	0.178
n	nː	0.168
ʃ	s_k	0.162
ˈɪ	ˈy	0.157
ç	ˈeː	0.156
ˈeː	ˈɑː	0.149
ˈɛ	ˈɛ	0.148
ɑ	r̥ː	0.148
ˈoː	ˈo	0.144
ˈoː	-	0.141
k	-	0.137
ə	a	0.135
d̥	d_r̥	0.135
d̥	d	0.135
ˈa	ˈɑː	0.134
h	ç	0.131
ˈa	ˈa	0.13
k	cʰ	0.128
ˈiː	ˈeː	0.115
ˈiː	-	0.115
ˈɛ	ˈɑ	0.113
ə	n	0.111
ɑ	r̥	0.111
ɑ	r_i	0.111
ʋ	-	0.11
f	v	0.109
ˈɪ	ˈe	0.107
ˈɪ	s	0.107
ˈa	ˈɔ	0.106
ˈʊ	ˈo	0.101
ɑ	i	0.099
ʃ	k	0.098
ʋ	x_w	0.094
ə	-	0.093
ˈeː	ˈɛː	0.085
n	n_d	0.079
ˈʊ	ˈoː	0.078
m	-	0.078
d̥	r̥	0.078
ˈa	r	0.077
ˈɛ	ˈy	0.075
ˈɛ	j_ˈɔ	0.075
ˈɛ	e	0.07
ˈɪ	j	0.067
ˈʊ	ˈɔː	0.065
ˈɪ	-	0.065
k	cː	0.065
ˈa	ˈɛ	0.051
d̥	tː	0.051
