Logudorese	Piedmontese	probability
a	a	0.851
a	-	0.138
ă	e	1.0
b	v	0.514
b	b	0.185
b	k	0.105
b	p	0.072
b	ʤ	0.059
b	ɡ	0.053
bː	v	0.71
bː	r	0.185
bː	b	0.105
d	d	1.0
e	-	0.752
e	e	0.166
f	f	1.0
i	-	0.58
i	i	0.123
i	ə	0.078
i	ˈe	0.074
j	-	0.525
j	ʤ	0.183
j	i	0.162
j	j	0.129
k	k	0.471
k	s	0.254
k	-	0.205
k	ʧ	0.069
l	l	0.923
l	w	0.053
lː	l	1.0
m	m	0.798
m	ŋ	0.202
n	n	0.497
n	ŋ	0.325
n	-	0.155
nː	m	0.405
nː	ŋ	0.352
nː	ɲ	0.243
o	u	0.595
o	ˈø	0.165
o	a	0.124
o	-	0.063
o	ˈu	0.053
p	p	0.971
r	r	0.542
r	-	0.377
r	j	0.081
rː	r	1.0
s	s	0.908
s	-	0.078
sː	s	0.856
sː	-	0.144
t	t	0.802
t	-	0.092
t	j_t	0.069
tː	t	1.0
u	-	0.948
ŭ	i	1.0
v	b	1.0
w	w	0.5
w	ˈɔ	0.5
z	-	0.656
z	s	0.285
z	j	0.058
ð	-	0.47
ð	d	0.154
ð	t	0.149
ð	dː	0.113
ð	r	0.113
ŋ	n	0.608
ŋ	u	0.244
ŋ	ŋ	0.148
ɖ	t	0.658
ɖ	ʤ	0.189
ɖ	d	0.153
ɖː	l	1.0
ɡ	ʤ	0.334
ɡ	ɡ	0.263
ɡ	-	0.214
ɡ	z	0.189
ɣ	s	0.413
ɣ	-	0.289
ɣ	z	0.204
ɣ	ɡ	0.054
ɲː	ɲ	1.0
ʣ	-	1.0
ʦ	s	0.662
ʦ	t	0.338
ˈa	ˈa	0.65
ˈa	ˈe	0.274
ˈa	-	0.06
ˈe	ˈɛ	0.609
ˈe	ˈe	0.187
ˈe	-	0.073
ˈe	ˈi	0.053
ˈi	ˈi	0.604
ˈi	ˈe	0.154
ˈi	ˈɛ	0.113
ˈi	ˈy	0.051
ˈo	ˈɔ	0.47
ˈo	ˈø	0.274
ˈo	ˈu	0.256
ˈu	ˈu	0.497
ˈu	ˈy	0.396
β	v	0.835
β	b	0.13
