Nynorsk Norwegian	Nynorsk Norwegian	probability
ˈʉː_#>	ˈoˀ_#>	1.0
ˈɪ	ˈe	1.0
ˈɛ_s	ˈɛ_s	1.0
ˈɑ_ɾ	ˈɑˀ	1.0
ˈæː	ˈɛ	1.0
ˈæ	j_ˈɛ	1.0
ˈeː_ɡ	j	1.0
ˈeː_t	ð̞ˠ	1.0
ʰpː	b̥	1.0
ʰkː	ɡ̊	1.0
ʋ_ɑ	w_ə	1.0
ʉ	ð̞ˠ	1.0
ɾ_ɑ	ɐ	1.0
ɾ_e	ʌ	1.0
ɲ	ˈø	1.0
ɪ	e	1.0
ɡː	ɡ̊	1.0
ɛ	-	1.0
ə_ɾ	ʌ	1.0
ə	-	1.0
ŋ	ŋ	1.0
çː	-	1.0
tː	d̥	1.0
sː	s	1.0
s_ˈoː	ɕ	1.0
s_l	s_l	1.0
s	s	1.0
pʰ	pʰ	1.0
p	b̥	1.0
n_d	nˀ	1.0
n	n	1.0
mː	-	1.0
kʰ_ʋ	ʋ	1.0
kʰ	kʰ	1.0
k_#>	#>	1.0
jː	ɡ̊	1.0
j_ɑ	ə	1.0
h	h	1.0
f	f	1.0
e_ɾ	ɐ	1.0
b	b̥	1.0
<#_ˈɛ	<#	1.0
<#_ɾ	<#_ʁ	1.0
#>	ə_#>	1.0
tʰ	ʦʰ	0.955
ɑ	ə	0.909
l	l	0.892
e	ə	0.867
m	m	0.846
ʋ	ʋ	0.826
ʰtː	d̥	0.778
lː	lˀ	0.75
d	d̥	0.75
ˈiː	ˈiˀ	0.722
ŋː	ŋˀ	0.714
ˈɔ	-	0.692
ˈæʉ̯	ˈœˀ	0.667
ˈæɪ̯	ˈeˀ	0.667
ɡ_#>	j_#>	0.667
ʂ	s_ɡ̊	0.636
ˈɑː	-	0.615
nː	nˀ	0.588
ˈoː	ˈɔˀ	0.579
ˈʏ	ˈœ	0.571
ˈeː	ˈeˀ	0.571
ˈʉː	ˈuˀ	0.562
k	ɡ̊	0.562
t	ð̞ˠ	0.552
ˈœʏ̯	ˈøː	0.5
ˈœʏ̯	-	0.5
ˈœ	ˈœˀ	0.5
ˈœ	-	0.5
ˈyː	ˈyː	0.5
ˈyː	ˈyˀ	0.5
ˈuː	ˈoˀ	0.5
j	j	0.5
t	d̥	0.448
ˈeː	ˈɛˀ	0.429
ɡ	ɡ̊	0.421
ç	kʰ	0.417
nː	n	0.412
ˈɑ	ˈa	0.391
ˈʉ	ˈu	0.389
ɾ	ɐ	0.373
ʂ	s	0.364
ˈɛ	ˈɛ	0.357
ɾ	ʁ	0.339
ˈʊ	ˈʌ	0.333
ˈʊ	ˈo	0.333
ˈʊ	-	0.333
ˈæʉ̯	-	0.333
ˈæɪ̯	-	0.333
ɡ_#>	#>	0.333
ç	-	0.333
ˈɔ	ˈʌ	0.308
ˈøː	ˈøː	0.3
j	ɡ̊	0.3
ˈʏ	-	0.286
ˈɛ	ˈe	0.286
ŋː	ŋ	0.286
ˈʉ	ˈɔ	0.278
ˈiː	ˈiː	0.278
ɡ	w	0.263
ˈʉː	ˈuː	0.25
ç	ʦʰ	0.25
lː	ˈi_lˀ	0.25
d	-	0.25
ˈɑː	ˈa_ð̞ˠ	0.231
ʰtː	-	0.222
ˈɑ	ˈɛ	0.217
ˈɑ	ˈɑ	0.217
ˈɛ	ˈɑ	0.214
ˈoː	-	0.211
ɡ	-	0.211
ˈøː	ˈœ	0.2
ˈøː	ˈeˀ	0.2
ˈøː	-	0.2
j	l	0.2
ˈʉː	-	0.188
k	j	0.188
ʋ	w	0.174
ˈʉ	-	0.167
ɾ	ɐˀ	0.153
ˈuː	ˈoː	0.15
ˈuː	ˈo	0.15
ˈʏ	ˈy	0.143
ˈɛ	ˈeˀ	0.143
ɾ	-	0.136
k	w	0.125
k	-	0.125
ˈʉ	ˈy	0.111
l	lˀ	0.108
ˈoː	ˈɔː	0.105
ˈoː	ˈɒː	0.105
ɡ	jˀ	0.105
ˈøː	ˈœː	0.1
ˈuː	ˈyˀ	0.1
ˈuː	-	0.1
ɑ	-	0.091
ˈɑ	ˈʌ	0.087
ˈɑ	-	0.087
ˈɑː	ˈæː	0.077
ˈɑː	ˈæˀ	0.077
m	wˀ	0.077
m	-	0.077
e	ð̞ˠ	0.067
e	-	0.067
ˈʉ	ˈɶˀ	0.056
