North Frisian	Faroese	probability
b	b̥	0.963
d	-	0.326
d	d̥	0.324
d	tʰ	0.13
d	tː	0.054
d	ʤ̊	0.052
dʲ	w	0.45
dʲ	-	0.339
dʲ	j	0.212
f	f	0.768
f	v	0.137
f	v̥	0.058
h	h	0.845
h	j	0.132
i	ʊ	0.374
i	-	0.316
i	ɪ	0.24
i	ɛ	0.07
j	ɡ̊	0.319
j	-	0.155
j	ˈʊ̯iː	0.13
j	j	0.091
j	ʤ̊	0.067
j	w	0.064
j	ɡ̊ː	0.064
j	ɹː	0.064
k	kʰ	0.355
k	k	0.336
k	ʰk	0.133
k	-	0.073
k	ʧ	0.061
l	l	0.75
l	l̥	0.159
l	ʎ	0.063
lʲ	l	0.69
lʲ	l̥	0.31
m	m	0.837
m	mː	0.115
n	n	0.703
n	n̥	0.103
n	nː	0.092
n	-	0.066
nʲ	n	0.661
nʲ	ˈʊ̯iː	0.208
nʲ	-	0.131
p	p	0.441
p	ɹ	0.19
p	ʰpː	0.115
p	pʰ	0.111
p	ʰp	0.105
r	ɹ	0.791
r	t	0.104
r	-	0.056
s	s	0.853
t	t	0.336
t	tʰ	0.335
t	-	0.133
t	ʰt	0.067
tʲ	t	0.682
tʲ	ʰt	0.159
tʲ	ʰtː	0.106
tʲ	ʧʰ	0.053
v	v	0.712
v	-	0.227
w	a	0.496
w	ʧː	0.299
w	j	0.102
w	v̥	0.102
x	ʰtː	0.811
x	s	0.107
x	v	0.082
z	ʰt	0.586
z	s	0.195
z	t	0.155
z	-	0.064
ŋ	ŋ	0.915
ŋ	-	0.055
ə	a	0.563
ə	ɪ	0.128
ə	ʊ	0.12
ə	-	0.111
ɛi̯	a	1.0
ɡ	ɡ̊	0.946
ɡ	ʧ	0.054
ʃ	s	0.449
ʃ	ʃ	0.307
ʃ	ʧʰ	0.163
ʃ	f	0.081
ˈa	ˈa	0.307
ˈa	ˈøː	0.165
ˈa	ˈʊ	0.116
ˈa	ˈɪ	0.109
ˈa	ˈɛ	0.101
ˈa	ˈɛːa̯	0.079
ˈa	-	0.078
ˈai̯	ˈɪ	0.489
ˈai̯	ˈɛ	0.244
ˈai̯	ɹ	0.177
ˈai̯	ˈeː	0.09
ˈaː	ˈiː	0.346
ˈaː	ˈoː	0.336
ˈaː	ˈɔ	0.183
ˈaː	ˈøː	0.136
ˈeː	ˈɛːa̯	0.186
ˈeː	ˈɪ	0.162
ˈeː	ˈeː	0.132
ˈeː	ˈœ	0.124
ˈeː	ˈɔ	0.113
ˈeː	ˈɔ̯aː	0.075
ˈeː	ˈɛ	0.075
ˈeː	ˈʊ	0.06
ˈeː	ˈiː	0.055
ˈi	ˈʊ̯iː	0.46
ˈi	ˈɪ	0.226
ˈi	ˈɔ	0.085
ˈi	ˈɛ	0.071
ˈiː	ˈʊ̯iː	0.163
ˈiː	ˈaːi̯	0.134
ˈiː	ˈai̯	0.127
ˈiː	ˈɔːu̯	0.102
ˈiː	ˈɪ	0.097
ˈiː	ˈʊ	0.079
ˈiː	ˈɔːi̯	0.078
ˈiː	ˈuː	0.06
ˈu	ˈeː	0.676
ˈu	ˈɔ	0.324
ˈuː	ˈɔ̯aː	0.275
ˈuː	ˈɛːi̯	0.261
ˈuː	ˈɔ	0.11
ˈuː	ˈa	0.091
ˈuː	ˈɔːi̯	0.076
ˈuː	ˈoː	0.076
ˈuː	ˈʉːu̯	0.063
ˈyː	ˈʉːu̯	0.314
ˈyː	ˈʊ	0.231
ˈyː	ˈɛːi̯	0.141
ˈyː	ˈɔ̯aː	0.137
ˈyː	ˈa	0.079
ˈøː	ˈʊ	0.511
ˈøː	ɹ_ʊ	0.211
ˈøː	ˈɪ	0.176
ˈœ	ˈa	0.389
ˈœ	ˈɔːu̯	0.144
ˈœ	ˈɪ	0.13
ˈœ	ˈɔ	0.119
ˈœ	-	0.07
ˈœ	ˈuː	0.064
ˈœi̯	ˈɛ	1.0
ˈɒ	ˈa	0.263
ˈɒ	ˈɔ	0.187
ˈɒ	ˈɛːa̯	0.139
ˈɒ	ˈɔːu̯	0.136
ˈɒ	ˈai̯	0.126
ˈɒ	ˈɛ	0.094
ˈɒ	ˈœ	0.055
ˈɒː	ˈɛːa̯	0.56
ˈɒː	ˈɛ	0.175
ˈɒː	ˈɔ	0.105
ˈɒː	ˈeː	0.089
ˈɒː	ˈa	0.07
ˈɔ	ˈɔ	0.731
ˈɔ	ˈoː	0.194
ˈɔ	ˈiː	0.054
ˈɔi̯	ˈɛ	1.0
ˈɔu̯	ˈɔ̯aː	0.457
ˈɔu̯	ˈiː	0.15
ˈɔu̯	w	0.096
ˈɔu̯	ɹ	0.081
ˈɔu̯	ˈɔ	0.077
ˈɔu̯	ˈa	0.069
ˈɔu̯	ˈɪ	0.052
ˈɔː	ˈœ	0.276
ˈɔː	-	0.226
ˈɔː	ʊ	0.127
ˈɔː	ˈɔ	0.076
ˈɔː	ˈa	0.075
ˈɔː	ˈʊ	0.074
ˈɔː	ˈøː	0.053
ˈɔː	ˈʉːu̯	0.052
ˈɛ	ˈøː	0.612
ˈɛ	ˈɪ	0.388
ˈɛi̯	ˈɔ̯aː	0.266
ˈɛi̯	ˈa	0.223
ˈɛi̯	ˈøː	0.2
ˈɛi̯	ˈɛːa̯	0.124
ˈɛi̯	ˈɔ	0.078
ˈɛi̯	ˈeː	0.058
ˈɛi̯	ˈoː	0.052
ˈɛː	ˈɔ̯aː	0.367
ˈɛː	ˈeː	0.227
ˈɛː	ˈa	0.161
ˈɛː	ˈɛːi̯	0.105
ˈɛː	ˈeə̯	0.086
ˈɛː	ˈøː	0.054
ˈʊ	ˈʊ	0.474
ˈʊ	ˈɛ	0.17
ˈʊ	ˈɪ	0.151
ˈʊ	ˈa	0.063
ˈʏ	ˈɪ	0.756
ˈʏ	ˈʏ	0.244
