Catalan	French	probability
b	v	0.672
b	b	0.279
d	d	0.991
f	f	0.983
i	-	0.531
i	i	0.195
i	ə	0.133
i	j	0.072
j	-	0.487
j	a	0.343
j	i	0.171
k	ʃ	0.467
k	k	0.384
k	-	0.077
l	l	0.819
l	-	0.181
m	m	0.844
m	-	0.152
mː	m	1.0
n	n	0.729
n	-	0.271
p	p	0.87
p	-	0.13
r	ʁ	0.997
s	s	0.827
s	-	0.137
t	t	0.634
t	-	0.188
t	w	0.178
u	ɔ	0.396
u	-	0.21
u	u	0.201
u	ɔ̃	0.078
w	a	0.512
w	e	0.172
w	-	0.151
w	ø	0.076
w	f	0.061
z	-	0.895
z	z	0.105
ð	-	0.772
ð	d	0.138
ð	v	0.09
ŋ	ɛ̃	0.336
ŋ	k	0.329
ŋ	ɑ̃	0.302
ə	a	0.444
ə	-	0.272
ə	e	0.08
ə	i	0.056
ɡ	ɡ	0.891
ɡ	ʃ	0.051
ɣ	-	0.633
ɣ	ʁ	0.276
ɣ	ɡ	0.091
ɲ	ɲ	0.465
ɲ	-	0.247
ɲ	ɑ̃	0.088
ɲ	d	0.079
ɲ	ɛ̃	0.069
ɲ	n	0.052
ɾ	ʁ	0.835
ɾ	-	0.143
ʃ	t	0.547
ʃ	-	0.248
ʃ	s	0.205
ʎ	l	0.667
ʎ	j	0.249
ʎː	j	1.0
ʒ	ʒ	0.758
ʒ	-	0.155
ʒ	f	0.052
ʤ	ʒ	0.687
ʤ	-	0.313
ʧ	ʒ	0.792
ʧ	-	0.208
ˈa	ɛ	0.249
ˈa	e	0.224
ˈa	ɛ̃	0.163
ˈa	a	0.155
ˈa	ɑ̃	0.074
ˈa	-	0.071
ˈa	o	0.065
ˈe	ɛ	0.303
ˈe	ɑ̃	0.248
ˈe	w	0.169
ˈe	i	0.12
ˈe	o	0.105
ˈe	j	0.056
ˈi	i	0.61
ˈi	ɛ̃	0.165
ˈi	z_ɛ̃	0.078
ˈo	u	0.34
ˈo	ɔ̃	0.22
ˈo	œ	0.165
ˈo	ɔ	0.083
ˈu	y	0.33
ˈu	ɥ	0.273
ˈu	w	0.18
ˈu	u	0.087
ˈu	-	0.055
ˈɔ	ɔ	0.455
ˈɔ	ɔ̃	0.206
ˈɔ	œ	0.122
ˈɔ	ø	0.06
ˈɔ	o	0.051
ˈɛ	ɛ	0.418
ˈɛ	w	0.287
ˈɛ	ɑ̃	0.089
ˈɛ	-	0.058
β	v	0.59
β	b	0.166
β	-	0.121
β	ʒ	0.093
