Eastphalian	Middle High German	probability
ˈɛə̯	ˈɑ	1.0
ˈɔʏ̯	ˈyə̯	1.0
ˈøː_ɣ	rː	1.0
ˈyː	ˈyː	1.0
ˈiː	ˈiː	1.0
ˈaː	ˈɑ	1.0
ˈaʊ̯	ˈuə̯	1.0
ˈaɪ̯	ˈei̯	1.0
ɣ̊	ɡ̊	1.0
ɡ	ɡ_ə	1.0
ɒː	ɛ_h	1.0
z_ə	s_ə	1.0
w	w	1.0
v̥	b̥	1.0
r	r	1.0
l_ə	l_ə	1.0
h	h	1.0
l	l	0.983
ˈa	ˈɑ	0.94
b	b	0.93
m	m	0.895
ˈɪ	ˈi	0.819
ˈuː	ˈuː	0.8
f	v	0.795
v	w	0.78
ə	ə	0.778
z	s	0.751
ɣ	ɡ	0.731
ˈeː	ˈɛ	0.724
n	n	0.676
ʃ	ʃ	0.667
ɪ	ə	0.667
x	x	0.651
ˈʊ	ˈu	0.646
ˈɒː	ˈɑː	0.629
s	ʃ	0.628
ɐ	r	0.608
ˈøː	-	0.6
ˈœ	-	0.574
ç	ɡ̊	0.571
ˈoː	-	0.564
ˈeo̯	ˈoː	0.557
ˈɛː	ˈɛ	0.509
d̥	d̥	0.505
ˈɔ	ˈo	0.499
j	ɡ	0.498
d̥	t	0.495
ˈɛː	ˈɑ	0.491
p	f	0.477
ŋ	ŋ	0.476
d	t	0.471
d	d	0.467
ˈʏ	ˈy	0.466
ˈeo̯	ˈou̯	0.443
ç	x	0.429
ˈɛɪ̯	ˈiə̯	0.428
ˈœ	ˈu	0.426
k	kʰ	0.42
ˈøː	ˈøy̯	0.4
s	s	0.372
ˈɒː	ˈɑ	0.371
p	p͡f	0.36
j	ɡ_ə	0.359
ˈɛ	ˈɛ	0.356
ŋ	ŋ_ɡ	0.353
ˈɛɪ̯	ˈei̯	0.349
x	-	0.349
ʃ	ʃː	0.333
ɪ	i	0.333
t	s̻	0.326
ɐ	ə_r	0.315
t	t	0.298
ˈɛ	ˈe	0.289
ˈɔ	ˈu	0.286
ˈeː	-	0.276
ɣ	-	0.269
ˈʊ	ˈo	0.266
t	ʦ	0.251
z	s_ə	0.249
ˈoː	ˈu	0.241
n	ə_n	0.226
v	-	0.22
ˈɔ	ˈɑ	0.215
ˈuː	-	0.2
ˈʏ	ˈyː	0.198
ˈʏ	ˈu	0.198
ˈoː	ˈy	0.195
ˈɛ	ˈi	0.181
ˈɛ	ˈɑ	0.175
ə	-	0.174
ŋ	ɡ	0.171
k	xː_ə	0.171
j	j	0.143
ˈʏ	-	0.138
f	b̥	0.127
t	s̻ː	0.125
k	kː_ə	0.121
p	p	0.108
ˈɛɪ̯	-	0.1
ˈɛɪ̯	ˈɛ_h	0.099
k	xː	0.09
ˈʊ	ˈuə̯	0.089
f	f	0.078
ɐ	r_ə	0.077
m	ə_n	0.075
k	k_ə	0.072
k	k	0.071
ˈɪ	ˈei̯	0.07
ˈɪ	-	0.07
n	nː	0.07
b	f_ə	0.07
d	tː	0.061
ˈa	ˈɛ	0.06
p	fː	0.054
k	kː	0.054
