Asturian	Asturian	probability
θ_ˈe	t	1.0
θ_j	s	1.0
β_a	b	1.0
ˈu_n	w	1.0
ˈo_ŋ	ɒ̃ʊ̯̃	1.0
ˈo_n	ɒ̃ʊ̯̃	1.0
ˈi_ɾ	i_ʁ	1.0
ˈi_ŋ	ẽɪ̯̃	1.0
ˈe_ɾ	ʁ	1.0
ˈe_ɣ	w	1.0
ˈe_n	ã	1.0
ˈa_ɾ	e	1.0
ˈa_ŋ	ã	1.0
ˈa_n	ẽɪ̯̃	1.0
ˈa_l	oʊ̯	1.0
ʧ	-	1.0
ʝ_u	j	1.0
ʝ_a_#>	j_#>	1.0
ʝ	-	1.0
ʎ_u	oʊ̯	1.0
ʃ	ʒ	1.0
ɾ_u	ʁ	1.0
ɾ_n	ʁ	1.0
ɲ_u	ẽɪ̯̃	1.0
ɲ_a	n	1.0
ŋ	ẽɪ̯̃	1.0
w	-	1.0
u_#>	#>	1.0
t_u	ẽɪ̯̃	1.0
t_a_#>	t_#>	1.0
s_#>	#>	1.0
r	ʁ	1.0
p_j	p	1.0
n_u	ẽɪ̯̃	1.0
n_a	n	1.0
k_ˈa	ʃ	1.0
k_ɾ	k_ʁ	1.0
k_w	k	1.0
k_a	ʃ	1.0
j_#>	ɛ_#>	1.0
i	-	1.0
f	f	1.0
e_ɾ	æɛ̯_ʁ	1.0
e_#>	#>	1.0
b_j	v	1.0
a_#>	#>	1.0
<#_ɡ_w	<#	1.0
<#_ɡ	<#	1.0
<#_t	<#_t	1.0
<#_r	<#_ʁ	1.0
<#_n	<#_n	1.0
<#_e_s	<#_e	1.0
<#_d	<#_d	1.0
<#_a	<#_æɛ̯	1.0
<#	<#_e	1.0
p	p	0.889
s	s	0.852
ʎ	l	0.84
ɾ	ʁ	0.793
m	m	0.786
l	l	0.778
ɡ	ɡ	0.714
β_ɾ	v_ʁ	0.667
ˈe_s	o	0.667
j_ˈe	æɛ̯	0.667
β_u_#>	f_#>	0.6
ˈa_ð	e	0.6
ɣ	-	0.6
ð	-	0.583
a	a	0.579
b	v	0.577
j	-	0.562
θ	s	0.529
o	-	0.522
θ_#>	ɛ_#>	0.5
θ_#>	#>	0.5
β	v	0.5
ɲ	ɲ	0.5
ɲ	-	0.5
w_ˈe	ɑɔ̯	0.5
w_ˈe	œ	0.5
n	n	0.5
d	ʣ	0.5
d	-	0.5
#>	w_ɛ_#>	0.5
#>	j_#>	0.5
u	-	0.467
ˈu	y	0.462
t	t	0.458
t	-	0.458
ˈi	ɪ	0.429
k	k	0.429
b	b	0.423
β_u_#>	#>	0.4
ˈa_ð	æɛ̯	0.4
ɣ	ɡ	0.4
k	ʃ	0.393
ˈi	-	0.381
ˈa	æɛ̯	0.355
β_ɾ	ʁ	0.333
β	-	0.333
ˈe_s	ɛɪ̯	0.333
j_ˈe	j	0.333
e	œ	0.333
e	-	0.333
j	j	0.312
ɡ	-	0.286
a	-	0.263
ˈo	u	0.258
ˈo	-	0.258
ˈa	a	0.258
ð	d	0.25
θ	z	0.235
θ	-	0.235
ˈe	ɛ	0.235
ˈu	ɥ	0.231
l	-	0.222
ˈe	w	0.216
n	ã	0.214
m	-	0.214
u	øʏ̯	0.2
u	i	0.2
ˈi	i	0.19
k	-	0.179
o	ɑɔ̯	0.174
o	u	0.174
β	b	0.167
ð	ɛ	0.167
ˈo	ɔ	0.161
a	æɛ̯	0.158
ˈe	æɛ̯	0.157
ˈe	i	0.157
ˈu	ʏ	0.154
ˈu	w	0.154
s	-	0.148
n	ɒ̃ʊ̯̃	0.143
n	-	0.143
e	w	0.143
ˈe	-	0.137
u	l	0.133
o	ɔ	0.13
ˈo	ʊ	0.129
j	ɪ	0.125
p	-	0.111
ˈo	oʊ̯	0.097
ˈo	aœ̯	0.097
ˈa	ɛ	0.097
ˈa	e	0.097
ˈa	ã	0.097
ˈa	-	0.097
e	ʁ	0.095
e	w_ɛ	0.095
ɾ	e	0.086
t	ʦ	0.083
ʎ	p_l	0.08
ʎ	k_l	0.08
ɾ	-	0.069
ˈe	ã	0.059
ɾ	ɛ_ʁ	0.052
