Bokmål Norwegian	Bokmål Norwegian	probability
ˈʉ	ˈu	1.0
ˈɑ_ɾ	ˈi̯ø	1.0
ˈœʏ̯	ˈɑi̯	1.0
ˈæː	-	1.0
ˈæɪ̯	ˈa	1.0
ˈæ	ˈɘ̟	1.0
ʋ_#>	b̥_#>	1.0
ʈː	ˈɑ_ʦ	1.0
ʈ	ʦ	1.0
ʂ	-	1.0
ɳ	m	1.0
ɪ	ŋ	1.0
ŋ	ɡ̊	1.0
ç	k	1.0
sː	s	1.0
s_t	s_t	1.0
s_k_ə_#>	ʃ_#>	1.0
s_k	ʃ	1.0
s_#>	s_#>	1.0
pː	f	1.0
pʰ	f	1.0
p_#>	f_#>	1.0
mː	m	1.0
m	m	1.0
kː	c	1.0
j_ˈæː	ˈɑ	1.0
i	l_ɪ_k_ə	1.0
h	h	1.0
f	f	1.0
d	t	1.0
b	b	1.0
<#_ɾ	<#_r	1.0
<#_n	<#_n	1.0
<#_d	<#_t	1.0
l	w	0.857
ˈuː	ˈʏ	0.833
ˈɪ	ˈɘ̟	0.818
n	n	0.765
ɾ	r	0.762
ˈœ	-	0.75
kʰ	k	0.75
<#	<#_v	0.75
ʋ	v	0.72
ˈʏ	ˈɘ̟	0.667
ɡ	ɡ	0.667
ə_n	ə_t	0.667
lː	w	0.667
t	s	0.643
tː	x_t	0.625
ˈoː	ˈø	0.6
ŋː	ŋ	0.6
ˈɑ	ˈɑ	0.579
ˈiː	ˈai̯	0.529
ˈʉː	ˈɑi̯	0.5
ˈɔ	ˈu	0.5
ˈyː	ˈi	0.5
ɡː	k	0.5
ɡː	-	0.5
p	p	0.5
p	f	0.5
k	x	0.5
s	z	0.467
ə	a	0.433
tʰ	ʦ	0.429
tʰ	d	0.429
ˈɑ	ˈɔ	0.421
ˈeː	ˈɑ	0.4
ŋː	ŋ_ɟ	0.4
s	ʃ	0.4
ˈøː	ˈu_t	0.375
ˈøː	ˈi	0.375
tː	ʦ	0.375
#>	n_#>	0.36
ˈʉː	-	0.357
t	t	0.357
nː	n	0.35
ˈʏ	-	0.333
ˈɑː	ˈɔ_t	0.333
ˈɑː	ˈɔ	0.333
ˈɑː	ˈɑ	0.333
ə_n	ɑ	0.333
lː	w_d̥	0.333
j	ɡ	0.333
j	x	0.333
j	h	0.333
ə	-	0.317
nː	n_d̥	0.3
k	ç	0.286
ˈɔ	ˈɑ	0.25
ˈɔ	-	0.25
ˈœ	ˈu	0.25
ˈøː	-	0.25
nː	n_d	0.25
kʰ	k_ˈɘ̟	0.25
<#	<#_j	0.25
ˈɛ	ˈɛ	0.235
ˈɛ	ˈa	0.235
ˈɛ	-	0.235
n	-	0.235
ˈyː	ˈɑi̯_ɛ	0.2
ˈyː	ˈɑi̯	0.2
ˈoː	ˈei̯	0.2
ˈoː	-	0.2
ˈeː	ˈi	0.2
ˈeː	ˈa	0.2
ˈeː	-	0.2
#>	ɡ̊_#>	0.2
#>	r_#>	0.2
ˈɪ	ˈei̯	0.182
ˈɛ	ˈai̯	0.176
ˈiː	n	0.176
ˈiː	-	0.176
ˈuː	-	0.167
ɡ	ɡ̊	0.167
ɡ	ɟ	0.167
ə	ɛ	0.167
ʋ	-	0.16
#>	a_#>	0.16
ˈʉː	ˈø	0.143
tʰ	t	0.143
l	l	0.143
k	k	0.143
ʋ	f	0.12
ɾ	ɛ_r	0.119
ˈɛ	ˈɔ	0.118
ˈiː	ˈɑ	0.118
ˈyː	ˈɪ	0.1
nː	-	0.1
#>	f_#>	0.08
ɾ	-	0.071
k	ʧ	0.071
s	t	0.067
s	-	0.067
